,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,3834,3365,3197,3054,3873,4144,4563,3826,3437,3516,4429,5031,4980,5161,4024,4397,-,-,-,-,-
1,Market Cap Growth,-18.80%,-18.80%,-29.93%,-20.17%,12.67%,17.85%,3.01%,-23.95%,-30.98%,-31.87%,10.07%,14.42%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3863,3405,3205,3003,3821,4051,4407,3554,3166,3211,4079,4601,4684,4841,3700,4360,-,-,-,-,-
3,Last Close Price,31.95,28.04,26.64,25.22,31.97,34.21,37.67,31.37,28.18,28.83,36.32,40.97,40.56,42.03,32.78,35.57,-,-,-,-,-
4,PE Ratio,40.44,35.74,34.94,34.72,44.37,43.04,47.47,39.62,36.09,38.79,48.22,50.52,46.23,49.05,38.43,39.17,-,-,-,-,-
5,PS Ratio,6.60,5.83,5.62,5.55,7.14,8.08,9.16,7.74,7.12,7.25,9.36,10.46,10.93,11.46,9.03,10.61,-,-,-,-,-
6,PB Ratio,3.27,2.87,2.78,2.66,3.45,3.75,-,3.51,3.24,3.39,4.36,4.93,5.01,5.30,4.23,4.64,-,-,-,-,-
7,P/TBV Ratio,3.00,3.00,2.91,2.78,3.62,3.93,-,3.69,3.41,3.57,4.60,5.20,5.29,5.60,4.48,4.91,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-32.75,-,-,-,-,-,-,-,-225.23,-,184.33,-,-,-,-,-,-
9,P/OCF Ratio,68.60,-,57.02,-,55.42,111.61,-,62.90,175.20,-,142.89,-,73.50,-,37.83,-,-,-,-,-,-
10,EV/Sales Ratio,6.69,5.90,5.64,5.46,7.04,7.90,8.84,7.19,6.56,6.62,8.62,9.56,10.29,10.75,8.31,10.52,-,-,-,-,-
11,EV/EBITDA Ratio,27.55,24.31,24.28,24.13,31.93,34.26,38.37,32.38,29.73,32.80,40.04,41.41,41.91,42.33,34.10,42.42,-,-,-,-,-
12,EV/EBIT Ratio,35.33,31.14,31.28,30.55,40.36,42.91,48.04,40.25,36.93,41.25,49.58,50.13,50.43,50.47,40.73,50.91,-,-,-,-,-
13,EV/FCF Ratio,-79.69,-,-,-,-32.32,-,-,-,-,-,-,-,-211.88,-,169.48,-,-,-,-,-,-
14,Debt / Equity Ratio,0.08,0.08,0.13,0.10,0.10,0.07,-,0.04,0.03,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.08,-,0.15,0.10,0.10
15,Debt / EBITDA Ratio,0.70,0.64,0.91,0.73,1.34,0.67,-,0.33,0.35,0.17,0.09,0.17,0.27,0.08,0.03,0.02,0.74,-,0.54,0.42,0.62
16,Debt / FCF Ratio,-,-,-,-,-0.95,-,-,-,-,-,-,-,-0.53,-,0.21,-,13.60,-,-2.34,-,5.06
17,Asset Turnover,0.38,0.41,0.40,-,-,-,0.45,0.35,0.39,0.44,0.44,0.38,0.38,0.50,0.48,0.68,0.68,-,-,-,
18,Inventory Turnover,1.15,1.05,1.24,1.19,-,-,-,1.52,1.18,1.43,1.64,1.70,1.52,1.54,2.14,1.67,-,-,-,-,-
19,Quick Ratio,1.17,1.17,1.15,1.30,1.34,1.64,-,2.63,2.60,2.71,3.00,4.20,3.92,2.86,3.27,3.96,1.36,-,1.28,-,1.38
20,Current Ratio,2.77,2.77,2.51,2.75,2.69,3.16,-,4.47,4.56,4.21,4.52,5.93,5.48,4.85,5.36,6.60,2.75,-,2.45,-,2.90
21,Return on Equity (ROE),8.02%,9.51%,10.05%,-,-,-,10.35%,9.19%,7.99%,9.43%,10.55%,7.95%,9.04%,13.37%,19.50%,14.65%,19.05%,38.51%,16.22%,-,
22,Return on Assets (ROA),5.20%,5.03%,5.78%,-,-,-,6.04%,2.79%,4.48%,4.73%,5.97%,1.27%,5.78%,7.28%,8.46%,3.65%,8.80%,-,-,-,
23,Return on Capital (ROIC),6.11%,5.86%,6.77%,-,-,-,6.80%,3.20%,5.24%,5.42%,6.77%,1.48%,6.77%,8.38%,9.84%,4.60%,11.03%,14.49%,11.44%,-,
24,Return on Capital Employed (ROCE),8.86%,8.86%,8.46%,8.10%,7.99%,8.09%,-,7.95%,7.96%,7.49%,8.07%,8.93%,9.33%,9.83%,9.52%,9.01%,15.96%,13.18%,13.19%,-,3.10%
25,Earnings Yield,2.46%,2.80%,2.86%,2.88%,2.25%,2.32%,2.11%,2.52%,2.77%,2.58%,2.07%,1.98%,2.16%,2.04%,2.60%,2.55%,-,-,-,-,-
