,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,70.11,59.57,61.56,117.23,45.15,-,56.01,124.2,64.95,68.47,74.64,73.35,55.06,158.21,326.5,76.92,-,70.14,-,72.84
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,120,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,48.12,49.27,50.11,87.78,-,147.26,107.07,225.51,247.69,298.74,248.15,250.55,165.93,-,-,-,-,-,-
3,Cash & Short-Term Investments,70.11,107.69,110.83,167.34,132.94,-,203.27,231.27,290.46,316.16,373.38,441.49,305.62,324.14,326.5,76.92,-,70.14,72.84,72.84
4,Cash Growth,-47.26%,-,-45.47%,-27.64%,-54.23%,-,-45.56%,-47.62%,-4.96%,-2.46%,14.36%,474.00%,-,362.16%,348.25%,5.59%,-,-,-,-
5,Accounts Receivable,249.04,239.77,234.52,192.58,251.02,-,222.31,177.48,234.85,228.68,222.5,175.01,218.83,197.86,180.86,122.06,-,141.84,-,100.68
6,Other Receivables,0.58,-,0.61,0.15,-,-,0.37,0.13,-,-,-,-,0.43,-,-,-,-,-,-,-
7,Receivables,249.62,239.77,235.13,192.74,251.02,-,222.68,177.61,234.85,228.68,222.5,175.01,219.26,197.86,180.86,122.06,-,141.84,-,100.68
8,Inventory,379.2,355.52,340.37,323.01,313.61,-,253.45,262.4,255.01,233.39,212.93,217.23,204.8,183.11,171.31,161.42,-,174.81,-,165.09
9,Other Current Assets,54.41,52.94,43.85,38.64,43.4,-,45.13,44.99,36.14,44,32.2,28.01,159.7,150.82,165.95,42.17,-,17.95,-,26.37
10,Total Current Assets,753.33,755.91,730.19,721.72,740.97,-,724.53,716.27,816.45,822.23,841,861.75,889.38,855.93,844.63,402.57,-,404.74,-,364.98
11,"Property, Plant & Equipment",690.25,689.48,682.55,667.27,540.7,-,469.74,438.46,326.2,264.12,229.09,212.75,188.74,182.65,161.57,159.24,-,144.81,-,126.57
12,Other Intangible Assets,49.06,49.39,49.72,50.05,50.33,-,50.99,51.3,51.63,51.96,52.01,52.34,52.37,52.63,52.79,53.05,-,41.89,-,10.81
13,Long-Term Deferred Tax Assets,0.28,0.3,0.33,0.35,-,-,0.37,3.29,4.29,3.83,3.78,2.79,3.88,3.42,3.55,2.36,-,3.34,-,2.67
14,Long-Term Deferred Charges,3.38,3.23,3.35,3.54,2.33,-,1.98,2.15,1.39,1.51,1.12,1.37,1.47,1.7,1.9,2.14,-,1.96,-,2.48
15,Other Long-Term Assets,9.59,13.81,12.36,10.77,67.07,-,24.97,22.19,33.72,57.63,42.35,21.43,23.1,17.39,14.23,3.53,599.23,6.87,-,2.05
16,Total Assets,1506,1512,1478,1454,1401,-,1273,1234,1234,1201,1169,1152,1159,1114,1079,622.87,599.23,603.61,-,509.56
17,Accounts Payable,182.91,171.8,161.67,170.07,171.35,-,103.46,111.25,143.82,140.16,91.09,111.28,135.85,120.24,95.83,80.53,-,64.62,-,63.88
18,Accrued Expenses,11.11,25.38,7.8,27.82,27.55,-,6.17,25.05,7.96,25.15,5.36,22.6,6.29,24.99,4.65,21.22,-,24.01,-,6.54
19,Short-Term Debt,41.01,88.39,59.84,52.42,23.85,-,26.23,15.76,14.25,5.43,16.47,11.67,10.24,4.31,1.96,39.82,-,67.46,-,38.55
