,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,4650933,3533150,2652050,2494230,2551042,2959248,2946891,2845935,2490276,3040362,3304553,2457893,1713827,6310452,1288654,1594848,1653719,2618471,2601176,2467969,Upgrade
1,Short-Term Investments,984489,810473,756123,875797,920439,898687,908322,1016965,896631,750728,2153538,2226404,2229538,1955746,326286,481927,487032,656338,1648346,3269566,Upgrade
2,Cash & Short-Term Investments,5635422,4343623,3408172,3370026,3471481,3857935,3855213,3862901,3386907,3791090,5458091,4684297,3943365,8266198,1614939,2076775,2140751,3274809,4249522,5737534,Upgrade
3,Cash Growth,62.33%,12.59%,-11.60%,-12.76%,2.50%,1.76%,-29.37%,-17.54%,-14.11%,-54.14%,237.97%,125.56%,84.20%,152.42%,-62.00%,-63.80%,-67.25%,-63.16%,-58.00%,-40.72%,Upgrade
4,Accounts Receivable,4430549,4264175,4670619,4338221,4143590,4417697,3555991,3827015,3775387,3812518,3914720,2616538,1841205,1642499,1533202,2094244,1855884,1783903,1909630,1797963,Upgrade
5,Other Receivables,371211,267774,505084,503115,487024,678548,367509,320472,301329,404298,613783,599208,1158908,663180,518957,602317,532019,458111,577157,694219,Upgrade
6,Receivables,4801760,4531949,5175703,4841336,4630614,5096245,3923500,4147486,4076717,4216817,4528503,3215746,3000113,2305679,2052158,2696561,2387903,2242015,2486787,2492181,Upgrade
7,Inventory,3359328,3210634,3461530,3560654,3430699,4083295,3234927,3362865,2875284,3558524,4463285,2761301,2250462,2387561,2580802,1592393,1849268,1969914,2425352,2546808,Upgrade
8,Prepaid Expenses,622427,570856,559353,548230,605280,547284,571736,500306,416870,386157,428412,400638,393399,461046,699841,598406,530519,192962,556450,337440,Upgrade
9,Other Current Assets,3043352,3715737,3725203,2396165,2746209,1825833,1675616,1395970,1574172,1081954,1345116,1720200,1768926,1336295,1251237,898536,1341054,1813668,2323963,3799834,Upgrade
10,Total Current Assets,17462288,16372799,16329962,14716411,14884283,15410592,13260992,13269528,12329950,13034541,16223407,12782181,11356265,14756780,8198978,7862671,8249495,9493367,12042075,14913798,Upgrade
11,"Property, Plant & Equipment",29458698,30627178,31811491,33086852,34342837,35596075,37489885,38821779,40591565,41098007,41641195,42502251,43215978,43566118,43802478,43613776,44710555,43684718,44729412,46088408,Upgrade
12,Long-Term Investments,1795541,1857389,1861861,1751566,1672502,1855972,1825719,1764701,1751061,1774000,1713589,1663962,1636329,1742424,1885208,1925608,1974087,2037192,2001177,2122542,Upgrade
13,Other Intangible Assets,241440,245811,256780,141925,148371,151117,153884,163113,174458,163571,175247,169776,182260,190107,201576,212003,224468,205327,216072,226960,Upgrade
14,Long-Term Accounts Receivable,1896,1998,1998,2389,2016,-,-,-,-,759.17,1076,1086,1076,1187,841.77,841.77,841.77,841.77,841.77,841.77,Upgrade
15,Long-Term Deferred Tax Assets,1507,448.02,506.96,449.14,1274,2936,1272,747.44,1029,5714,5445,5188,5422,7477,7291,7379,7917,11599,10938,10479,Upgrade
16,Other Long-Term Assets,9102649,8246316,7528931,6616588,6665648,7311144,6457925,5558692,5788124,6499860,6815814,6891076,6660407,6811746,7158895,6957784,7394774,6937292,7671110,7572095,Upgrade
17,Total Assets,58064020,57351938,57791530,56316179,57716931,60327836,59189678,59578560,60636188,62576451,66575773,64015519,63057737,67075837,61255268,60580063,62562138,62370337,66671626,70935124,Upgrade
18,Accounts Payable,13695630,14856355,15024818,16909304,18755709,19383300,17557638,19461891,18047269,18171828,470981,18740897,17911655,18597300,18300221,12596899,9113772,5288213,5376152,5469311,Upgrade
19,Accrued Expenses,13565964,13414013,13324566,11740309,11582418,12162792,11144226,8658244,8685137,10333372,10129664,8625951,6577374,5241592,5521755,7653848,7546820,8980295,7334441,6639358,Upgrade
20,Short-Term Debt,10102265,10746851,10390351,10081063,12055763,11714952,10751565,8936196,9138049,10323908,11001747,11151914,11030655,11743237,8431211,7565837,6793827,7183766,6445917,5643135,Upgrade
21,Current Portion of Long-Term Debt,1263858,1209482,1281750,1466788,1542128,1463895,1444443,1303470,1334068,1655134,1897113,2194176,2186872,1592498,1585478,1439997,1394405,1026200,1045040,1389189,Upgrade
22,Current Portion of Leases,2945077,3044594,3411679,3667067,3963889,4182175,3762373,3415418,2927935,2515668,2121091,1172331,1157397,955062,4163488,3687717,3005543,3474133,3626057,3749055,Upgrade
23,Current Income Taxes Payable,187556,155299,105162,85523,126015,141538,113024,51313,80613,30354,67420,54924,52380,95631,99338,66194,47624,100619,126027,113016,Upgrade
24,Current Unearned Revenue,15073629,12838583,12186295,10799469,11734639,10272381,9404319,8624726,9589942,6219121,5530725,2667871,1473286,2438776,2999653,3576032,3974302,4775856,5915529,5496598,Upgrade
25,Other Current Liabilities,979329,1007648,1293893,2806340,1410738,489837,1895005,4326869,1997096,930196,21431729,1064373,804438,1769996,1762123,441052,829118,625022,617449,701420,Upgrade
26,Total Current Liabilities,57813307,57272824,57018513,57555863,61171298,59810871,56072593,54778128,51800109,50179580,52650470,45672437,41194056,42434092,42863267,37027578,32705410,31454105,30486613,29201082,Upgrade
27,Long-Term Debt,2604254,3054165,8271758,3594132,3616860,4190887,5687596,4831630,4995435,5530197,5654346,5995791,6119428,6982877,7115264,7459297,7601953,7980877,7971014,7711955,Upgrade
28,Long-Term Leases,3567347,4072113,-,5592107,6189420,7035605,6341748,8762614,9872669,11464806,12214561,13589075,14305405,15274589,13167282,14180396,15254989,15390624,15895538,17077979,Upgrade
29,Long-Term Unearned Revenue,3114,3164,1379,1122,1379,1790,2181,2351,2239,2481,2506,1790,2130,2484,2877,3202,3013,2838,3924,4409,Upgrade
30,Long-Term Deferred Tax Liabilities,224326,173651,174969,154495,156764,160269,156073,156260,160828,186620,190506,188531,184806,156850,135618,132450,129802,140889,134838,127651,Upgrade
31,Other Long-Term Liabilities,3896983,3862828,3858350,1974560,3607136,3079230,3441578,1286588,4860533,2723348,777596,728730,727702,749561,758111,746762,794637,790288,787850,869656,Upgrade
32,Total Liabilities,68109330,68438746,69324970,68872279,74742857,74278651,71701768,69817571,71691812,70087032,71489984,66176354,62533527,65600454,64042418,59549685,56489804,55759621,55279777,54992732,Upgrade
33,Common Stock,22143942,22143942,22143942,22143942,22143942,22143942,22143942,22143942,22143942,22143942,22143942,22143942,22143942,22143942,14182908,14182908,14182908,14182908,14182908,14182908,Upgrade
34,Additional Paid-In Capital,1220498,1220498,1220498,1220498,1220498,1220498,1220498,1220498,1220498,1220498,1220498,1220498,1220498,1220498,1220852,1220852,1220852,1220852,1220852,1220852,Upgrade
35,Retained Earnings,-33374269,-34292851,-34878797,-35809587,-40124296,-36999355,-35663308,-33371092,-34140153,-30615134,-27988273,-23643234,-21030149,-20268101,-16876995,-13287612,-8397650,-7942954,-3357501,823342,Upgrade
36,Comprehensive Income & Other,-698714,-741456,-703558,-732985,-755340,-796825,-785597,-813688,-787183,-806285,-817904,-826233,-827878,-699433,-680813,-676639,-675247,-669682,-668291,-637682,Upgrade
37,Total Common Equity,-10708542,-11669867,-12217915,-13178132,-17515195,-14431740,-13084466,-10820341,-11562896,-8056979,-5441738,-1105027,1506412,2396906,-2154047,1439510,6330864,6791125,11377969,15589420,Upgrade
38,Minority Interest,663232,583060,684475,622032,489270,480925,572375,581330,507271,546398,527527,-1055807,-982202,-921523,-633103,-409132,-258530,-180409,13880,352972,Upgrade
39,Shareholders' Equity,-10045310,-11086807,-11533440,-12556100,-17025926,-13950815,-12512090,-10239011,-11055625,-7510581,-4914211,-2160834,524210,1475383,-2787150,1030378,6072334,6610716,11391848,15942392,Upgrade
40,Total Liabilities & Equity,58064020,57351938,57791530,56316179,57716931,60327836,59189678,59578560,60636188,62576451,66575773,64015519,63057737,67075837,61255268,60580063,62562138,62370337,66671626,70935124,Upgrade
41,Total Debt,20482800,22127205,23355538,24401156,27368060,28587515,27987724,27249329,28268156,31489713,32888857,34103287,34799757,36548263,34462723,34333245,34050716,35055601,34983566,35571313,Upgrade
42,Net Cash (Debt),-14847378,-17783582,-19947366,-21031130,-23896580,-24729580,-24132511,-23386428,-24881249,-27698624,-27430766,-29418990,-30856392,-28282065,-32847783,-32256470,-31909966,-31780792,-30734044,-29833778,Upgrade
43,Net Cash Per Share,-6704.26,-8036.38,-9000.27,-9495.55,-10787.49,-11163.62,-10855.30,-10604.89,-11234.12,-12503.87,-12387.43,-13285.40,-13927.19,-13030.00,-23157.65,-22740.51,-22506.45,-22412.95,-21660.03,-21044.49,Upgrade
44,Filing Date Shares Outstanding,2214,2214,2214,2214,2214,2214,2214,2214,2214,2214,2214,2214,2214,2214,1418,1418,1418,1418,1418,1418,Upgrade
45,Total Common Shares Outstanding,2214,2214,2214,2214,2214,2214,2214,2214,2214,2214,2214,2214,2214,2214,1418,1418,1418,1418,1418,1418,Upgrade
46,Working Capital,-40351019,-40900025,-40688551,-42839452,-46287016,-44400279,-42811600,-41508600,-39470159,-37145040,-36427064,-32890256,-29837791,-27677312,-34664289,-29164907,-24455915,-21960738,-18444538,-14287284,Upgrade
47,Book Value Per Share,-4835.88,-5270.00,-5517.50,-5951.12,-7909.70,-6517.24,-5908.82,-4886.37,-5221.70,-3638.46,-2457.44,-499.02,680.28,1082.42,-1518.76,1014.96,4463.73,4788.25,8022.31,10991.69,Upgrade
48,Tangible Book Value,-10949983,-11915678,-12474695,-13320056,-17663567,-14582858,-13238349,-10983454,-11737355,-8220550,-5616985,-1274803,1324153,2206799,-2355623,1227507,6106395,6585797,11161897,15362460,Upgrade
49,Tangible Book Value Per Share,-4944.91,-5381.01,-5633.46,-6015.21,-7976.70,-6585.48,-5978.32,-4960.03,-5300.48,-3712.32,-2536.58,-575.69,597.98,996.57,-1660.89,865.48,4305.46,4643.47,7869.96,10831.67,Upgrade
50,Buildings,2986896,2982980,2979059,2979614,2979614,2979494,2980889,2980126,2979343,2913435,2887412,2887450,2886639,2875508,2971276,2576795,2561222,2517157,2497954,2496513,Upgrade
51,Machinery,43494379,39881913,37479235,38314117,40129620,36530609,37122448,37092928,37092535,36424574,34325136,34255389,35030233,35716570,35564772,35537925,35432756,33042485,32943928,34479228,Upgrade
52,Construction In Progress,109160,92754,65158,141043,132650,143480,147776,94232,94019,413779,133360,188733,146061,133970,124378,391719,403868,437674,412434,521068,Upgrade
