,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,26625003,26600112,24597494,27964152,23912076,23569060,20564540,23494190,19302767,21156291,18331039,11620124,9178946,4735446,6536800,7460147,8127823,7602201,5995325,18812990,Upgrade
1,Revenue Growth (YoY),11.35%,12.86%,19.61%,19.03%,23.88%,11.40%,12.18%,102.19%,110.29%,346.76%,180.43%,55.76%,12.93%,-37.71%,9.03%,-60.35%,-64.87%,-70.09%,-75.16%,-26.33%,Upgrade
2,Cost of Revenue,22247660,23855638,21978649,23879195,24155122,22329152,19635180,21534967,20380528,20991288,18699488,13214928,9813846,7746602,9922652,10446416,10253713,9822981,8860764,19037790,Upgrade
3,Gross Profit,4377343,2744474,2618845,4084957,-243047,1239908,929361,1959222,-1077761,165003,-368449,-1594804,-634900,-3011156,-3385852,-2986268,-2125890,-2220781,-2865440,-224800,Upgrade
4,"Selling, General & Admin",2247758,1577302,1318653,1907095,1413401,1913485,1456078,1529266,1634982,1353997,1064024,755298,633954,630543,764892,754079,754460,532618,770482,1249410,Upgrade
5,Other Operating Expenses,-,-,-,-,160532,-,-,-,97013,-,59000,-,135038,-,-,-,134259,-,76012,-,Upgrade
6,Operating Expenses,2247758,1577302,1318653,1907095,1573933,1913485,1456078,1529266,1731995,1353997,1123025,755298,768992,630543,764892,754079,888719,532618,846494,1249410,Upgrade
7,Operating Income,2129585,1167172,1300192,2177862,-1816979,-673577,-526718,429957,-2809756,-1188994,-1491474,-2350101,-1403892,-3641699,-4150743,-3740347,-3014609,-2753398,-3711934,-1474210,Upgrade
8,Interest Expense,-246465,-272728,-409858,-352683,-618697,-397078,-391028,-386075,-615603,-305149,-261955,-224821,-198927,-201651,-207155,-199221,-200110,-198859,-240457,-286152,Upgrade
9,Interest & Investment Income,149229,37812,28260,11378,85800,19748,39691,21484,107801,36998,31517,31596,51662,106437,11053,9988,43484,27095,176833,85588,Upgrade
10,Earnings From Equity Investments,-95761,26468,84644,55187,-8367,32219,29840,34519,-27404,30916,39314,31286,-118246,-20357,-41082,-23599,-52825,5439,-95193,-14543,Upgrade
