,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,658.77,97.51,645.23,152,834.4,189.74,617.79,322.37,657.8,131.44,643.22,335.43,662.76,157.37,585.81,192.22,722.83,78.39,497.39
1,Other Revenue,-26.25,26.25,-,50.48,-23.31,23.31,-,50.93,-26.92,26.92,-,49.23,-22.34,22.34,-,49.58,-22.87,22.87,-
2,Revenue,632.52,123.76,645.23,202.49,811.09,213.05,617.79,373.3,630.89,158.36,643.22,384.65,640.42,179.72,585.81,241.8,699.96,101.26,497.39
3,Revenue Growth (YoY),-22.02%,-41.91%,4.44%,-45.76%,28.56%,34.54%,-3.95%,-2.95%,-1.49%,-11.88%,9.80%,59.08%,-8.51%,77.48%,17.78%,-,-,-,-
4,Cost of Revenue,348.83,96.05,332.29,144.68,439.59,149.27,324.44,262.87,337.13,94.7,345.73,252.51,327.46,123.8,310.82,182.6,384.81,60.71,257.57
5,Gross Profit,283.68,27.71,312.94,57.81,371.49,63.78,293.35,110.43,293.75,63.66,297.49,132.15,312.96,55.92,274.99,59.2,315.15,40.55,239.82
6,"Selling, General & Admin",109.2,109.35,117.91,176.22,110.74,120.94,131.31,-34.08,96.88,135.77,145.14,23.08,94.93,142.22,122.7,175.86,132.7,87.03,122.56
7,Research & Development,0.99,-0.02,1.41,0.89,0.76,0.42,0.46,0.98,0.38,0.73,1.37,0.52,1.06,0.96,1.39,2.6,2.84,2.49,0.32
8,Other Operating Expenses,-2.78,3.85,5.88,2.8,2.85,1.6,1.88,8.09,-4.66,-1.68,2.54,10.96,0.09,1.7,1.6,21.2,-19.79,3.45,3.91
9,Operating Expenses,123.33,103.3,146.7,166.11,133.47,106.42,152.27,-15.92,94.89,127.96,161.24,26.99,103.2,136.98,143.52,184.36,124.05,86.5,138.19
10,Operating Income,160.35,-75.59,166.24,-108.3,238.03,-42.64,141.09,126.36,198.86,-64.3,136.25,105.16,209.75,-81.06,131.47,-125.17,191.1,-45.95,101.62
11,Interest Expense,-,-,-,-,-,-,-,-0,-0,-0,-0,-0.01,-,-,-,-,-,-,-
12,Interest & Investment Income,17.38,18.15,15.21,18.79,16.58,15.05,15.2,15.87,16.57,16.46,14.02,14.42,12.77,14.2,9.9,7.76,10.24,6.44,1.93
13,Other Non Operating Income (Expenses),-16.32,5.23,-5.54,21.76,-21.97,6.83,-7.65,27.96,-27.67,8.94,-9.61,27.92,-29.06,9.78,-9.08,34.13,-8.09,-19.54,-0.09
14,EBT Excluding Unusual Items,161.41,-52.2,175.9,-67.75,232.63,-20.76,148.63,170.18,187.75,-38.89,140.65,147.49,193.47,-57.08,132.3,-83.28,193.25,-59.05,103.47
15,Gain (Loss) on Sale of Assets,0.01,-0.01,-0,0.03,0,-0,-,-0.04,0.02,0.11,-,0.14,0.02,0.09,-,-0,0.02,0.61,0.03
16,Asset Writedown,-7.38,12.65,-12.65,3.14,-3.14,7.19,-7.19,6.61,-6.61,1.77,-1.77,8.56,-8.56,0.11,-0.11,10.69,-10.73,5.71,-5.68
17,Other Unusual Items,-4.95,2.99,2.67,7.17,-0.15,0.15,-,18.17,-0.01,0.01,-,26.51,0.01,-0.01,-,26.23,-12.75,10.68,2.07
18,Pretax Income,149.09,-36.57,165.92,-57.4,229.35,-13.42,141.44,194.92,181.17,-37.01,138.88,182.7,184.94,-56.89,132.18,-46.36,169.79,-42.05,99.89
19,Income Tax Expense,27.83,-1.74,28.58,-44.46,0,0.01,0,-0,0.01,0.01,0,0,0,0.02,-0.02,0.48,0,0.02,-0.01
