,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,5849,6742,6902,9191,10369,4640,5062,4907,4418,4004,5067,5351,6520,5244,-,-,-,-,-,-
1,Market Cap Growth,45.31%,45.31%,36.35%,87.32%,134.71%,15.87%,-0.09%,-8.31%,-32.24%,-23.64%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3350,4286,4376,6760,7938,2015,2891,2796,2308,1724,2872,3472,4641,3737,-,-,-,-,-,-
3,Last Close Price,13.16,15.17,15.45,20.57,23.20,10.38,11.22,10.87,9.79,8.87,11.23,11.76,14.33,11.52,-,-,-,-,-,-
4,PE Ratio,27.74,31.98,-,27.01,-,8.40,-,10.21,9.24,8.60,-,11.90,14.72,24.58,-,-,-,-,-,-
5,PS Ratio,3.65,4.20,3.87,4.91,5.62,2.30,2.76,2.76,2.45,2.20,2.77,2.90,3.64,3.18,-,-,-,-,-,-
6,PB Ratio,1.53,1.76,1.86,2.43,2.84,1.24,1.45,1.38,1.29,1.25,1.67,1.72,2.19,1.83,-,-,-,-,-,-
7,P/TBV Ratio,1.88,1.88,1.99,2.60,3.06,1.34,1.56,1.49,1.40,1.36,1.84,1.88,2.42,2.02,-,-,-,-,-,-
8,P/FCF Ratio,77.64,89.50,-,-,32.16,-,16.04,-,15.96,-,8.86,10.30,28.45,14.53,-,-,-,-,-,-
