,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,2226,2033,2103,2135,2011,2155,1701,1721,1620,1681,1594,1714,1329,1508,1109,1178,-,438.96,-
1,Short-Term Investments,-,-,-,-,-,0.19,-,-,0.06,-,0.22,0.21,-,-,-,-,-,-,-
2,Trading Asset Securities,273.06,423.06,423.06,423.06,420,470,470,560,490,600,600,300,550,-,320,348,-,774,-
3,Cash & Short-Term Investments,2499,2456,2527,2559,2431,2625,2171,2281,2110,2281,2195,2014,1879,1508,1429,1526,-,1213,1298
4,Cash Growth,2.76%,-6.42%,16.37%,12.18%,15.21%,15.09%,-1.07%,13.22%,12.31%,51.27%,53.58%,32.01%,-,24.31%,10.07%,-,-,-,-
5,Accounts Receivable,519.89,236.98,461.53,81.37,500.27,128.91,492.96,191.01,421.36,131.81,397.36,127.68,450.01,275.74,440.53,132.97,-,319.29,-
6,Other Receivables,37.83,33.61,28.31,40.58,39.88,33.29,27.75,22.19,21.34,28.05,22.79,28.44,27.36,29.39,25.2,19.7,-,18.74,-
7,Receivables,557.72,270.59,489.84,121.95,540.15,162.2,520.72,213.2,442.7,159.86,420.16,156.12,477.37,305.13,465.73,152.66,-,338.02,-
8,Inventory,156.98,176.62,160.52,228.56,174.75,180.37,157.53,220.71,168.64,195.67,179.18,232.77,195.67,206.32,186.35,224.21,-,231.63,-
9,Prepaid Expenses,-,-,-,4.18,-,0.4,-,3.34,-,0.38,-,5.01,-,-,-,1.25,-,0.29,-
10,Other Current Assets,14.58,29.59,15.86,26.54,14.79,12.71,8.56,18.41,9.35,16.56,14.18,18.56,10.74,18.06,16.46,23.14,-,38.5,-
11,Total Current Assets,3228,2933,3193,2940,3161,2981,2858,2736,2731,2653,2808,2427,2563,2037,2097,1927,-,1821,-
12,"Property, Plant & Equipment",2046,2052,2056,2063,2051,2041,2029,2027,1982,1945,1959,1975,1977,1950,1965,1978,-,2000,-
13,Long-Term Investments,7.1,6.81,7.36,7.22,7.68,8.46,6.65,6.5,6.28,6.31,6.51,6.63,6.42,6.64,6.85,6.85,-,3.11,-
14,Other Intangible Assets,248.01,250.25,252.51,254.76,256.99,259.27,261.49,263.77,265.6,267.93,270.45,272.93,274.99,276.25,278.85,281.06,-,283.7,-
15,Long-Term Deferred Tax Assets,54.09,53.04,51.54,44.58,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,-,0.53,-
16,Long-Term Deferred Charges,8.01,8.55,9.06,9.56,2.85,3.25,3.71,4.13,3.94,4.45,4.94,5.46,5.94,6.47,8.23,7.53,-,6.77,-
17,Other Long-Term Assets,2.04,4.67,8.73,1.69,1.48,0.71,1.01,0.71,1.28,1.87,0.77,1.35,0.84,1.98,1.02,2.36,-,7.01,-
18,Total Assets,5594,5309,5578,5321,5481,5293,5160,5038,4990,4878,5049,4688,4828,4279,4357,4203,-,4122,-
19,Accounts Payable,525.99,304.49,566.25,322.93,617.02,354.84,471.74,378.92,420.49,287.57,464.02,281.67,473.43,300.16,441.59,288.05,-,409.17,-
20,Accrued Expenses,107.16,125.62,107.42,137.75,94.32,105.26,96.94,127.46,84.01,135.05,76.41,115.27,70.44,84.62,81.61,122.39,-,83.89,-
21,Current Portion of Leases,-,-,-,-,-,-,-,-,0.09,0.09,0.09,0.09,-,-,-,-,-,-,-
