,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2020,Q4 2019,Q3 2019,Q2 2019,+8 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019",+8 Quarters
0,Cash & Equivalents,340648,49215,159793,-,259376,92757,44321,37077,203930,63926,29818,-,47767,-,-,-,62577,70749,70749,21259,Upgrade
1,Short-Term Investments,48273,45140,45140,-,50226,35226,30140,30140,140,-,35000,-,-,-,-,-,36895,26597,26597,5784,Upgrade
2,Cash & Short-Term Investments,388921,94355,204933,309602,309602,127983,74461,67217,204070,63926,64818,47767,47767,-,-,-,99472,97346,97346,27043,Upgrade
3,Cash Growth,25.62%,-26.28%,175.22%,360.60%,51.71%,100.20%,14.88%,40.72%,327.22%,-,-,-,-51.98%,-,-,-,-37.96%,-39.29%,-39.29%,-,Upgrade
4,Accounts Receivable,955623,766040,720995,-,993248,928878,914387,856874,978411,738223,767629,-,960280,-,-,-,651960,818161,818161,220345,Upgrade
5,Other Receivables,112269,126432,170500,-,110935,117450,145092,162475,121426,131905,131968,-,175339,-,-,-,180969,154423,154423,65786,Upgrade
6,Receivables,1067891,892473,891495,-,1104183,1046328,1059480,1019349,1099837,870128,899597,-,1135619,-,-,-,832929,972584,972584,286131,Upgrade
7,Inventory,2632936,2849088,2982711,-,3324342,2040424,1957865,1853486,1581157,1440438,1363826,-,1160333,-,-,-,530953,431930,431930,82632,Upgrade
8,Prepaid Expenses,1059,969.81,1017,-,1099,845.14,988.55,922.28,1342,1618,1099,-,1565,-,-,-,1474,1845,1845,-,Upgrade
9,Other Current Assets,439405,463934,402906,-,311788,330047,323516,297458,188030,267765,307463,-,322162,-,-,-,164678,125802,125802,88751,Upgrade
10,Total Current Assets,4530212,4300818,4483061,-,5051013,3545627,3416310,3238432,3074436,2643875,2636803,-,2667446,-,-,-,1629507,1629508,1629508,484558,Upgrade
11,"Property, Plant & Equipment",344056,349754,342720,-,342348,340881,336199,337625,344460,346502,358695,-,377063,-,-,-,487528,504753,504753,5230,Upgrade
12,Long-Term Investments,119998,127772,127458,-,100911,100675,100786,100467,100462,99417,64414,-,64143,-,-,-,60637,61280,61280,87919,Upgrade
13,Goodwill,17100,17550,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Other Intangible Assets,2238,2209,1856,-,1875,1714,1730,1746,1761,1367,1370,-,1337,-,-,-,1375,1375,1375,-,Upgrade
15,Long-Term Deferred Tax Assets,4583,1199,648.13,-,451.71,457.54,463.37,469.19,475.02,537.2,537.2,-,537.2,-,-,-,-,-,-,-,Upgrade
16,Other Long-Term Assets,37405,36760,35372,-,23703,22309,23785,26495,25430,29299,31155,-,38288,-,-,-,25456,17749,17749,137.25,Upgrade
17,Total Assets,5055593,4836062,4991116,-,5520302,4011665,3879273,3705234,3547024,3120997,3092975,-,3148815,-,-,-,2204502,2214664,2214664,577844,Upgrade
18,Accounts Payable,896529,775252,729000,-,729649,651263,683880,594601,769008,566313,667099,-,750205,-,-,-,596053,696744,696744,201685,Upgrade
19,Accrued Expenses,127742,123778,103110,-,142202,98080,110731,116086,98196,83160,124516,-,322129,-,-,-,54522,82349,82349,3158,Upgrade
20,Short-Term Debt,1134138,1108923,1142646,-,1234439,990092,945694,916742,752157,690610,683354,-,576201,-,-,-,370883,339646,339646,90204,Upgrade
21,Current Income Taxes Payable,195365,181090,150687,-,937519,7763,5932,4378,13591,6515,4997,-,7766,-,-,-,2595,5584,5584,40.32,Upgrade
22,Current Unearned Revenue,702.56,1201,1107,-,552.88,282.88,552.88,282.88,397.42,37.42,37.42,-,37.42,-,-,-,40.6,58.35,58.35,-,Upgrade
23,Other Current Liabilities,991249,1072724,1356059,-,1100580,746546,631177,647579,406899,409922,324176,-,321957,-,-,-,550672,462750,462750,80252,Upgrade
24,Total Current Liabilities,3345726,3262967,3482610,-,4144942,2494026,2377967,2279670,2040248,1756558,1804178,-,1978295,-,-,-,1574765,1587133,1587133,375340,Upgrade
25,Long-Term Debt,824400,818054,828340,-,714279,887270,880442,786728,827140,704774,642403,-,520351,-,-,-,232619,-,-,53090,Upgrade
26,Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,225.42,225.42,-,Upgrade
27,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,60418,-,60471,58813,54866,-,59662,-,-,-,-,-,-,-,Upgrade
28,Other Long-Term Liabilities,100811,65797,62776,-,58332,57205,770,55913,170,200,200,-,200,-,-,-,13523,234446,234446,562.56,Upgrade
29,Total Liabilities,4270937,4146818,4373727,-,4917552,3438500,3319598,3122310,2928029,2520345,2501648,-,2558507,-,-,-,1820907,1821804,1821804,428993,Upgrade
30,Common Stock,381165,381165,381165,-,381165,381165,381165,381165,381165,381165,381165,-,381165,-,-,-,229880,229880,229880,114880,Upgrade
31,Additional Paid-In Capital,14355,14355,14355,-,-,-,-,14355,14355,14355,14355,-,14355,-,-,-,14501,14501,14501,14766,Upgrade
32,Retained Earnings,249342,157726,102896,-,85627,60945,51801,72668,102496,88233,82274,-,72388,-,-,-,50339,51746,51746,19205,Upgrade
33,Comprehensive Income & Other,-,-,-,-,14355,14355,14355,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
34,Total Common Equity,644863,553247,498416,481147,481147,456465,447322,468189,498017,483753,477794,467909,467909,-,-,-,294720,296128,296128,148851,Upgrade
35,Minority Interest,139793,135998,118973,-,121602,116700,112354,114735,120978,116900,113533,-,122399,-,-,-,88875,96733,96733,-,Upgrade
36,Shareholders' Equity,784655,689245,617390,602749,602749,573165,559675,582923,618995,600653,591327,590308,590308,-,-,-,383595,392861,392861,148851,Upgrade
37,Total Liabilities & Equity,5055593,4836062,4991116,-,5520302,4011665,3879273,3705234,3547024,3120997,3092975,-,3148815,-,-,-,2204502,2214664,2214664,577844,Upgrade
38,Total Debt,1958538,1926977,1970986,1948717,1948717,1877362,1826137,1703470,1579297,1395384,1325756,1096552,1096552,-,-,-,603503,339646,339646,143294,Upgrade
39,Net Cash (Debt),-1569617,-1832622,-1766053,-1639116,-1639116,-1749379,-1751676,-1636253,-1375227,-1331458,-1260938,-1048785,-1048785,-,-,-,-504030,-242300,-242300,-116251,Upgrade
40,Net Cash Per Share,-41179.43,-48079.46,-46333.01,-,-43002.75,-45895.55,-45955.82,-42927.66,-,-,-33081.14,-,-,-,-,-,-21925.80,-10594.19,-10540.27,-10119.32,Upgrade
41,Filing Date Shares Outstanding,38.12,38.12,38.12,-,38.12,38.12,38.12,38.12,-,-,38.12,-,-,-,-,-,22.99,22.99,22.99,11.49,Upgrade
42,Total Common Shares Outstanding,38.12,38.12,38.12,-,38.12,38.12,38.12,38.12,-,-,38.12,-,-,-,-,-,22.99,22.99,22.99,11.49,Upgrade
43,Working Capital,1184486,1037851,1000451,-,906071,1051601,1038343,958762,1034188,887317,832625,-,689151,-,-,-,54742,42375,42375,109218,Upgrade
44,Book Value Per Share,16918.19,14514.61,13076.12,12623.06,12623.06,11975.52,11735.64,12283.09,-,-,12535.10,-,-,-,-,-,12820.60,12881.83,12881.83,12957.11,Upgrade
45,Tangible Book Value,625525,533487,496560,479273,479273,454751,445592,466443,496256,482386,476424,466572,466572,-,-,-,293345,294753,294753,148851,Upgrade
46,Tangible Book Value Per Share,16410.85,13996.22,13027.41,12573.88,12573.88,11930.54,11690.26,12237.30,-,-,12499.14,-,-,-,-,-,12760.79,12822.02,12822.02,12957.11,Upgrade
47,Construction In Progress,3739,17107,1716,-,4089,8298,1190,1066,4140,3548,969.21,-,864.08,-,-,-,2124,8501,8501,20.02,Upgrade
