,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020,Q1 2019
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020","Mar '19 Mar 31, 2019"
0,Cash & Equivalents,231086,231086,100600,100600,55569,55633,68527,142001,111060,94115,75954,119805,126863,-,-,104485,57714,27417,-
1,Short-Term Investments,400,400,300,300,300,300,300,1500,5122,2000,-,2000,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,231486,231486,100900,100900,55869,55933,68827,143501,116182,96115,75954,121805,126863,-,-,104485,57714,27417,-
3,Cash Growth,314.34%,313.86%,46.60%,-29.69%,-51.91%,-41.81%,-9.38%,17.81%,-8.42%,-,-,16.58%,119.82%,-,-,-,-,-,-
4,Accounts Receivable,53612,53612,36370,36370,89510,41779,45388,27910,49335,29417,37278,33138,31901,-,-,36683,23665,59260,-
5,Other Receivables,1231,1231,1982,1982,374.37,6912,6576,1963,1569,3213,3540,3950,2060,-,-,9159,7688,13045,-
6,Receivables,54843,54843,38352,38352,89885,48691,51964,29873,50904,32630,40818,37088,33960,-,-,45842,31352,72305,-
7,Inventory,178244,178244,109721,109721,219540,168080,172326,95252,171508,147506,197337,101285,205718,-,-,80347,194204,129844,-
8,Prepaid Expenses,1845,1845,1546,1546,943.02,2043,1968,1678,1815,1138,997.49,682.37,590.92,-,-,544.15,568.4,744.07,-
9,Other Current Assets,35783,35783,14384,14384,14728,17750,19928,3516,4954,5417,8213,551.31,19854,-,-,3097,9251,1703,-
10,Total Current Assets,502201,502201,264903,264903,380965,292498,315012,273820,345362,282807,323320,261412,386987,-,-,234315,293089,232013,-
11,"Property, Plant & Equipment",163144,163144,174876,174876,184745,179958,173596,174369,180603,189381,194845,198878,202783,-,-,216282,223135,241617,-
12,Long-Term Investments,3469,3469,3469,3469,3231,3314,3444,3444,3444,3273,3273,3256,3258,-,-,2916,2916,1659,-
13,Other Intangible Assets,11136,11136,11068,11068,11223,11300,11377,11455,11429,11498,11567,11636,5792,-,-,5280,5313,5360,-
14,Long-Term Deferred Tax Assets,-,-,-,-,1232,780.05,780.05,790.66,790.66,1395,1395,522.67,522.67,-,-,-,1745,-,-
15,Other Long-Term Assets,12370,12370,6953,6953,8530,8726,8759,9008,10809,2736,3092,1456,1428,-,-,1639,2291,7936,-
16,Total Assets,692320,692320,461270,461270,589925,496577,512968,472886,552438,491090,537491,477160,600770,-,-,460432,528488,488585,-
17,Accounts Payable,189113,189113,75883,75883,232405,119598,106078,49832,139450,83779,127291,53778,88570,-,-,49791,75572,76699,-
18,Accrued Expenses,76086,76086,35480,35480,74069,53266,53932,63452,69074,67105,59090,40331,66343,-,-,41593,60374,35597,-
19,Short-Term Debt,-,-,-,-,-,-,1261,-,-,-,-,24150,4150,-,-,13567,21095,63044,-
20,Current Income Taxes Payable,21960,21960,3951,3951,7753,11691,10381,4123,5998,10065,3844,5425,3846,-,-,5867,5562,5982,-
21,Current Unearned Revenue,715.97,715.97,150.28,150.28,-,23.18,-,2542,3248,321.19,386.53,386.53,386.53,-,-,386.53,600.02,24624,-
22,Other Current Liabilities,93854,93854,71109,71109,13088,57421,85373,82862,74873,75265,92132,79879,171180,-,-,84225,109274,30894,-
23,Total Current Liabilities,381728,381728,186574,186574,327316,242000,257024,202812,292642,236535,282744,203950,334475,-,-,195429,272477,236841,-
24,Long-Term Debt,13259,13259,-,-,-,-,-,-,-,-,7458,9849,12239,-,-,7052,7672,9955,-
25,Long-Term Unearned Revenue,-,-,70.53,70.53,54.45,119.79,185.13,185.13,185.13,-,-,-,-,-,-,-,-,-,-
26,Long-Term Deferred Tax Liabilities,-,-,309.9,309.9,-,150.93,-,-,-,-,-,-,-,-,-,-,-,-,-
27,Other Long-Term Liabilities,7099,7099,3469,3469,3464,3557,3557,3564,3064,998,2606,998,3295,-,-,3295,998,998,-
28,Total Liabilities,402087,402087,190423,190423,330834,245827,260766,206560,295891,237533,292808,214796,350008,-,-,205776,281147,247794,-
29,Common Stock,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,-,-,172500,172500,172500,-
30,Retained Earnings,117733,117733,98347,98347,86592,78250,79702,93826,84047,81058,72184,89864,78261,-,-,82156,74841,11294,-
31,Comprehensive Income & Other,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56998,-
32,Shareholders' Equity,290233,290233,270847,270847,259092,250750,252202,266326,256547,253558,244684,262364,250761,-,-,254656,247341,240792,-
33,Total Liabilities & Equity,692320,692320,461270,461270,589925,496577,512968,472886,552438,491090,537491,477160,600770,-,-,460432,528488,488585,-
34,Total Debt,13259,13259,-,-,-,-,1261,-,-,-,7458,33999,16389,-,-,20618,28767,72999,-
35,Net Cash (Debt),218227,218227,100900,100900,55869,55933,67566,143501,116182,96115,68496,87806,110474,-,-,83867,28947,-45582,-
36,Net Cash Growth,290.61%,290.16%,49.34%,-29.69%,-51.91%,-41.81%,-1.36%,63.43%,5.17%,-,-,4.70%,281.65%,-,-,-,-,-,-
37,Net Cash Per Share,12650.84,12650.84,5853.22,5853.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,Filing Date Shares Outstanding,17.25,17.25,17.24,17.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,Total Common Shares Outstanding,17.25,17.25,17.24,17.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,Working Capital,120472,120472,78330,78330,53649,50498,57988,71009,52720,46272,40576,57462,52512,-,-,38885,20612,-4828,-
41,Book Value Per Share,16825.11,16825.11,15711.80,15711.80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,Tangible Book Value,279097,279097,259779,259779,247869,239449,240824,254871,245118,242060,233117,250728,244969,-,-,249376,242028,235432,-
43,Tangible Book Value Per Share,16179.54,16179.54,15069.72,15069.72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,Buildings,288583,288583,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,Machinery,211439,211439,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,Construction In Progress,2489,2489,1955,1955,1324,13529,1953,559.81,559.81,277.41,1828,36.06,122.21,-,-,151.9,151.9,-,-
