,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020,Q1 2019
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020","Mar '19 Mar 31, 2019"
0,Revenue,57554186,400946,249830,249830,403912,210864,142676,284612,366995,301263,153444,322170,205574,305258,128447,324278,155328,205033,198765
1,Revenue Growth (YoY),14149.19%,90.14%,75.10%,-12.22%,10.06%,-30.01%,-7.02%,-11.66%,78.52%,-1.31%,19.46%,-0.65%,32.35%,48.88%,-35.38%,-,-,-,-
2,Cost of Revenue,44647002,318644,212431,212431,342562,184276,116531,228284,304249,252483,129257,272607,157985,256827,114127,262913,121359,170236,178699
3,Gross Profit,12907184,82302,37400,37400,61349,26588,26145,56328,62746,48780,24187,49563,47588,48431,14321,61366,33968,34797,20066
4,"Selling, General & Admin",9504870,63455,28950,28950,49235,27471,24438,45061,57964,37718,23783,37986,50300,31842,12422,49860,38655,29209,17411
5,Operating Expenses,9504870,63455,28950,28950,49235,27471,24438,45061,57964,37718,23783,37986,50300,31842,12422,49860,38655,29209,17411
6,Operating Income,3402313,18847,8450,8450,12114,-883.62,1707,11268,4782,11061,403.38,11577,-2711,16589,1898,11506,-4687,5589,2656
7,Interest Expense,-,-0.49,-0.84,-0.84,-35.36,-55.53,-5.8,-,-45.65,-,-,-1533,-,-,-,-2754,-1093,-1373,-1257
8,Interest & Investment Income,70556,737.84,422.81,422.81,273.33,650.48,1288,1049,892.19,458.98,569,99.21,458.71,282.75,122.74,128.44,149.2,38.8,361.86
9,Earnings From Equity Investments,-,-,60.52,60.52,-,-,-,-,253.46,-,17.23,-,221.55,-,120.26,-,574.74,-,-
10,Currency Exchange Gain (Loss),-,-67.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,Other Non Operating Income (Expenses),4570,45.44,-88.5,-88.5,-480.19,-183.24,-380.43,50.19,-230.32,-595.31,1448,-918.96,825.04,-2918,216.32,209.03,1366,-256.39,49.65
12,EBT Excluding Unusual Items,3477439,19562,8844,8844,11872,-471.91,2608,12367,5652,10925,2438,9224,-1206,13954,2358,9090,-3689,3999,1810
13,Gain (Loss) on Sale of Assets,18900,123.91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Pretax Income,3496339,19686,8844,8844,11872,-471.91,2608,12367,5652,10925,2438,9224,-1206,13954,2358,9090,-3689,3999,1810
15,Income Tax Expense,519697,2853,2966,2966,2475,815,581.91,2588,1645,2099,284.02,2096,362.43,2921,574.97,1775,-946.77,235,668.19
16,Net Income,2976642,16832,5878,5878,9397,-1287,2027,9779,4006,8826,2154,7128,-1568,11033,1783,7315,-2743,3764,1142
17,Net Income to Common,2976642,16832,5878,5878,9397,-1287,2027,9779,4006,8826,2154,7128,-1568,11033,1783,7315,-2743,3764,1142
18,Net Income Growth,31576.20%,-,190.06%,-39.89%,134.55%,-,-5.90%,37.19%,-,-20.01%,20.80%,-2.55%,-,193.16%,56.09%,-,-,-,-
19,Shares Outstanding (Basic),17,17,17,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,Shares Outstanding (Diluted),17,17,17,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,EPS (Basic),172558.97,975.79,341.00,341.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,EPS (Diluted),172558.97,975.79,341.00,341.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,Free Cash Flow,74348,62486,22380,22380,12773,-11290,-77961,26173,-,36179,-19876,-22767,-,10029,-24958,54284,-,24879,48492
24,Free Cash Flow Per Share,4310.05,3622.39,1298.25,1298.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,Dividend Per Share,-,-,-,-,600.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,Gross Margin,22.43%,20.53%,14.97%,14.97%,15.19%,12.61%,18.32%,19.79%,17.10%,16.19%,15.76%,15.38%,23.15%,15.87%,11.15%,18.92%,21.87%,16.97%,10.10%
27,Operating Margin,5.91%,4.70%,3.38%,3.38%,3.00%,-0.42%,1.20%,3.96%,1.30%,3.67%,0.26%,3.59%,-1.32%,5.43%,1.48%,3.55%,-3.02%,2.73%,1.34%
28,Profit Margin,5.17%,4.20%,2.35%,2.35%,2.33%,-0.61%,1.42%,3.44%,1.09%,2.93%,1.40%,2.21%,-0.76%,3.61%,1.39%,2.26%,-1.77%,1.84%,0.57%
29,Free Cash Flow Margin,0.13%,15.58%,8.96%,8.96%,3.16%,-5.35%,-54.64%,9.20%,-,12.01%,-12.95%,-7.07%,-,3.29%,-19.43%,16.74%,-,12.13%,24.40%
30,EBITDA,3403753,23559,17402,17402,20258,8995,7053,18652,13600,19880,9308,19347,6617,29653,8955,18843,-,12725,8710
31,EBITDA Margin,5.91%,5.88%,6.97%,6.97%,5.02%,4.27%,4.94%,6.55%,3.71%,6.60%,6.07%,6.01%,3.22%,9.71%,6.97%,5.81%,-,6.21%,4.38%
32,D&A For EBITDA,1440,4712,8952,8952,8144,9879,5347,7385,8819,8819,8905,7770,9328,13064,7056,7337,-,7136,6055
33,EBIT,3402313,18847,8450,8450,12114,-883.62,1707,11268,4782,11061,403.38,11577,-2711,16589,1898,11506,-4687,5589,2656
34,EBIT Margin,5.91%,4.70%,3.38%,3.38%,3.00%,-0.42%,1.20%,3.96%,1.30%,3.67%,0.26%,3.59%,-1.32%,5.43%,1.48%,3.55%,-3.02%,2.73%,1.34%
35,Effective Tax Rate,14.86%,14.49%,33.53%,33.53%,20.85%,-,22.31%,20.93%,29.11%,19.21%,11.65%,22.72%,-,20.93%,24.39%,19.52%,-,5.88%,36.91%
36,Revenue as Reported,57554186,400946,249830,249830,403912,210864,142676,284612,366995,301263,153444,322170,205574,305258,128447,324278,155328,205033,198765
