,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020,Q1 2019
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020","Mar '19 Mar 31, 2019"
0,Market Capitalization,270825,179400,186300,175950,177675,162150,165600,186300,134550,136275,143175,156975,198375,215625,163875,163875,155250,155250,108675,182850
1,Market Cap Growth,10.64%,10.64%,12.50%,-5.56%,32.05%,18.99%,15.66%,18.68%,-32.17%,-36.80%,-12.63%,-4.21%,27.78%,38.89%,50.79%,-10.38%,-,-,-,-
2,Enterprise Value,52598,78500,85400,120081,121806,106217,98034,42799,38435,40160,74679,69169,87901,131758,80008,80008,200832,200832,-,-
3,Last Close Price,15700.00,10400.00,10138.78,9575.51,9669.39,8824.49,8522.45,9587.76,6924.49,7013.27,7368.37,7614.29,9622.45,10459.18,7948.98,7563.11,7165.05,7165.05,4947.76,7539.44
4,PE Ratio,5.96,0.06,4.90,8.86,11.09,8.14,-,7.56,5.43,6.16,8.66,8.37,10.80,-,9.42,16.20,16.38,-,22.15,160.09
5,PS Ratio,0.21,0.00,0.14,0.16,0.18,0.16,0.16,0.17,0.12,0.12,0.15,0.16,0.21,0.22,0.18,0.20,0.18,0.28,0.27,0.92
6,PB Ratio,0.93,0.62,0.64,0.65,0.66,0.63,0.66,0.74,0.51,0.53,0.56,0.64,0.76,0.86,-,-,0.61,0.63,0.45,-
7,P/TBV Ratio,0.64,0.64,0.67,0.68,0.68,0.65,0.69,0.77,0.53,0.56,0.59,0.67,0.79,0.88,-,-,0.62,0.64,0.46,-
8,P/FCF Ratio,1.60,0.99,1.55,3.80,-3.28,-3.22,-,-,3.17,-,-22.15,-,-,-,4.16,-,1.22,-,1.48,3.77
9,P/OCF Ratio,1.00,0.94,1.36,2.33,-7.94,-7.61,-3.97,-,2.59,-,75.76,-,-,-,2.79,-,1.21,-,1.46,3.71
10,EV/Sales Ratio,0.04,0.00,0.07,0.11,0.12,0.10,0.10,0.04,0.03,0.04,0.08,0.07,0.09,0.14,0.09,0.10,0.23,0.36,-,-
11,EV/EBITDA Ratio,0.64,0.02,1.09,1.87,2.27,1.93,2.03,0.72,0.63,0.65,1.35,1.07,1.36,2.06,1.39,1.97,4.99,-,-,-
12,EV/EBIT Ratio,0.96,0.02,1.78,4.27,5.70,4.39,-,1.49,1.40,1.44,3.67,2.67,3.21,-,3.16,5.59,13.33,-,-,-
13,EV/FCF Ratio,0.31,0.43,0.71,2.60,-2.25,-2.11,-,-,0.90,-,-11.55,-,-,-,2.03,-,1.57,-,-,-
14,Debt / Equity Ratio,0.05,0.05,0.05,-,-,-,-,0.00,-,-,-,0.03,0.13,0.07,-,-,0.08,0.12,0.30,-
15,Debt / EBITDA Ratio,0.16,0.00,0.14,-,-,-,-,0.04,-,-,-,0.20,0.44,0.62,-,-,0.27,-,1.43,-
16,Debt / FCF Ratio,0.08,0.07,0.11,-,-,-,-,-,-,-,-,-,-,-,-,-,0.16,-,0.99,-
17,Asset Turnover,332.53,2.78,2.17,1.90,2.97,1.67,1.16,-,2.81,2.34,1.21,2.39,-,-,-,-,-,-,-,
18,Inventory Turnover,5.34,1001.93,8.85,7.74,5.16,7.07,4.33,3.48,-,7.63,5.86,3.46,7.10,-,-,-,-,-,-,-
19,Quick Ratio,0.75,0.75,0.75,0.75,0.75,0.45,0.43,0.47,0.85,0.57,0.54,0.41,0.78,0.48,-,-,0.77,0.33,0.42,-
20,Current Ratio,1.32,1.32,1.32,1.42,1.42,1.16,1.21,1.23,1.35,1.18,1.20,1.14,1.28,1.16,-,-,1.20,1.08,0.98,-
21,Return on Equity (ROE),4102.41%,24.00%,8.68%,8.87%,14.74%,-2.05%,3.13%,-,6.28%,14.17%,3.40%,11.11%,-,-,-,-,-,-,-,
