,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,1376,1613,1480,1672,-
1,Short-Term Investments,56.76,88.96,213.25,68.74,-
2,Trading Asset Securities,69.11,65.2,1.62,139.86,-
3,Cash & Short-Term Investments,1502,1767,1695,1881,-
4,Cash Growth,-11.40%,-6.06%,-,-,-
5,Receivables,264.64,228.28,196.2,251.68,-
6,Inventory,182.06,141.37,150.68,170.92,-
7,Prepaid Expenses,202.32,12.63,10.88,11.4,-
8,Other Current Assets,-,142.22,120.22,114.39,-
9,Total Current Assets,2151,2291,2173,2429,-
10,"Property, Plant & Equipment",57.58,80.24,97.1,121.26,-
11,Long-Term Investments,52.17,13.52,15,15,-
12,Other Intangible Assets,9.87,11.56,13.95,9.32,-
13,Other Long-Term Assets,55.31,51.99,94.29,58.76,-
14,Total Assets,2326,2449,2394,2634,-
15,Accounts Payable,233.67,157.42,149.08,154.1,-
16,Accrued Expenses,209.29,177.36,227.55,244.54,-
17,Short-Term Debt,-,10.01,57.4,74.52,-
18,Current Portion of Leases,31.37,36.27,43.12,44.55,-
19,Current Income Taxes Payable,-,31.2,19.08,32.49,-
20,Current Unearned Revenue,97.63,93.28,109.71,84.1,-
21,Other Current Liabilities,40.14,26.64,52.21,32.82,-
22,Total Current Liabilities,612.1,532.17,658.15,667.12,-
23,Long-Term Debt,-,-,8421,9401,-
24,Long-Term Leases,14.94,32.45,39.3,59.07,-
25,Other Long-Term Liabilities,5.51,10.97,10.71,16.05,-
26,Total Liabilities,632.55,575.59,9129,10144,-
27,Common Stock,0.17,0.17,0.06,0.06,-
28,Retained Earnings,-6478,-6314,-6225,-7420,-
29,Treasury Stock,-32.41,-0.02,-0.02,-0.02,-
30,Comprehensive Income & Other,8203,8187,-510.7,-89.81,-
31,Shareholders' Equity,1693,1873,-6736,-7510,-
32,Total Liabilities & Equity,2326,2449,2394,2634,-
33,Total Debt,46.31,78.73,8561,9580,-
34,Net Cash (Debt),1456,1688,-6866,-7699,-
35,Net Cash Per Share,3.10,3.78,-15.12,-55.64,-
36,Filing Date Shares Outstanding,465.96,465.04,138.36,465.04,138.36
37,Total Common Shares Outstanding,465.96,465.04,138.36,465.04,138.36
38,Working Capital,1539,1759,1515,1762,-
39,Book Value Per Share,3.63,4.03,-48.68,-16.15,-
40,Tangible Book Value,1683,1862,-6750,-7519,-
41,Tangible Book Value Per Share,3.61,4.00,-48.78,-16.17,-
42,Machinery,-,35.23,35.43,37.92,-
43,Leasehold Improvements,-,58.78,58.08,58.08,-
