,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,1230,613,1135,1270,1417,1406,4070,-,-,-
1,Market Cap Growth,-51.77%,-51.77%,-19.93%,-9.63%,-65.18%,-,-,-,-,-
2,Enterprise Value,492,-142,378,344,299,-38,3477,-,-,-
3,Last Close Price,32.25,16.06,29.75,33.30,36.75,36.45,104.80,-,-,-
4,Forward PE,114.52,96.43,-,-,-,-,-,-,-,-
5,PS Ratio,4.53,2.27,4.43,5.44,6.85,8.78,36.80,-,-,-
6,PB Ratio,1.06,0.53,0.96,1.05,1.08,0.93,2.42,-,-,-
7,P/TBV Ratio,0.56,0.56,1.00,1.10,1.12,0.96,2.51,-,-,-
8,P/FCF Ratio,-,-55.60,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-60.39,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.82,-,1.47,1.47,1.45,-,31.45,-,-,-
11,Debt / Equity Ratio,0.03,0.03,0.03,0.04,0.04,0.03,0.03,0.07,0.04,-
12,Debt / FCF Ratio,-,-3.56,-,-,-,-,-,-,-,-
13,Earnings Yield,-3.91%,-7.86%,-9.13%,-15.99%,-15.99%,-14.11%,-5.86%,-,-,-
14,FCF Yield,-0.90%,-1.80%,-9.03%,-18.12%,-24.19%,-27.49%,-7.80%,-,-,-
15,Buyback Yield / Dilution,0.99%,0.97%,1.01%,-0.00%,-5.46%,-25.56%,-58.06%,-47.02%,-,-
16,Total Shareholder Return,0.99%,0.97%,1.01%,-0.00%,-5.46%,-25.56%,-58.06%,-47.02%,-,-
