,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,613.35,622.21,694.55,870.12,996.95,1218,287.37,632.42,-
1,Trading Asset Securities,110.25,98.93,50.22,-,0.4,-,250.62,-,-
2,Cash & Short-Term Investments,723.6,721.14,744.77,870.12,997.35,1218,537.99,632.42,-
3,Cash Growth,-2.84%,-17.12%,-25.33%,-28.54%,85.38%,92.55%,-,-,-
4,Accounts Receivable,85.03,76.91,59.21,25.35,23.39,18.93,14.68,-,-
5,Other Receivables,-,9.15,-,9.34,-,5.55,-,2.19,-
6,Receivables,85.03,86.06,59.21,34.69,23.39,24.48,14.68,2.19,-
7,Inventory,150.51,146.04,159.74,132.16,66.55,32.13,11.66,8.64,-
8,Restricted Cash,8.03,8.1,8.03,4.02,0.37,6.56,-,-,-
9,Other Current Assets,40.05,44.06,61.96,91.03,122.58,51.44,42.72,18.53,-
10,Total Current Assets,1007,1005,1034,1132,1210,1332,607.05,661.78,-
11,"Property, Plant & Equipment",127.35,138.51,154.23,118.23,107.15,112.15,76.57,52.39,-
12,Long-Term Investments,8.24,2.53,0.4,0.4,32.01,-,-,-,-
13,Goodwill,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,-
14,Other Intangible Assets,35.46,37.71,37.99,39.24,41.96,42.43,40.9,40.9,-
15,Other Long-Term Assets,7.76,7.4,13.56,12.95,20.51,8.04,21.93,8.85,-
16,Total Assets,1196,1201,1250,1313,1422,1505,756.16,773.63,-
17,Accounts Payable,5.68,3.67,3.29,4.13,3.23,3.81,4.64,0.59,-
18,Accrued Expenses,27.56,30.64,24.26,30.13,14.21,23.97,28.81,17.97,-
19,Short-Term Debt,-,-,-,5,-,-,-,-,-
20,Current Portion of Leases,6.67,4.91,6.18,5.88,5.06,2.49,1.06,0.23,-
21,Current Income Taxes Payable,8.31,-,-,-,-,-,-,-,-
22,Current Unearned Revenue,1.71,3.09,2.28,8.32,8.08,4.72,4.31,2.3,-
23,Other Current Liabilities,12.02,17.47,19.48,14.05,21.16,20.39,19.53,15.53,-
24,Total Current Liabilities,61.94,59.78,55.49,67.51,51.73,55.39,58.34,36.61,-
25,Long-Term Leases,29.82,31.47,37.85,39.81,38.05,39.45,40.43,24.46,-
26,Long-Term Unearned Revenue,31.63,33.9,29.67,30.41,26.3,27.03,10.57,11.3,-
27,Long-Term Deferred Tax Liabilities,2.37,0.45,9.06,9.36,10.06,10.23,10.23,10.23,-
28,Total Liabilities,125.76,125.6,132.07,147.08,126.14,132.1,119.57,82.6,-
29,Common Stock,38.83,38.83,38.83,38.83,38.83,38.83,32.23,32.23,-
30,Additional Paid-In Capital,1546,1546,1546,1546,1546,1546,675.12,675.12,-
31,Retained Earnings,-646.3,-641.18,-601.51,-547.17,-413.6,-346.78,-244.26,-152.56,-
32,Treasury Stock,-51.33,-49,-42.75,-42.56,-39.89,-21.19,-,-,-
33,Comprehensive Income & Other,182.28,180.5,176.46,169.88,163.59,155.19,169.65,126.57,-
34,Total Common Equity,1070,1076,1118,1165,1295,1373,632.74,681.37,-
35,Minority Interest,-,-,-,-,-,-,3.86,9.67,-
36,Shareholders' Equity,1070,1076,1118,1165,1295,1373,636.6,691.04,-
37,Total Liabilities & Equity,1196,1201,1250,1313,1422,1505,756.16,773.63,-
38,Total Debt,36.49,36.38,44.02,50.69,43.11,41.94,41.49,24.69,-
39,Net Cash (Debt),687.11,684.76,700.75,819.44,954.24,1176,496.5,607.73,-
40,Net Cash Growth,-1.95%,-16.44%,-26.57%,-30.31%,92.19%,93.47%,-,-,-
41,Net Cash Per Share,18.19,18.01,18.37,21.34,25.02,32.29,16.34,26.38,-
42,Filing Date Shares Outstanding,37.77,38.14,38.14,38.14,38.14,38.56,32.23,32.23,20.66
43,Total Common Shares Outstanding,37.77,38.14,38.14,38.14,38.14,38.56,32.23,32.23,20.66
44,Working Capital,945.28,945.61,978.22,1065,1159,1277,548.71,625.17,-
45,Book Value Per Share,28.33,28.20,29.30,30.56,33.97,35.60,19.63,21.14,-
46,Tangible Book Value,1025,1028,1070,1117,1244,1320,582.13,630.76,-
47,Tangible Book Value Per Share,27.13,26.96,28.05,29.27,32.61,34.24,18.06,19.57,-
48,Machinery,-,81.15,-,74.83,-,42.15,-,19.66,-
49,Construction In Progress,-,-,-,0.44,-,17.07,-,8.15,-
50,Leasehold Improvements,-,45.88,-,45.52,-,32.82,-,9.84,-
