,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,128.48,122.76,109.59,106.32,76.71,59.96,30.13,12.39,2.17
1,Revenue Growth (YoY),17.24%,15.46%,42.85%,77.30%,154.65%,383.93%,1287.61%,-,-
2,Cost of Revenue,46.2,50.68,29.87,33.3,25.85,24.07,11.07,6.4,1.08
3,Gross Profit,82.28,72.08,79.72,73.02,50.87,35.9,19.05,5.99,1.09
4,"Selling, General & Admin",57.52,82.41,71.48,93.72,74.27,68.05,66.96,149.77,6.38
5,Research & Development,31.75,53.98,69.85,92.79,60.91,43.91,32.39,40.53,10.61
6,Other Operating Expenses,4.35,-1.7,2.65,1.36,0.46,2.39,0.83,1.02,-
7,Operating Expenses,93.62,134.69,143.97,187.86,135.64,114.35,100.18,191.31,16.99
8,Operating Income,-11.34,-62.61,-64.26,-114.85,-84.78,-78.45,-81.12,-185.31,-15.9
9,Interest Expense,-0.9,-1.03,-1.13,-1.14,-1.01,-1.12,-1.24,-1.03,-0.57
10,Interest & Investment Income,4.35,4.76,6.43,8.12,7.02,3.17,2.33,0.12,0.06
11,Earnings From Equity Investments,-,-,-,-32.01,-2.79,-,-,-,-
12,Currency Exchange Gain (Loss),0.41,-1.41,2.81,3.76,4.54,-21.36,-0.91,-7.58,-0
13,Other Non Operating Income (Expenses),2.64,10.02,1.19,1.85,10.03,-7.54,-15.48,-6.53,0.39
14,EBT Excluding Unusual Items,-4.84,-50.27,-54.95,-134.26,-66.99,-105.31,-96.43,-200.35,-16.02
15,Gain (Loss) on Sale of Investments,1.65,0.72,0.22,-,-,1.08,2.76,-,0.19
16,Gain (Loss) on Sale of Assets,-,1.27,0.1,-,-,-,-,-,-
17,Pretax Income,-3.2,-48.28,-54.64,-134.26,-66.99,-104.24,-93.67,-200.35,-15.83
18,Income Tax Expense,1.92,-8.61,-0.3,-0.7,-0.17,-,-,-,-
19,Earnings From Continuing Operations,-5.12,-39.67,-54.34,-133.57,-66.82,-104.24,-93.67,-200.35,-15.83
20,Minority Interest in Earnings,-,-,-,-,-,1.71,1.97,2.52,-
21,Net Income,-5.12,-39.67,-54.34,-133.57,-66.82,-102.52,-91.7,-197.83,-15.83
22,Net Income to Common,-5.12,-39.67,-54.34,-133.57,-66.82,-102.52,-91.7,-197.83,-15.83
23,Shares Outstanding (Basic),38,38,38,38,38,36,30,23,21
24,Shares Outstanding (Diluted),38,38,38,38,38,36,30,23,21
25,Shares Change (YoY),-0.97%,-1.01%,0.00%,5.46%,25.56%,58.06%,47.02%,-,-
26,EPS (Basic),-0.14,-1.04,-1.42,-3.48,-1.75,-2.82,-3.02,-8.59,-0.77
27,EPS (Diluted),-0.14,-1.04,-1.42,-3.48,-1.75,-2.82,-3.02,-8.59,-0.77
28,Free Cash Flow,7.78,-18.03,-74.95,-138.09,-165.19,-164.69,-94,-77.35,-13.07
29,Free Cash Flow Per Share,0.21,-0.47,-1.97,-3.60,-4.33,-4.52,-3.09,-3.36,-0.63
30,Operating Margin,-8.83%,-51.01%,-58.64%,-108.02%,-110.51%,-130.83%,-269.29%,-1495.55%,-732.15%
31,Profit Margin,-3.98%,-32.32%,-49.58%,-125.63%,-87.10%,-170.97%,-304.40%,-1596.56%,-729.34%
32,Free Cash Flow Margin,6.05%,-14.69%,-68.39%,-129.89%,-215.33%,-274.64%,-312.02%,-624.22%,-602.12%
33,EBITDA,1.35,-50.6,-51.97,-100.75,-72.93,-73.88,-78.27,-182.69,-13.56
34,D&A For EBITDA,12.69,12.01,12.29,14.1,11.85,4.58,2.85,2.62,2.33
35,EBIT,-11.34,-62.61,-64.26,-114.85,-84.78,-78.45,-81.12,-185.31,-15.9
