,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,null null,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+19 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+19 Quarters
0,Cash & Equivalents,550.67,575.78,616.75,608.76,628.73,644.06,664.93,612.04,448.71,-,494,837.79,-,777.58,782.32,949.46,935.17,576.17,1085,1581,Upgrade
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,448,-,-,Upgrade
2,Trading Asset Securities,0.39,0.28,0.48,0.59,0.66,0.49,0.83,0.85,0.96,-,0.75,1.26,-,-,-,-,-,-,-,-,Upgrade
3,Cash & Short-Term Investments,551.06,576.06,617.22,609.35,629.38,644.55,665.76,612.88,449.67,-,494.76,839.06,-,777.58,782.32,949.46,935.17,1024,1085,1581,Upgrade
4,Cash Growth,-12.44%,-10.62%,-7.29%,-0.58%,39.96%,-,34.56%,-26.96%,-,-,-36.76%,-11.63%,-,-24.08%,-27.88%,-39.94%,-7.64%,-16.62%,10.53%,7.08%,Upgrade
5,Accounts Receivable,1478,1415,1402,1422,1354,1566,1544,1665,1670,-,1654,1593,-,1514,1416,1540,1503,1551,1624,1866,Upgrade
6,Other Receivables,189.34,216.21,152.7,143.97,145.06,133.08,127.96,128.15,150.29,-,209.05,199.1,-,211.77,184.41,131.98,161,153.26,186.49,191.78,Upgrade
7,Receivables,1667,1631,1555,1566,1499,1699,1672,1793,1821,-,1863,1792,-,1726,1601,1672,1664,1704,1811,2058,Upgrade
8,Inventory,153.07,147.76,125.77,112.18,134.92,100.38,55.8,57.04,54.97,-,19.39,11.69,-,6.06,7.45,4.56,3.12,2.23,5.34,2.08,Upgrade
9,Prepaid Expenses,-,-,-,6.1,-,-,-,6.5,-,-,-,-,-,-,-,-,-,8.58,-,-,Upgrade
10,Other Current Assets,355.49,216.49,161.28,143.99,256.22,175.04,213.16,174.6,267,-,388.54,207.28,-,205.07,355,200.49,317.76,157.66,551.08,144.05,Upgrade
11,Total Current Assets,2727,2571,2459,2437,2520,2619,2606,2644,2592,-,2766,2850,-,2714,2746,2826,2920,2897,3452,3785,Upgrade
12,"Property, Plant & Equipment",2053,1710,1753,1789,1398,1440,1474,1494,1430,-,1453,1469,-,1374,1408,1321,1318,1324,1331,1363,Upgrade
13,Long-Term Investments,592.94,575.49,562.81,562.71,525.98,526.25,490.25,478.43,444.31,-,435.55,446.39,-,453.62,311.59,367.09,314.46,317.65,248.86,326.88,Upgrade
14,Goodwill,50.49,50.49,50.49,50.49,59.72,59.72,7.08,7.08,7.08,-,7.08,7.08,-,7.08,7.08,7.08,7.08,7.08,7.08,7.08,Upgrade
15,Other Intangible Assets,512.36,547.17,543.98,549.27,551.09,556.49,536.99,541.92,528.38,-,537.24,541.71,-,503.62,507.38,511.28,440,506.23,406.57,421.23,Upgrade
16,Long-Term Deferred Tax Assets,186.04,175.4,171.45,161.81,152.27,143.44,132.21,120.61,114.08,-,103.22,95.81,-,105.56,94.87,85.5,87.2,88.7,93.08,82.77,Upgrade
17,Long-Term Deferred Charges,21.78,18.49,23.61,18.69,17.66,14.49,7.83,6.61,16.06,-,11.37,10.88,-,10.46,13.07,17.73,26.9,26.73,21.45,21.76,Upgrade
18,Other Long-Term Assets,86.55,82.96,83.52,92.41,135.59,135.33,131.11,132.37,157.39,-,180.77,173.35,-,270.77,210.67,164.99,267.52,157.88,224.71,159.42,Upgrade
19,Total Assets,6236,5731,5648,5662,5360,5494,5386,5425,5290,-,5494,5594,-,5440,5298,5301,5381,5325,5785,6167,Upgrade
20,Accounts Payable,738.05,670.02,596.22,581.28,596.71,560.12,588.86,626.03,635.11,-,739.57,786.8,-,787.13,652.03,762.66,692.95,689.84,837.77,835.79,Upgrade
21,Accrued Expenses,6.07,32.17,8.49,42.94,17.89,34.32,11.56,46.65,16.58,-,13.73,49.62,-,33.82,10.62,74.48,11.34,85.04,11.57,43.05,Upgrade
22,Short-Term Debt,951.01,831.56,774.39,939.5,927.88,1095,1083,1035,931.3,-,947.71,956.94,-,899.22,747.63,722.5,908.82,897.04,945.75,1225,Upgrade
23,Current Portion of Long-Term Debt,368.02,287.69,94.45,47.61,13.89,5.64,45.49,5.36,112.66,-,159.96,3.4,-,-,-,-,-,-,-,-,Upgrade
24,Current Portion of Leases,-,11.27,-,11.22,-,26.95,-,77.99,-,-,-,173.23,-,-,176.55,-,153.1,151.91,150.75,151.05,Upgrade
25,Current Income Taxes Payable,20.58,5.33,15.74,8.18,32.55,10.11,33.79,16.52,36.3,-,20.29,7.16,-,-,15.65,9.72,59.53,4.03,16.44,17.47,Upgrade
26,Current Unearned Revenue,26.93,21.67,28.27,20.48,36.37,20.28,22.75,21.99,45.65,-,38.79,20.79,-,16.86,10.49,21.4,-,9.03,-,-,Upgrade
27,Other Current Liabilities,205.6,205.73,232.53,217.07,244.37,284.66,279.91,315.01,248.88,-,267.02,281.49,-,392.6,247.94,371.85,222.12,151.41,155.28,158.74,Upgrade
28,Total Current Liabilities,2316,2065,1750,1868,1870,2038,2066,2144,2026,-,2187,2279,-,2130,1861,1963,2048,1988,2118,2431,Upgrade
29,Long-Term Debt,600.16,379.54,611.61,530.7,438.99,676.13,669.64,660.19,659.34,-,644.15,612.24,-,564.27,554.91,545.55,527.46,527.7,511.01,509.74,Upgrade
30,Long-Term Leases,44.6,29.71,31.76,26.85,33.67,32.33,36.52,22.09,31.56,-,78.46,105.14,-,192.87,269.8,232.01,270.22,310.92,350.65,387.81,Upgrade
31,Long-Term Unearned Revenue,10.51,10.61,11.15,11.24,11.34,10.99,11.13,11.18,11.26,-,11.34,11.38,-,5.01,5.01,5.01,-,-,-,-,Upgrade
32,Long-Term Deferred Tax Liabilities,3.66,3.79,3.79,3.85,3.82,4.23,3.62,3.28,6.02,-,25.51,23.51,-,34.47,21.61,12.59,18,17.5,15.95,14.17,Upgrade
33,Other Long-Term Liabilities,3.94,4.39,4.39,4.69,0.64,0.64,0.64,0.64,-,-,0.11,0.11,-,-,0.32,0.46,1.1,1.2,2.25,2.26,Upgrade
34,Total Liabilities,2979,2493,2413,2446,2358,2762,2787,2842,2735,-,2947,3032,-,2926,2713,2758,2865,2846,2997,3345,Upgrade
35,Common Stock,603.47,603.47,603.47,603.47,587.78,560.35,560.35,560.35,560.35,-,560.28,560.28,-,560.28,560.28,560.28,560.28,560.28,560.27,560.27,Upgrade
36,Additional Paid-In Capital,912.36,912.36,912.36,896.38,670.15,371,371,371,370.99,-,370.23,385.53,-,372.95,385.08,385.07,390.31,390.3,390.29,390.29,Upgrade
37,Retained Earnings,1329,1321,1325,1326,1345,1300,1268,1255,1240,-,1238,1237,-,1198,1247,1207,1169,1133,1445,1478,Upgrade
38,Comprehensive Income & Other,116.2,113.17,112.75,117.06,125.77,225.87,202.77,201.4,191.29,-,195.61,198.54,-,211.98,211.67,211.25,221.37,221.59,221.5,222.55,Upgrade
39,Total Common Equity,2961,2950,2954,2943,2729,2458,2402,2388,2363,-,2364,2382,-,2343,2404,2363,2341,2305,2617,2652,Upgrade
