,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,null null,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+19 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+19 Quarters
0,Operating Revenue,1098,909.81,902.78,902.62,982.63,992.77,883.53,1107,993.96,901.98,934.26,1248,-,1185,1080,1245,1070,1050,699.99,1337,Upgrade
1,Other Revenue,-11.07,11.07,-,21.95,-12.35,12.35,-,20.85,-11.03,11.03,-,10.92,-,-,-,12.78,-7.34,7.34,-,2.83,Upgrade
2,Revenue,1087,920.88,902.78,924.57,970.28,1005,883.53,1127,982.93,913.02,934.26,1259,-,1185,1080,1258,1063,1057,699.99,1340,Upgrade
3,Revenue Growth (YoY),11.98%,-8.38%,2.18%,-17.99%,-1.29%,10.09%,-5.43%,-10.44%,-,-22.94%,-13.46%,0.10%,-,12.11%,54.22%,-6.17%,-9.95%,-3.41%,-40.21%,-22.35%,Upgrade
4,Cost of Revenue,974.81,804.75,796.66,839.01,863.68,894.11,781.93,994.75,909.85,852.55,838.99,1142,-,1138,976.81,1127,943.18,918.83,634.73,1223,Upgrade
5,Gross Profit,111.73,116.13,106.12,85.56,106.6,111.02,101.6,132.65,73.08,60.46,95.27,116.86,-,46.38,102.72,130.24,119.62,138.02,65.27,117.52,Upgrade
6,"Selling, General & Admin",85.16,80.96,79.47,94.03,79.28,74.88,71.45,80.93,73.94,59.85,69.21,80.31,-,68.6,69.35,91.98,70.21,57.51,75.05,83.88,Upgrade
7,Research & Development,1.5,1.02,0.77,4.74,0.66,1.1,0.19,1.9,0.43,1.53,0.62,-2.54,-,1.78,3.58,1.91,0.39,1.31,2.02,-2.99,Upgrade
8,Other Operating Expenses,1.02,-4.26,-2.19,-1.52,-7.5,5.95,6.18,7.57,0.05,-3.13,-1.53,-13.18,-,-49.84,-32.11,-36.86,-3.39,-10.76,-14.96,-47.24,Upgrade
9,Operating Expenses,85.7,83.57,79.83,86.52,83.38,76.97,84.13,115.2,75.09,59.07,70.26,72.92,-,24.15,37.21,64.11,70.33,44.93,58.33,69.71,Upgrade
10,Operating Income,26.02,32.56,26.29,-0.96,23.22,34.05,17.46,17.45,-2.01,1.4,25.01,43.94,-,22.23,65.51,66.13,49.29,93.09,6.94,47.81,Upgrade
