,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,61,81,57,91,111,128,141,173,195,168,168,Upgrade
1,Market Cap Growth,-11.11%,-11.11%,-48.48%,-28.95%,-21.43%,-26.21%,-27.59%,3.00%,16.00%,-23.66%,-44.44%,Upgrade
2,Enterprise Value,131,240,155,195,172,98,140,98,124,81,70,Upgrade
3,Last Close Price,0.73,0.96,0.68,1.08,1.32,1.52,1.68,2.06,2.32,2.00,1.69,Upgrade
4,PE Ratio,-,-615.57,-,-,-3.53,-,-,-,-5.77,-,2.30,Upgrade
5,PS Ratio,0.10,0.13,0.12,0.18,0.27,0.47,0.39,0.39,0.55,0.22,0.18,Upgrade
6,PB Ratio,0.13,0.17,0.12,0.19,0.22,0.29,0.27,0.28,0.31,0.27,0.24,Upgrade
7,P/TBV Ratio,0.17,0.17,0.12,0.19,0.22,0.29,0.27,0.28,0.31,0.27,0.24,Upgrade
8,P/FCF Ratio,-,-2.08,-,-4.52,-,-,-,-,-,16.50,-,Upgrade
9,P/OCF Ratio,-,-6.93,-,4.48,-,-,-,-,-,6.91,-,Upgrade
10,EV/Sales Ratio,0.21,0.38,0.34,0.38,0.41,0.36,0.39,0.22,0.35,0.11,0.08,Upgrade
11,EV/EBITDA Ratio,2.83,5.69,16.99,-,-12.67,-,-,-,-5.11,-,0.64,Upgrade
12,EV/EBIT Ratio,9.31,17.56,-8.24,-,-4.33,-,-,-,-2.41,-,0.83,Upgrade
13,EV/FCF Ratio,-3.36,-6.18,-,-9.74,-,-,-,-,-,7.92,-,Upgrade
14,Debt / Equity Ratio,0.39,0.39,0.54,0.53,0.63,0.68,0.26,0.22,0.19,0.13,0.18,Upgrade
15,Debt / FCF Ratio,-,-4.76,-,-12.48,-,-,-,-,-,7.64,-,Upgrade
16,Return on Capital Employed (ROCE),2.57%,2.50%,-2.93%,-,-5.64%,-,-,-,-7.44%,-,10.97%,Upgrade
17,Earnings Yield,-0.21%,-0.16%,-49.51%,33.53%,-28.37%,-137.21%,-71.36%,-1.82%,-17.32%,15.54%,43.46%,Upgrade
18,FCF Yield,-63.29%,-48.13%,-84.69%,-22.10%,-80.93%,-51.67%,-15.30%,-32.05%,-7.65%,6.06%,-5.05%,Upgrade
