,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,239,265,211,232,292,460,796,-,-,-
1,Market Cap Growth,14.29%,14.29%,-27.84%,-49.46%,-63.33%,-,-,-,-,-
2,Enterprise Value,16,129,195,271,514,619,1293,-,-,-
3,Last Close Price,1.44,1.37,1.09,1.09,1.38,2.17,3.39,-,-,-
4,PE Ratio,49.11,54.57,-,-2.57,-,-,-,-,-,-
5,PS Ratio,0.15,0.17,0.11,0.10,0.11,0.15,0.21,-,-,-
6,PB Ratio,0.30,0.33,0.26,0.28,0.34,0.48,0.73,-,-,-
7,P/TBV Ratio,0.33,0.33,0.26,0.28,0.34,0.48,0.73,-,-,-
8,P/FCF Ratio,0.96,1.07,1.34,0.87,0.99,-5.12,-,-,-,-
9,P/OCF Ratio,1.07,1.07,1.33,0.87,0.99,-5.19,-,-,-,-
10,EV/Sales Ratio,0.01,0.08,0.10,0.12,0.19,0.20,0.35,-,-,-
11,EV/EBITDA Ratio,0.69,22.39,-,-4.99,-,-,-,-,-,-
12,EV/EBIT Ratio,1.06,22.66,-,-4.91,-,-,-,-,-,-
13,EV/FCF Ratio,0.06,0.52,1.24,1.02,1.75,-6.90,-,-,-,-
14,Debt / Equity Ratio,0.22,0.22,0.32,0.39,0.59,0.52,0.67,1.16,1.07,-
15,Debt / FCF Ratio,0.71,0.71,1.62,1.20,1.74,-5.65,-,-,-,-
16,Return on Capital Employed (ROCE),0.68%,0.68%,-,-6.31%,-,-,-,18.59%,21.20%,-
17,Earnings Yield,2.04%,1.83%,-9.53%,-38.94%,-45.66%,-9.40%,4.70%,-,-,-
18,FCF Yield,104.14%,93.72%,74.81%,114.96%,100.55%,-19.53%,-19.86%,-,-,-
19,Dividend Yield,35.71%,18.19%,-,10.96%,-,-,-,-,-,-
20,Buyback Yield / Dilution,-,-,-,-1.53%,-22.70%,-14815.19%,-61.72%,-,-,
21,Total Shareholder Return,35.71%,18.19%,-,10.96%,-1.53%,-22.70%,-14815.19%,-61.72%,-,-
