,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,365.41,338.4,276.02,417.64,243.16,442.09,325.55,252.33,-
1,Short-Term Investments,-,18.83,-,-,-,18.27,-,14.82,-
2,Trading Asset Securities,10,-,36.13,-,-,5,-,-,-
3,Cash & Short-Term Investments,375.41,357.22,312.15,417.64,243.16,465.36,325.55,267.16,-
4,Cash Growth,20.27%,-14.47%,28.37%,-10.25%,-25.31%,74.19%,-,-,-
5,Accounts Receivable,126.89,154.86,253.47,294.53,279.64,316.77,325.37,248.48,-
6,Other Receivables,79.46,147.69,117.98,309.76,131.93,288.32,176.08,300.14,-
7,Receivables,206.35,304.34,371.45,604.29,411.57,605.09,501.45,616.06,-
8,Inventory,293.21,279.57,365.32,535.65,624.92,783.48,759.73,659.36,-
9,Restricted Cash,60.48,52.48,60.03,62.76,65.32,7.55,4.15,3.2,-
10,Other Current Assets,107.45,46.74,116.03,50.42,173.53,83.01,184.04,161.05,-
11,Total Current Assets,1043,1040,1225,1671,1518,1944,1775,1707,-
12,"Property, Plant & Equipment",10.07,10.48,13.38,20.1,10.76,25.01,33.59,34.89,-
13,Long-Term Investments,60.78,52.05,17.29,15.91,31.31,29.63,25.96,24,-
14,Other Intangible Assets,1.72,1.83,1.93,1.68,1.48,1.91,1.59,1.92,-
15,Long-Term Deferred Tax Assets,53.62,52.64,56.67,55.32,39.89,28.95,27.41,25.83,-
16,Other Long-Term Assets,-,-,0.45,1.79,-,-,-,-,-
17,Total Assets,1169,1157,1315,1766,1602,2030,1863,1793,-
18,Accounts Payable,205.99,137.75,180.91,465.79,223.83,448.73,397.5,398.77,-
19,Accrued Expenses,12.55,19.34,25.04,32,27.45,34.8,34.29,27.64,-
20,Short-Term Debt,122,181,239.16,368.24,358.68,494.07,649.92,576.78,-
21,Current Portion of Long-Term Debt,5.16,6.79,9.08,16.06,16.29,20.21,19.59,17,-
22,Current Portion of Leases,5.67,5.67,5.65,5.83,5.64,10.85,11.36,9.72,-
23,Current Income Taxes Payable,12.55,9.45,10.6,15.16,11.57,7.65,18.44,35.09,-
24,Current Unearned Revenue,-,0.52,-,2.83,12.44,5.88,0.05,3.43,-
25,Other Current Liabilities,29.41,30.97,33.21,34.56,68.06,44.97,33.48,50.07,-
26,Total Current Liabilities,393.33,391.5,503.64,940.47,723.95,1067,1165,1119,-
27,Long-Term Debt,28.93,35.19,37.97,50.93,51.8,67.33,48.2,42.31,-
28,Long-Term Leases,3.41,3.41,5.24,11.03,0.46,4.4,10.64,14.98,-
29,Total Liabilities,425.67,430.09,546.85,1002,776.22,1139,1223,1176,-
30,Common Stock,0.01,0.01,0.01,0.01,0.01,0.01,-,-,-
31,Additional Paid-In Capital,2525,2525,2543,2543,2543,2585,2318,2318,-
32,Retained Earnings,-299.11,-322.85,-303.63,-304.64,-219.93,-186.72,-183.04,-217.19,-
33,Comprehensive Income & Other,-1485,-1476,-1472,-1475,-1497,-1506,-1494,-1482,-
34,Total Common Equity,741.05,726.28,767.02,762.97,826.02,892.6,640.88,618.73,-
35,Minority Interest,2.35,0.98,0.81,0.17,-0.32,-1.52,-0.88,-1.04,-
36,Shareholders' Equity,743.41,727.26,767.83,763.13,825.71,891.08,640.01,617.69,-
37,Total Liabilities & Equity,1169,1157,1315,1766,1602,2030,1863,1793,-
38,Total Debt,165.17,232.05,297.11,452.1,432.87,596.86,739.7,660.79,-
39,Net Cash (Debt),210.24,125.17,15.04,-34.46,-189.71,-131.51,-414.15,-393.64,-
40,Net Cash Growth,1297.50%,-,-,-,-,-,-,-,-
41,Net Cash Per Share,1.27,0.75,0.09,-0.21,-1.14,-0.80,-3.06,-359.34,-
42,Filing Date Shares Outstanding,165.89,165.89,165.89,165.89,165.89,165.89,135.2,1.35,83.6
43,Total Common Shares Outstanding,165.89,165.89,165.89,165.89,165.89,165.89,135.2,1.35,83.6
44,Working Capital,649.56,648.86,721.33,730.3,794.54,877.32,610.3,588.33,-
45,Book Value Per Share,4.47,4.38,4.62,4.60,4.98,5.38,4.74,457.63,-
46,Tangible Book Value,739.34,724.45,765.09,761.29,824.55,890.69,639.29,616.81,-
47,Tangible Book Value Per Share,4.46,4.37,4.61,4.59,4.97,5.37,4.73,456.21,-
48,Machinery,-,2.23,-,1.65,-,9.22,-,7.19,-
49,Construction In Progress,-,-,-,-,-,-,-,0.03,-
50,Leasehold Improvements,-,5.5,-,5.63,-,14.59,-,12.09,-
