,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,746.16,696.25,800.14,749.75,592.17,497.13,414.85,417.68,289.64,364.78
1,Revenue Growth (YoY),-6.75%,-7.14%,35.12%,50.81%,42.74%,19.02%,43.23%,14.50%,115.89%,55.45%
2,Cost of Revenue,698.69,681.53,693.91,682.03,519.34,402.72,335.82,356.71,263.22,284.86
3,Gross Profit,47.48,14.72,106.23,67.72,72.83,94.41,79.03,60.97,26.42,79.93
4,"Selling, General & Admin",47.11,47.2,36.01,26.17,17.74,18.89,15.82,17.2,15.86,21.59
5,Operating Expenses,41.25,66.74,43.57,28.16,16.92,21.4,16.79,16.23,15.45,23.55
6,Operating Income,6.22,-52.03,62.66,39.56,55.9,73.01,62.24,44.74,10.97,56.38
7,Interest Expense,-5.39,-4.52,-3.33,-0.76,-,-,-,-,-,-
8,Interest & Investment Income,0.5,0.74,0.29,0.66,0.67,0.93,0.84,0.95,1.68,2.24
9,Earnings From Equity Investments,7.21,0.73,0.21,3.24,2.89,4.84,0.35,0.54,0.26,0.22
10,Currency Exchange Gain (Loss),1.85,1.86,-2.71,0.43,-0.18,-0.56,-,-,-,-
11,Other Non Operating Income (Expenses),1.14,-1.16,1.44,0.04,0.01,0.65,-0.19,0.7,-0.45,0.35
12,EBT Excluding Unusual Items,11.53,-54.38,58.56,43.17,59.3,78.86,63.24,46.93,12.47,59.19
13,Gain (Loss) on Sale of Assets,-1.41,6.9,-,-0.02,-,-,-,-,-,-
14,Asset Writedown,-0.05,-,-,-,-,-,-,-4.26,-,-
15,Other Unusual Items,-0.47,9.66,-9.66,0.09,-,2.41,-,1.83,-,-0.69
16,Pretax Income,9.6,-37.82,48.9,43.24,59.3,81.27,63.24,44.49,12.47,58.5
17,Income Tax Expense,1.62,-5.2,10.72,5.6,5.27,9.37,8.67,6.57,-0.53,6.86
18,Earnings From Continuing Operations,7.98,-32.62,38.18,37.64,54.03,71.9,54.57,37.92,13,51.64
19,Minority Interest in Earnings,-1.03,-11.21,-5.94,-8.21,-2.12,-,-,-,-,-
20,Net Income,6.95,-43.83,32.24,29.43,51.91,71.9,54.57,37.92,13,51.64
21,Net Income to Common,6.95,-43.83,32.24,29.43,51.91,71.9,54.57,37.92,13,51.64
22,Net Income Growth,-78.45%,-,-37.89%,-59.06%,-4.87%,89.61%,319.74%,-26.57%,176.95%,51.06%
23,Shares Outstanding (Basic),3986,3992,3996,4003,4010,4016,4028,4037,4042,4043
24,Shares Outstanding (Diluted),3986,3992,3996,4003,4010,4016,4028,4037,4042,4043
25,Shares Change (YoY),-0.25%,-0.28%,-0.34%,-0.32%,-0.45%,-0.52%,-0.34%,-0.16%,-0.16%,-0.20%
26,EPS (Basic),0.00,-0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.00,0.01
27,EPS (Diluted),0.00,-0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.00,0.01
28,EPS Growth,-78.93%,-,-37.46%,-58.93%,-4.44%,90.60%,321.84%,-26.44%,176.10%,51.38%
29,Free Cash Flow,29.21,-33.48,-175.93,-103.25,-76.6,104.51,33.12,59.46,-22.02,6.97
30,Free Cash Flow Per Share,0.01,-0.01,-0.04,-0.03,-0.02,0.03,0.01,0.01,-0.01,0.00
31,Dividend Per Share,-,-,-,-,0.010,0.015,0.013,0.009,0.003,-
32,Dividend Growth,-,-,-,-,-19.53%,65.93%,312.90%,-,-,-
33,Operating Margin,0.83%,-7.47%,7.83%,5.28%,9.44%,14.69%,15.00%,10.71%,3.79%,15.45%
34,Profit Margin,0.93%,-6.29%,4.03%,3.93%,8.77%,14.46%,13.15%,9.08%,4.49%,14.16%
35,Free Cash Flow Margin,3.91%,-4.81%,-21.99%,-13.77%,-12.94%,21.02%,7.98%,14.23%,-7.60%,1.91%
36,EBITDA,10.79,-48.2,66.88,43.35,58.63,76.84,65.64,48.06,14.47,60.87
37,D&A For EBITDA,4.57,3.83,4.21,3.79,2.72,3.83,3.4,3.33,3.49,4.49
38,EBIT,6.22,-52.03,62.66,39.56,55.9,73.01,62.24,44.74,10.97,56.38
