,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,71,453,401,371,66,127,180,154,160,123,184,Upgrade
1,Market Cap Growth,22.23%,22.23%,504.21%,192.52%,-63.15%,-17.69%,12.32%,25.18%,-12.92%,-77.50%,-54.41%,Upgrade
2,Enterprise Value,-170,211,187,172,-68,41,39,57,11,-44,-93,Upgrade
3,Last Close Price,0.32,2.19,2.05,2.15,0.55,1.05,1.95,2.44,3.66,3.36,6.05,Upgrade
4,PE Ratio,9.71,-,76.34,-,-,-,-,-,-,-,-,Upgrade
5,PS Ratio,0.11,0.84,0.80,0.78,0.13,0.20,0.27,0.23,0.27,0.47,-,Upgrade
6,PB Ratio,0.13,0.91,0.82,0.82,0.18,0.32,0.49,0.48,0.54,0.34,0.45,Upgrade
7,P/TBV Ratio,0.92,0.92,0.89,0.98,0.23,0.39,0.55,0.54,0.62,0.36,0.45,Upgrade
8,P/FCF Ratio,-,-,-,-,0.70,-1.81,-,-,-,-,-,Upgrade
9,P/OCF Ratio,-,-,-,-,0.64,-2.66,-,-,-,-,-,Upgrade
10,EV/Sales Ratio,0.39,0.39,0.37,0.36,-,0.07,0.06,0.09,0.02,-,-,Upgrade
11,EV/EBITDA Ratio,5.70,5.70,18.50,-,-,-,-,-,-,-,-,Upgrade
12,EV/EBIT Ratio,8.47,8.47,-66.28,-,-,-,-,-,-,-,-,Upgrade
13,EV/FCF Ratio,3.55,-,-,-,-,-0.59,-,-,-,-,-,Upgrade
14,Debt / Equity Ratio,0.10,0.10,0.05,0.08,0.14,0.14,0.17,0.21,0.24,0.17,0.20,Upgrade
15,Debt / FCF Ratio,-,-,-,-,0.53,-0.78,-,-,-,-,-,Upgrade
16,Return on Capital Employed (ROCE),4.68%,4.68%,-0.56%,-,-,-,-,-,-,-,-,Upgrade
17,Earnings Yield,8.75%,1.36%,1.31%,-12.22%,-81.36%,-22.00%,-25.74%,-87.74%,-107.83%,-56.81%,-,Upgrade
18,FCF Yield,-67.50%,-10.52%,-32.91%,-7.23%,143.86%,-55.28%,-67.26%,-26.50%,-12.03%,-2.01%,-,Upgrade
19,Buyback Yield / Dilution,-34.67%,-23.08%,-50.25%,-69.69%,-64.48%,-109.36%,-79.14%,-34.03%,-,-14.62%,-,Upgrade
20,Total Shareholder Return,-34.67%,-23.08%,-50.25%,-69.69%,-64.48%,-109.36%,-79.14%,-34.03%,-,-14.62%,-,Upgrade
