,Fiscal Quarter,Current,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Oct '23 Oct 1, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Oct '22 Oct 1, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Oct '21 Oct 1, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Oct '20 Oct 1, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,1352578,1362619,1337518,1359033,1348287,1166187,1092865,1171576,841597,736655,953615,1082287,1591896,1435902,1245131,1144373,1351822,950526,906316,632551,517826,Upgrade
1,Market Cap Growth,16.84%,16.84%,22.39%,16.00%,60.21%,58.31%,14.60%,8.25%,-47.13%,-48.70%,-23.41%,-5.43%,17.76%,51.06%,37.38%,80.91%,161.06%,51.74%,52.84%,25.81%,4.03%,Upgrade
2,Enterprise Value,1200587,1129580,1121798,1180862,1151006,815755,765530,894517,623270,480072,718608,837615,1295485,982653,773971,744873,914262,512966,461986,172219,147113,Upgrade
3,Last Close Price,32800.00,33043.48,31242.33,31744.88,31493.61,26626.56,25361.97,27188.60,19530.83,17095.33,21781.20,24719.93,36359.62,32796.64,27712.34,27487.70,32470.62,22831.54,21388.35,14927.71,11972.10,Upgrade
4,PE Ratio,11.64,11.73,10.77,8.81,8.84,7.76,7.45,10.03,7.29,6.89,7.24,7.14,9.22,8.28,8.61,8.14,8.90,6.40,4.56,3.81,3.89,Upgrade
5,PS Ratio,11.31,11.39,10.21,10.52,9.17,7.38,5.93,5.95,4.88,5.11,8.52,8.58,12.59,11.25,10.30,10.94,11.44,6.94,4.11,2.96,2.44,Upgrade
6,PB Ratio,1.61,1.61,1.53,1.61,1.66,1.44,1.38,1.61,1.21,1.10,1.46,1.74,2.68,2.51,2.26,2.28,2.98,2.24,2.14,1.67,1.52,Upgrade
7,P/TBV Ratio,1.62,1.62,1.54,1.62,1.66,1.44,1.38,1.62,1.21,1.11,1.47,1.74,2.68,2.51,2.27,2.29,2.99,2.25,2.15,1.68,1.53,Upgrade
8,P/FCF Ratio,-,-,-,-,-39.05,-,38.35,20.45,-177.16,-,-2.89,-,-,-,19.97,24.20,31.96,-,-,2.93,3.33,Upgrade
