,Fiscal Quarter,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Oct '23 Oct 1, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Oct '22 Oct 1, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Oct '21 Oct 1, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Oct '20 Oct 1, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,9421,57387,44971,70428,37192,16023,5736,8944,34838,15556,11593,6842,211322,22252,20171,9060,-,6231,4873,15895,Upgrade
1,Short-Term Investments,225930,245570,241670,164195,310778,407828,396726,345233,242834,300212,254500,269851,129291,456491,477819,417853,-,455555,465133,470789,Upgrade
2,Trading Asset Securities,11652,15423,14500,30601,7575,5840,6493,6864,7001,5075,5386,5648,5648,5559,5386,-,-,5560,5293,4659,Upgrade
3,Cash & Short-Term Investments,247003,318381,301141,265223,355545,429691,408955,361040,284673,320843,271480,282340,346260,484303,503376,426913,467346,467346,475299,491344,Upgrade
4,Cash Growth,-30.53%,-25.90%,-26.36%,-26.54%,24.90%,33.93%,50.64%,27.87%,-17.79%,-33.75%,-46.07%,-33.86%,-25.91%,3.63%,5.91%,-13.11%,16.82%,40.02%,55.23%,39.86%,Upgrade
5,Accounts Receivable,5889,6256,6577,6091,4816,9052,9938,36224,9243,14008,6683,6906,5881,29532,7377,7510,-,7075,16080,12793,Upgrade
6,Other Receivables,4727,4404,1999,6554,13161,9756,10806,8313,5599,6403,11961,9540,9186,14225,10834,33802,-,14072,14558,11815,Upgrade
7,Receivables,97850,35560,69476,12646,17977,18808,20744,44537,14842,20412,18644,16446,15067,43756,18211,41311,-,32647,42138,36109,Upgrade
8,Inventory,547.84,129.05,3573,2390,9750,17323,17403,26808,35081,37304,38027,33088,32809,39376,69074,69056,-,71424,71437,74314,Upgrade
9,Prepaid Expenses,345.45,439.99,448.29,432.02,578.6,119.16,375.25,613.28,442.56,86.16,154.49,200.67,231.3,43.86,104.98,164.35,-,163.53,262.27,190.39,Upgrade
10,Other Current Assets,75638,130496,132818,148781,106038,9374,10602,5570,6699,8164,8374,15202,17397,20611,6506,5932,-,10866,12319,19768,Upgrade
11,Total Current Assets,421384,485006,507456,429472,489888,475315,458080,438569,341738,386809,336679,347277,411764,588090,597272,543378,-,582447,601455,621725,Upgrade
12,"Property, Plant & Equipment",331109,295461,268424,240634,185190,170498,186253,182736,208644,207884,201671,170669,168506,156225,138280,138717,-,122819,112897,96527,Upgrade
13,Long-Term Investments,313685,313685,292661,389784,320006,315406,263452,284421,281834,288914,299118,278841,277312,342728,294776,283750,-,238438,219123,197756,Upgrade
