,Fiscal Quarter,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Oct '23 Oct 1, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Oct '22 Oct 1, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Oct '21 Oct 1, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Oct '20 Oct 1, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,26796,26230,27538,39018,38153,24531,45286,50005,64523,37131,20865,21585,32309,51342,21244,22719,25613,35016,34868,41430,Upgrade
1,Revenue Growth (YoY),-29.77%,6.93%,-39.19%,-21.97%,-40.87%,-33.93%,117.04%,131.67%,99.71%,-27.68%,-1.78%,-4.99%,26.14%,46.62%,-39.07%,-45.16%,-76.52%,22.78%,4.69%,18.47%,Upgrade
2,Cost of Revenue,9326,6823,12646,12493,12709,11309,17159,22316,37120,10660,7552,7154,10598,11367,8091,9486,8712,12960,9682,19032,Upgrade
3,Gross Profit,17470,19407,14892,26526,25444,13222,28127,27689,27403,26470,13312,14431,21711,39974,13152,13234,16901,22056,25187,22397,Upgrade
4,"Selling, General & Admin",4979,12129,1851,5391,4852,7049,7595,4871,4653,6399,4858,4054,5361,4830,4158,987.48,3889,7534,3938,3443,Upgrade
5,Operating Expenses,4979,12129,1851,5391,4852,7049,7595,4871,4653,6399,4858,4054,5361,4830,4158,987.48,3889,7534,3938,3443,Upgrade
6,Operating Income,12491,7278,13040,21135,20592,6173,20531,22818,22750,20071,8454,10377,16350,35144,8995,12246,13012,14522,21248,18955,Upgrade
7,Interest Expense,-283.57,-,-250.8,-22694,-360.93,-77.41,-304.77,-620.9,-323.31,-35307,-181.16,-746.44,-166.33,-216.3,-163.75,-198.8,-176.82,-186.28,-191.36,-2720,Upgrade
8,Interest & Investment Income,28498,9156,4310,-,41569,17983,14370,13004,10315,380.74,6378,5983,57112,7893,38474,18611,5932,13038,24168,-,Upgrade
9,Earnings From Equity Investments,-,16408,13889,8629,-,52122,-,2753,-,10168,14830,3016,-,12322,21467,1189,-,33453,30399,1021,Upgrade
10,Currency Exchange Gain (Loss),-,-34.84,-,-,-,-0.34,-,-,-,-,-,-,-,-2.46,-,-,-,-0.1,-,-,Upgrade
11,Other Non Operating Income (Expenses),-22349,5271,3592,31921,-21900,1206,518.76,8.35,496.6,1083,277.26,365.24,-864.33,-1352,-18216,-8652,10800,358.76,-11669,10968,Upgrade
12,EBT Excluding Unusual Items,18356,38078,34580,38991,39901,77406,35115,37962,33238,-3604,29759,18994,72431,53788,50555,23195,29568,61186,63955,28224,Upgrade
13,Gain (Loss) on Sale of Investments,11455,2164,16.66,148.84,-165.5,310.11,-159.69,-839.86,999.55,46746,-261.27,7644,-7382,10243,1234,2300,-2300,132.98,-125.16,125.16,Upgrade
14,Gain (Loss) on Sale of Assets,-,-,-,-,-,-3384,-,-,-,-930.24,-,-,-,-110.91,-,-,-,-616.76,-,-,Upgrade
15,Other Unusual Items,-,-117.14,-,-,-,-90.03,-,-,-,-1843,-,-,-,-,-,-,-,-12.86,-,-,Upgrade
16,Pretax Income,29811,40124,34597,39140,39735,74243,34956,37122,34237,40369,29497,26638,65049,63921,51790,25495,27268,60689,63830,28350,Upgrade
17,Income Tax Expense,6139,652.02,4426,6286,8073,3551,6634,6516,6162,1854,2657,4512,12125,3326,3839,2446,3241,3970,4500,8708,Upgrade
18,Earnings From Continuing Operations,23672,39472,30171,32854,31662,70692,28322,30606,28075,38515,26840,22126,52923,60595,47950,23049,24027,56719,59330,19642,Upgrade
19,Minority Interest in Earnings,-3.27,-630.81,-14.81,-34.9,34.9,31.32,-30.6,26.58,117.22,62.08,46.2,30.13,54.72,11.73,48.25,-32.91,104.56,260.1,42.57,-156.02,Upgrade
20,Net Income,23669,38841,30156,32819,31697,70723,28291,30633,28193,38577,26886,22156,52978,60607,47999,23016,24132,56979,59372,19486,Upgrade
21,Preferred Dividends & Other Adjustments,-,9346,-,-,-,11049,-,-,-,8855,-,-,-,11127,-,-,-,11533,-,-,Upgrade
22,Net Income to Common,23669,29496,30156,32819,31697,59674,28291,30633,28193,29723,26886,22156,52978,49480,47999,23016,24132,45446,59372,19486,Upgrade
23,Net Income Growth,-25.33%,-45.08%,6.59%,7.14%,12.43%,83.33%,5.23%,38.26%,-46.78%,-36.35%,-43.99%,-3.73%,119.54%,6.37%,-19.16%,18.12%,-67.59%,189.53%,126.72%,-33.52%,Upgrade
24,Shares Outstanding (Basic),41,41,41,41,41,41,40,68,16,40,40,53,27,40,39,37,37,37,37,37,Upgrade
25,Shares Outstanding (Diluted),41,41,41,41,41,41,40,68,16,40,40,53,27,40,39,37,37,37,37,37,Upgrade
26,Shares Change (YoY),-0.14%,0.07%,3.16%,-39.50%,163.07%,2.81%,-0.32%,27.93%,-41.57%,0.15%,2.70%,43.24%,-28.12%,7.57%,4.78%,1.70%,2.18%,1.73%,1.89%,27.14%,Upgrade
