,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,1638811,1750676,2186946,1891073,1422300,1230529,1049412,852331,610192,799061,724319,1478117,1840276,1351782,800120,821176,539028,324259,290570,265303,290570,Upgrade
1,Market Cap Growth,42.27%,42.27%,108.40%,121.87%,133.09%,54.00%,44.88%,-42.34%,-66.84%,-40.89%,-9.47%,80.00%,241.41%,316.88%,175.36%,209.52%,85.51%,4.05%,-18.82%,-37.00%,-15.08%,Upgrade
2,Enterprise Value,2285637,2460792,2897063,2601615,2132842,1913128,1716616,1346539,1104400,1507263,1186820,1940618,2215902,1727407,1175745,1196801,1059599,814151,878405,906448,784808,Upgrade
3,Last Close Price,29300.00,31300.00,39100.00,33809.52,25428.57,22000.00,18761.90,15238.10,10909.09,14285.71,12949.37,26425.75,32900.43,24167.14,14304.54,13950.57,9157.30,5508.69,4936.36,4117.61,4509.76,Upgrade
4,PE Ratio,15.88,12.61,24.20,31.07,24.72,21.92,29.62,13.44,6.61,7.12,5.04,10.78,14.28,8.67,5.62,6.70,5.24,4.07,4.26,3.51,3.87,Upgrade
5,Forward PE,-,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,Upgrade
6,PS Ratio,0.22,0.24,0.28,0.25,0.19,0.17,0.15,0.12,0.08,0.11,0.11,0.21,0.27,0.20,0.11,0.12,0.08,0.05,0.04,0.04,0.04,Upgrade
7,PB Ratio,1.51,1.61,2.02,1.88,1.41,1.25,1.09,0.90,-,0.87,0.80,1.77,2.21,-,-,-,0.71,0.46,0.42,0.38,0.42,Upgrade
8,P/TBV Ratio,1.64,1.64,2.04,1.91,1.44,1.28,1.11,0.91,-,0.89,0.81,1.81,2.26,-,-,-,0.73,0.47,0.44,0.39,0.43,Upgrade
