,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,228,94,187,87,109,150,109,278,429,309,502
1,Market Cap Growth,7.14%,7.14%,71.43%,-41.67%,0%,-46.17%,-74.55%,-10.08%,-14.51%,-,-
2,Enterprise Value,233,85,189,83,92,156,126,290,435,289,510
3,Last Close Price,0.73,0.30,0.60,0.28,0.35,0.48,0.42,1.07,1.65,1.19,1.93
4,PE Ratio,-,-,-,-,-,-,-,-,-,10.14,14.01
5,PS Ratio,2.72,1.12,2.16,0.73,0.89,1.51,0.93,1.74,1.41,0.64,0.90
6,PB Ratio,8.22,3.38,3.52,1.07,1.04,1.19,0.75,1.27,1.87,1.33,2.27
7,P/TBV Ratio,3.38,3.38,3.52,1.07,1.04,1.19,0.75,1.27,1.87,1.33,2.27
8,P/FCF Ratio,-,-,31200.00,-,-,-,12.84,-,-,-,-
9,P/OCF Ratio,-,-,31200.00,-,-,-,12.84,-,-,-,-
10,EV/Sales Ratio,2.78,1.01,2.18,0.69,0.75,1.58,1.07,1.81,1.43,0.59,0.91
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,-,6.70,8.20
12,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,6.91,8.31
13,EV/FCF Ratio,-,-,31510.67,-,-,-,14.81,-,-,-,-
14,Debt / Equity Ratio,0.21,0.21,0.18,0.12,0.09,0.08,0.11,0.12,0.08,0.07,0.02
15,Debt / FCF Ratio,-,-,1603.67,-,-,-,1.91,-,-,-,-
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,17.37%,27.67%
17,Earnings Yield,-23.76%,-57.83%,-27.57%,-50.88%,-51.47%,-72.05%,-76.18%,-4.90%,1.72%,9.87%,7.14%
18,FCF Yield,-3.45%,-3.23%,0.00%,-27.35%,-12.08%,6.69%,7.79%,-0.88%,-6.46%,-37.86%,-20.43%
19,Buyback Yield / Dilution,0.06%,-,0.13%,-18.04%,-20.15%,-1.66%,-,-,-6.49%,-33.33%,-25.21%
20,Total Shareholder Return,0.06%,-,0.13%,-18.04%,-20.15%,-1.66%,-,-,-6.49%,-33.33%,-25.21%
