,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,92.73,115.99,95.03,119,79.92,69.1,51.67,67.29,42.17,94.65
1,Revenue Growth (YoY),-2.42%,-2.54%,18.90%,72.22%,54.67%,2.69%,22.52%,-28.91%,-49.53%,12.84%
2,Cost of Revenue,63.59,81.6,66.6,88.58,57.16,49.67,38.75,48.36,30.8,65.86
3,Gross Profit,29.14,34.39,28.44,30.43,22.76,19.43,12.93,18.92,11.37,28.79
4,"Selling, General & Admin",19.46,14.67,18.51,16.73,15.1,11.05,10.35,9.37,10.65,11.57
5,Operating Expenses,19.37,14.52,18.47,16.45,15.1,10.8,10.35,10.18,10.65,11.38
6,Operating Income,9.77,19.87,9.97,13.98,7.66,8.63,2.58,8.74,0.72,17.42
7,Interest Expense,-0.04,-0.04,-0.03,-0.05,-0.04,-0.04,-0.03,-0.05,-0.04,-0.08
8,Interest & Investment Income,1.1,1.16,0.72,0.82,0.34,0.42,0.64,0.03,0.05,0.03
9,Earnings From Equity Investments,-1.35,-1.37,-,-,-,-,-,-,-,-
10,Currency Exchange Gain (Loss),-,-0.05,0.61,0.05,0.62,-0.02,0.29,0.03,0.22,0.19
11,Other Non Operating Income (Expenses),0.12,0.27,0.23,0.11,0.53,0.09,0.26,-0.09,0.24,0.49
12,EBT Excluding Unusual Items,9.6,19.83,11.49,14.91,9.11,9.08,3.74,8.66,1.19,18.04
13,Gain (Loss) on Sale of Investments,-,-,-,-0.01,0.01,-0.03,0.03,0.09,-,-
14,Gain (Loss) on Sale of Assets,0.08,-,-,-,-,-,-,0.05,-,0.08
15,Other Unusual Items,0.06,-0.56,0.05,0.35,-,0.49,0.62,-1.17,-5.06,-2.52
16,Pretax Income,9.73,19.28,11.54,15.25,9.12,9.54,4.38,7.62,-3.87,15.59
17,Income Tax Expense,3.06,5.12,3.53,4.85,2.85,2.6,1.72,3.13,0.55,4.32
18,Earnings From Continuing Operations,6.68,14.16,8.01,10.4,6.27,6.94,2.66,4.49,-4.42,11.28
19,Minority Interest in Earnings,-0.46,-1,-0.54,-1.3,-0.27,-0.34,0.06,0.05,0.26,-0.46
20,Net Income,6.21,13.15,7.47,9.1,6.01,6.6,2.72,4.54,-4.16,10.82
21,Net Income to Common,6.21,13.15,7.47,9.1,6.01,6.6,2.72,4.54,-4.16,10.82
22,Net Income Growth,-16.80%,44.58%,24.36%,37.79%,120.57%,45.41%,-,-58.04%,-,12.68%
23,Shares Outstanding (Basic),628,628,628,628,628,628,628,623,471,471
24,Shares Outstanding (Diluted),628,628,628,628,628,628,628,623,471,471
25,Shares Change (YoY),-,-,-,-,-,0.83%,33.33%,32.24%,-,-
26,EPS (Basic),0.01,0.02,0.01,0.01,0.01,0.01,0.00,0.01,-0.01,0.02
27,EPS (Diluted),0.01,0.02,0.01,0.01,0.01,0.01,0.00,0.01,-0.01,0.02
28,EPS Growth,-16.81%,44.58%,24.36%,37.79%,120.60%,44.22%,-,-68.27%,-,-
29,Free Cash Flow,10.53,15.48,-0.42,13.29,-15.06,17.33,-2.74,-4.19,-8.19,14.1
30,Free Cash Flow Per Share,0.02,0.02,-0.00,0.02,-0.02,0.03,-0.00,-0.01,-0.02,0.03
31,Operating Margin,10.53%,17.13%,10.49%,11.74%,9.58%,12.49%,4.99%,12.99%,1.71%,18.40%
32,Profit Margin,6.70%,11.34%,7.86%,7.65%,7.51%,9.56%,5.27%,6.75%,-9.85%,11.43%
33,Free Cash Flow Margin,11.35%,13.35%,-0.44%,11.17%,-18.84%,25.08%,-5.30%,-6.23%,-19.41%,14.90%
34,EBITDA,10.59,20.59,11.24,14.29,8.62,8.94,3.44,9.56,1.64,17.65
35,D&A For EBITDA,0.82,0.72,1.28,0.31,0.96,0.31,0.86,0.82,0.92,0.23
36,EBIT,9.77,19.87,9.97,13.98,7.66,8.63,2.58,8.74,0.72,17.42
