,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,132,383,364,257,245,295,279,236,214,-,-
1,Market Cap Growth,48.78%,48.78%,48.72%,-12.77%,-12.36%,25.33%,30.88%,-,-,-,-
2,Enterprise Value,-17,241,245,132,140,157,169,118,184,-,-
3,Last Close Price,0.21,0.61,0.58,0.41,0.39,0.47,0.45,0.38,0.34,-,-
4,PE Ratio,4.11,11.95,10.37,9.26,9.11,13.14,16.01,17.34,286.72,-,-
5,PS Ratio,0.38,1.11,1.01,0.72,0.69,1.11,1.24,1.06,1.01,-,-
6,PB Ratio,0.40,1.13,1.09,0.84,0.79,1.02,0.96,0.85,0.76,-,-
7,P/TBV Ratio,1.17,1.17,1.12,0.87,0.82,1.04,0.98,0.86,0.76,-,-
8,P/FCF Ratio,3.06,8.90,14.21,-,-78.13,-,10.24,-,-,-,-
9,P/OCF Ratio,8.13,8.13,6.76,5.21,25.46,-,7.32,-75.67,-,-,-
10,EV/Sales Ratio,0.70,0.70,0.68,0.37,0.39,0.59,0.75,0.53,0.87,-,-
11,EV/EBITDA Ratio,4.78,4.68,4.52,3.08,3.43,5.02,7.29,4.84,8.52,-,-
12,EV/EBIT Ratio,4.93,4.92,4.83,3.28,3.63,5.41,8.05,5.56,10.08,-,-
13,EV/FCF Ratio,-0.40,5.61,9.56,-,-44.58,-,6.19,-,-,-,-
14,Debt / Equity Ratio,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.06,0.11,0.10
15,Debt / FCF Ratio,0.25,0.25,0.43,-,-4.22,-,0.57,-,-,-,0.57
16,Return on Capital Employed (ROCE),14.15%,14.17%,14.82%,12.78%,12.08%,9.64%,6.89%,7.33%,6.17%,17.92%,30.39%
17,Earnings Yield,24.31%,8.37%,9.64%,10.80%,10.98%,7.61%,6.25%,5.77%,0.35%,-,-
18,FCF Yield,32.64%,11.24%,7.04%,8.39%,-1.28%,1.37%,9.77%,-5.50%,-11.18%,-,-
19,Buyback Yield / Dilution,-,-,-,-,-,-0.83%,-33.33%,-32.24%,-,-,
20,Total Shareholder Return,-,-,-,-,-,-0.83%,-33.33%,-32.24%,-,-,
