,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,133.67,134.24,114.78,22.43,124.84,95.56,85.47,11.21,94.34,64.51,33.91,33.91
1,Other Revenue,-,-0.1,0.1,-,0,-,-,-,0.19,-0.14,0.07,0.07
2,Revenue,133.67,134.14,114.88,22.43,124.85,95.56,85.47,11.21,94.52,64.36,33.99,33.99
3,Revenue Growth (YoY),7.06%,40.37%,34.41%,100.21%,32.08%,48.47%,151.50%,-67.03%,-,-,-,-
4,Cost of Revenue,-43.51,17.65,21.5,4.36,26.5,13,11.67,2.72,14.13,8.59,4.61,4.61
5,Gross Profit,177.18,116.48,93.39,18.08,98.35,82.56,73.8,8.49,80.39,55.77,29.37,29.37
6,"Selling, General & Admin",-32.63,11.47,10.03,11.14,10.01,11.14,8.96,6.53,6.92,9.67,5.58,5.58
7,Research & Development,-82.51,28.79,31.9,21.82,23.92,23.09,20.13,13.06,16.23,13.85,12.83,12.83
8,Other Operating Expenses,188.02,-3.3,-0.51,-0.1,12.65,-3.8,-4.49,-2.06,5.68,0,-1.77,-1.77
9,Operating Expenses,72.37,36.53,47.09,28.13,46.88,36.95,26.33,15.88,33.23,23.35,16.33,16.33
10,Operating Income,104.81,79.95,46.3,-10.05,51.47,45.62,47.47,-7.39,47.16,32.42,13.04,13.04
11,Interest Expense,-18.34,-0.36,-0.41,-,-0.47,-0.01,-0.17,-,-0.42,-,-0.06,-0.06
12,Interest & Investment Income,0.77,5.5,6.41,6.42,7.54,7.2,0.33,0.66,2.63,0.36,0.78,0.78
13,Currency Exchange Gain (Loss),-,0.03,-0.03,-,-0.51,0.35,-0.35,-,-0.13,-0.01,0,0
14,Other Non Operating Income (Expenses),-0.42,-0.15,0.14,-0.2,0.75,-0.47,0.15,-0.16,0.29,-0.17,-0.13,-0.13
