,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,24798,20155,16644,11264,13660,15468,15136,18740,-,-,-,-,-
1,Market Cap Growth,30.29%,30.29%,9.96%,-39.89%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,23690,19047,15065,9899,12097,13897,13521,18492,-,-,-,-,-
3,Last Close Price,61.90,50.31,41.61,28.16,34.01,38.51,37.62,46.58,-,-,-,-,-
4,PE Ratio,112.55,91.45,80.60,62.25,-,93.52,100.83,148.23,-,-,-,-,-
5,Forward PE,75.95,66.13,59.72,44.00,57.39,68.89,73.83,97.10,-,-,-,-,-
6,PS Ratio,61.23,49.75,42.00,31.49,41.61,48.78,52.78,73.33,-,-,-,-,-
7,PB Ratio,11.18,9.10,7.52,5.29,6.62,7.32,7.41,9.32,-,-,-,-,-
8,P/TBV Ratio,9.32,9.32,7.70,5.43,6.79,7.51,7.62,9.60,-,-,-,-,-
9,P/FCF Ratio,-,-,148.96,146.17,715.89,-145004.80,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,112.34,103.17,279.25,803.54,-,685.55,-,-,-,-,-
11,EV/Sales Ratio,58.48,47.02,38.01,27.67,36.85,43.83,47.15,72.36,-,-,-,-,-
12,EV/EBITDA Ratio,103.28,82.84,85.31,69.58,-,95.38,95.63,144.28,-,-,-,-,-
13,EV/EBIT Ratio,107.19,86.18,89.84,74.23,-,101.32,101.77,154.54,-,-,-,-,-
14,EV/FCF Ratio,-,-,134.82,128.45,633.97,-130272.99,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.02,0.02,-,-,0.01
16,Debt / EBITDA Ratio,0.10,0.05,0.07,0.11,-,0.10,0.05,0.05,-,0.06,-,-,0.11
17,Debt / FCF Ratio,-,-,0.20,0.32,1.56,-227.17,-,-,-,0.29,-,-,0.43
18,Asset Turnover,-,0.24,0.21,0.04,0.23,0.18,-,-,-,-,-,-,
19,Inventory Turnover,-,-,0.84,1.06,0.23,1.49,0.76,-,-,-,-,-,-
20,Quick Ratio,-,-,35.73,42.82,22.39,48.41,36.02,39.98,-,12.17,-,-,-
21,Current Ratio,-,-,50.06,44.98,26.42,50.78,38.06,41.77,-,14.06,-,-,-
22,Return on Equity (ROE),14.87%,15.04%,11.08%,-0.31%,13.17%,11.07%,14.23%,-3.79%,-,-,-,-,
23,Return on Assets (ROA),-,8.94%,5.31%,-1.16%,6.02%,5.47%,-,-,-,-,-,-,
24,Return on Capital (ROIC),11.72%,9.11%,5.45%,-1.19%,6.14%,5.60%,8.97%,-2.95%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,7.50%,6.21%,-,6.43%,6.48%,5.93%,-,16.97%,-,-,-
26,Earnings Yield,0.89%,1.09%,1.24%,1.61%,1.24%,1.07%,0.99%,0.67%,-,-,-,-,-
27,FCF Yield,-,0.67%,0.68%,0.14%,-0.00%,0.04%,-0.02%,-,-,-,-,-,
28,Dividend Yield,0.39%,-,-,-,-,0.49%,-,0.13%,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,88.20%,-,13.68%,26.10%,-,-,-,-,53.28%,53.28%
30,Buyback Yield / Dilution,-6.60%,1.60%,4.79%,-3.96%,-37.65%,-35.68%,-7.79%,-13.12%,15.69%,-,-,-,-
31,Total Shareholder Return,-6.21%,1.60%,4.79%,-3.96%,-37.65%,-35.19%,-7.79%,-12.99%,15.69%,-,-,-,-
