,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,656.08,670.73,880.8,913.53,1120,1396,-,123.28,-,-,-
1,Short-Term Investments,-,-,152.54,-,201.29,-,-,-,-,-,-,-
2,Trading Asset Securities,-,472.89,781.18,514.78,472.56,460.57,229.33,-,137.71,-,-,-
3,Cash & Short-Term Investments,1129,1129,1604,1396,1587,1581,1625,261,261,-,-,235.27
4,Cash Growth,-28.88%,-28.58%,-1.27%,434.71%,508.20%,-,-,10.94%,-,-,-,-
5,Accounts Receivable,-,393.84,343.12,312.55,363.87,300.55,242.88,-,214.79,-,-,-
6,Other Receivables,-,2.1,3.21,3.04,2.16,4.19,1.72,-,1.31,-,-,-
7,Receivables,-,395.95,346.33,315.59,366.04,304.74,244.6,-,216.1,-,-,-
8,Inventory,-,87.53,81.12,80.63,68.32,74.22,62.72,-,49.94,-,-,-
9,Prepaid Expenses,-,-,1.04,-,0.21,-,1.36,-,0.2,-,-,-
10,Other Current Assets,-,523.85,16.47,227.4,27.43,32.89,19.52,-,23.99,-,-,-
11,Total Current Assets,-,2136,2049,2019,2049,1993,1953,-,551.24,-,-,-
12,"Property, Plant & Equipment",-,54.01,56.55,59.11,50.58,30.88,29.82,-,24,-,-,-
13,Other Intangible Assets,-,51.18,51.96,53.44,54.96,55.6,57.31,-,60.57,-,-,-
14,Long-Term Deferred Charges,-,26.93,25.98,20.5,18.48,14.78,16.04,-,8.52,-,-,-
15,Other Long-Term Assets,-,9.17,10.18,12.55,1.31,8.9,9.13,-,17.71,-,-,-
16,Total Assets,-,2278,2194,2165,2175,2103,2066,-,662.03,-,-,-
17,Accounts Payable,-,5.22,12.74,5.14,5.41,4.91,27.16,-,3.08,-,-,-
18,Accrued Expenses,-,17.55,20.98,1.79,21.03,11.93,11.51,-,23.67,-,-,-
19,Current Portion of Leases,-,8.75,9.04,11.5,7.52,3.04,3.06,-,5.43,-,-,-
20,Current Income Taxes Payable,-,9.3,-,1.62,-,7.81,-,-,-,-,-,-
21,Current Unearned Revenue,-,0.43,0.77,0.24,0.14,0.32,0.17,-,0.09,-,-,-
22,Other Current Liabilities,-,1.42,2.03,56.12,6.27,24.33,4.86,-,6.91,-,-,-
23,Total Current Liabilities,-,42.67,45.56,76.42,40.35,52.35,46.76,-,39.19,-,-,-
24,Long-Term Leases,-,13.13,15.7,18.33,16.71,6.12,6.51,-,6.94,-,-,-
25,Long-Term Unearned Revenue,-,0.73,0.78,0.83,0.88,0.93,1,-,1,-,-,-
26,Other Long-Term Liabilities,-,7.11,4.23,4.27,3.14,1.05,1.16,-,-,-,-,-
27,Total Liabilities,-,63.65,66.27,99.85,61.1,60.45,55.43,-,47.13,-,-,-
28,Common Stock,-,400.01,400.01,400.01,400.01,400.01,400.01,-,344.8,-,-,-
29,Additional Paid-In Capital,-,1367,1363,1358,1354,1351,1351,-,51.74,-,-,-
30,Retained Earnings,-,446.63,365,306.95,359.75,291.33,259.24,-,218.35,-,-,-
31,Comprehensive Income & Other,-,-0,-0,-0,-0,-0,-0,-,-0,-,-,-
32,Shareholders' Equity,2214,2214,2128,2065,2114,2042,2010,614.89,614.89,-,-,514.83
33,Total Liabilities & Equity,-,2278,2194,2165,2175,2103,2066,-,662.03,-,-,-
34,Total Debt,21.88,21.88,24.74,29.83,24.23,9.16,9.58,12.37,12.37,-,-,7.1
35,Net Cash (Debt),1107,1107,1580,1366,1563,1572,1616,248.62,248.62,-,-,228.17
36,Net Cash Growth,-29.18%,-29.55%,-2.22%,449.32%,528.72%,-,-,8.97%,-,-,-,-
37,Net Cash Per Share,2.64,2.94,3.89,3.41,3.67,3.97,4.14,0.85,0.79,-,-,0.66
38,Filing Date Shares Outstanding,400.61,400.01,400.01,400.01,400.01,400.01,400.01,290.99,344.8,367.46,345.16,345.16
39,Total Common Shares Outstanding,400.61,400.01,400.01,400.01,400.01,400.01,400.01,290.99,344.8,367.46,345.16,345.16
40,Working Capital,-,2094,2004,1943,2009,1940,1907,-,512.04,-,-,-
41,Book Value Per Share,5.53,5.53,5.32,5.16,5.28,5.11,5.03,1.78,1.78,-,-,1.49
42,Tangible Book Value,2163,2163,2076,2012,2059,1987,1953,554.33,554.33,-,-,447.99
43,Tangible Book Value Per Share,5.41,5.41,5.19,5.03,5.15,4.97,4.88,1.61,1.61,-,-,1.30
44,Machinery,-,-,36.5,-,32.8,-,25.21,-,11.32,-,-,-
45,Construction In Progress,-,-,4.84,-,-,-,-,-,4.11,-,-,-
