,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,152.95,45.76,296.99,174.32,125.95,2.14,0.66,4.57,1.71,3.31,Upgrade
1,Cash & Short-Term Investments,152.95,45.76,296.99,174.32,125.95,2.14,0.66,4.57,1.71,3.31,Upgrade
2,Cash Growth,-48.50%,-73.75%,135.79%,8060.96%,18983.79%,-53.23%,-61.31%,38.02%,-78.72%,195.71%,Upgrade
3,Accounts Receivable,131.91,78.11,19.93,29.86,29.63,59.91,46.05,52.91,45.03,41.85,Upgrade
4,Other Receivables,16.08,30.29,0.54,35.11,40.7,3.08,11.91,10.05,20.21,14.36,Upgrade
5,Receivables,147.99,108.4,20.46,64.98,70.33,62.99,57.96,62.96,65.24,56.21,Upgrade
6,Prepaid Expenses,23.37,63.28,7.75,50.76,56.07,21.99,34.29,16.9,24.93,17.01,Upgrade
7,Other Current Assets,-,-,-,-,-,-,0.54,0.5,51.56,52.56,Upgrade
8,Total Current Assets,324.31,217.44,325.2,290.06,252.35,87.12,93.45,84.93,143.44,129.09,Upgrade
9,"Property, Plant & Equipment",165.49,163.3,87.65,138.32,150.19,168.01,184.58,198.79,192.71,209.82,Upgrade
10,Goodwill,26.4,26.49,10.86,23.06,35.92,37.55,36.89,36.55,33.61,34.27,Upgrade
11,Other Intangible Assets,21.15,27.93,-,-,0.03,0.12,0.18,0.24,0.27,0.34,Upgrade
12,Long-Term Deferred Tax Assets,5.33,5.38,4.87,11.3,6.74,7.05,6.92,6.86,8.29,8.45,Upgrade
13,Other Long-Term Assets,13.59,31.54,104.86,13.54,14.06,14.69,-,-,-,-,Upgrade
14,Total Assets,556.26,472.08,533.43,476.27,459.28,314.54,322.02,327.37,378.33,381.95,Upgrade
15,Accounts Payable,85.31,-,-,-,-,-,-,-,0.32,0.32,Upgrade
16,Accrued Expenses,46.31,38.75,40.28,19.53,21.4,38.68,20.11,18.98,15.88,16.41,Upgrade
17,Short-Term Debt,80.88,68.93,140.26,46.12,47.55,69.22,154.57,160.48,165.86,166.37,Upgrade
