,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022"
0,Market Capitalization,2323,4380,4168,-,-,-
1,Enterprise Value,2151,4201,4225,-,-,-
2,Last Close Price,2.88,5.43,5.21,-,-,-
3,PE Ratio,246.81,492.89,-,-,-,-
4,PS Ratio,3.86,7.71,7.39,-,-,-
5,PB Ratio,4.22,7.96,8.29,-,-,-
6,P/TBV Ratio,7.99,7.99,8.34,-,-,-
7,P/FCF Ratio,692.81,-,205.50,-,-,-
8,P/OCF Ratio,158.10,158.10,91.78,-,-,-
9,EV/Sales Ratio,3.79,7.39,7.49,-,-,-
10,EV/EBITDA Ratio,36.51,71.57,58.58,-,-,-
11,EV/EBIT Ratio,58.93,115.08,85.45,-,-,-
12,EV/FCF Ratio,641.54,-,208.29,-,-,-
13,Debt / Equity Ratio,0.23,0.23,0.25,0.42,0.35,-
14,Debt / FCF Ratio,37.11,-,6.23,2.42,2.09,-
15,Return on Capital Employed (ROCE),5.43%,5.43%,7.89%,15.81%,14.44%,-
16,Earnings Yield,0.38%,0.20%,0.20%,-,-,-
17,FCF Yield,0.14%,0.08%,0.49%,-,-,-
18,Buyback Yield / Dilution,-6.69%,-12.92%,-,-,-,-
19,Total Shareholder Return,-6.69%,-12.92%,-,-,-,-
