,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Market Capitalization,2987,3282,3262,3707,4503,-,-,-,-
1,Enterprise Value,2114,2473,2277,3673,4470,-,-,-,-
2,Last Close Price,15.60,17.14,17.04,18.81,22.86,-,-,-,-
3,PE Ratio,22.14,26.69,22.42,23.31,30.65,-,-,-,-
4,PS Ratio,1.73,2.03,1.95,2.14,2.58,-,-,-,-
5,PB Ratio,1.62,1.78,1.79,1.92,2.38,-,-,-,-
6,P/TBV Ratio,1.84,1.84,1.85,1.97,2.44,-,-,-,-
7,P/FCF Ratio,102.93,113.20,-,48.16,-,-,-,-,-
8,P/OCF Ratio,30.99,31.00,41.01,23.38,-,-,-,-,-
9,EV/Sales Ratio,1.31,1.53,1.36,2.12,2.56,-,-,-,-
10,EV/EBITDA Ratio,11.82,13.38,11.04,15.42,19.44,-,-,-,-
11,EV/EBIT Ratio,17.78,19.87,15.60,20.52,25.93,-,-,-,-
12,EV/FCF Ratio,72.84,85.31,-,47.72,-,-,-,-,-
13,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.04,0.10,-,0.11,0.11
14,Debt / EBITDA Ratio,0.14,0.11,0.21,0.11,0.46,0.28,-,0.45,0.23
15,Debt / FCF Ratio,0.85,0.85,-,0.33,-,0.73,-,-,2.16
16,Asset Turnover,0.76,0.73,0.74,-,-,-,-,-,
17,Inventory Turnover,6.84,6.08,5.70,6.34,-,-,-,-,-
18,Quick Ratio,6.47,6.47,6.24,6.59,5.39,1.01,-,-,0.78
19,Current Ratio,7.81,7.81,7.90,8.17,6.35,1.87,-,-,1.59
20,Return on Equity (ROE),4.55%,7.15%,7.81%,-,-,-,12.57%,-,
21,Return on Assets (ROA),5.03%,1.37%,4.91%,-,-,-,-,-,
22,Return on Capital (ROIC),5.47%,1.49%,5.34%,-,-,-,9.90%,-,
23,Return on Capital Employed (ROCE),6.37%,6.67%,7.91%,9.18%,9.04%,20.75%,-,-,5.29%
24,Earnings Yield,4.23%,3.75%,4.46%,4.29%,3.26%,-,-,-,-
25,FCF Yield,0.97%,0.88%,0.28%,2.08%,0.98%,-,-,-,-
26,Dividend Yield,3.21%,-,-,-,2.19%,-,-,-,-
27,Payout Ratio,76.74%,3.79%,284.44%,0.80%,1.55%,1.44%,93.12%,3.09%,2.80%
28,Buyback Yield / Dilution,-25.87%,-36.35%,-25.37%,-39.99%,-0.65%,-,-,-,-
29,Total Shareholder Return,-22.66%,-36.35%,-25.37%,-39.99%,1.54%,-,-,-,-
