,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Operating Revenue,385.66,376.78,392.66,451.7,445.44,431.79,411.4,475.83
1,Other Revenue,-2.57,2.57,-,7.76,-4.34,4.34,-,7.93
2,Revenue,383.09,379.35,392.66,459.47,441.1,436.13,411.4,483.76
3,Revenue Growth (YoY),-13.15%,-13.02%,-4.55%,-5.02%,-,-,-,-
4,Cost of Revenue,345.52,336.34,345.06,400.18,372.7,371.57,366.24,422.42
5,Gross Profit,37.57,43,47.6,59.28,68.39,64.56,45.16,61.35
6,"Selling, General & Admin",13.01,16.8,10.9,21.57,11.89,12.4,9.53,13.53
7,Research & Development,1.69,5.07,1.33,3.11,1.96,2.47,2.9,2.95
8,Other Operating Expenses,-13.46,5.39,-1.59,2.47,-7.92,5.28,-1.81,2.18
9,Operating Expenses,-3.09,31.68,5.7,28.66,6.26,20.17,9.96,17.92
10,Operating Income,40.66,11.33,41.9,30.62,62.14,44.39,35.19,43.43
11,Interest Expense,-0,-0.01,-0.12,-0.5,-0.6,-0.67,-0.78,-1.17
12,Interest & Investment Income,6.15,3.5,3.25,0.23,0.2,0.01,0.22,0.03
13,Currency Exchange Gain (Loss),-4.77,4.77,-,-0.18,-1.6,1.6,-,-1.81
14,Other Non Operating Income (Expenses),-1.53,1.51,1.97,-0.09,-2.28,6.16,-6.14,-0.1
15,EBT Excluding Unusual Items,40.5,21.1,47,30.07,57.85,51.49,28.49,40.39
16,Gain (Loss) on Sale of Investments,-2.23,4.3,-,-,-,-,-,-0.27
17,Gain (Loss) on Sale of Assets,-1.77,1.87,-1.78,0.08,-,0.27,-,0.54
18,Asset Writedown,1.71,-1.71,-,-3.09,0.36,-0.86,0.63,-2.45
19,Legal Settlements,-,-,-,-,2.94,-2.94,-,-0.41
20,Other Unusual Items,-13.56,13.54,0.12,7.91,-7.9,7.9,-,4.45
21,Pretax Income,24.65,39.1,45.34,34.97,53.25,55.86,29.12,42.25
22,Income Tax Expense,3.76,5.57,8.08,3.72,9.79,8.85,3.9,-1.63
23,Net Income,20.88,33.53,37.27,31.25,43.46,47.01,25.22,43.88
24,Net Income to Common,20.88,33.53,37.27,31.25,43.46,47.01,25.22,43.88
25,Net Income Growth,-51.95%,-28.67%,47.77%,-28.77%,-,-,-,-
26,Shares Outstanding (Basic),190,187,196,142,140,149,140,141
27,Shares Outstanding (Diluted),190,187,196,142,140,149,140,141
28,Shares Change (YoY),36.35%,25.37%,39.99%,0.65%,-,-,-,-
29,EPS (Basic),0.11,0.18,0.19,0.22,0.31,0.32,0.18,0.31
30,EPS (Diluted),0.11,0.18,0.19,0.22,0.31,0.32,0.18,0.31
31,EPS Growth,-64.76%,-43.10%,5.56%,-29.23%,-,-,-,-
32,Free Cash Flow,65.92,-7.05,2.83,-32.71,46.21,60.64,-29.93,39.71
33,Free Cash Flow Per Share,0.35,-0.04,0.01,-0.23,0.33,0.41,-0.21,0.28
34,Dividend Per Share,-,-,-,0.500,-,-,-,0.300
35,Dividend Growth,-,-,-,66.67%,-,-,-,-
36,Gross Margin,9.81%,11.34%,12.12%,12.90%,15.51%,14.80%,10.98%,12.68%
37,Operating Margin,10.61%,2.99%,10.67%,6.66%,14.09%,10.18%,8.55%,8.98%
38,Profit Margin,5.45%,8.84%,9.49%,6.80%,9.85%,10.78%,6.13%,9.07%
39,Free Cash Flow Margin,17.21%,-1.86%,0.72%,-7.12%,10.48%,13.90%,-7.28%,8.21%
40,EBITDA,55.23,27.82,56.47,45.31,76.67,59.76,48.18,92.3
41,EBITDA Margin,14.42%,7.33%,14.38%,9.86%,17.38%,13.70%,11.71%,19.08%
42,D&A For EBITDA,14.58,16.5,14.58,14.7,14.53,15.37,12.99,48.87
43,EBIT,40.66,11.33,41.9,30.62,62.14,44.39,35.19,43.43
44,EBIT Margin,10.61%,2.99%,10.67%,6.66%,14.09%,10.18%,8.55%,8.98%
45,Effective Tax Rate,15.27%,14.24%,17.82%,10.63%,18.39%,15.85%,13.40%,-
46,Revenue as Reported,383.09,379.35,392.66,1748,441.1,436.13,411.4,1847
