,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Cash & Equivalents,184.01,171.64,350.79,1073,75.48,-,-,88.05
1,Trading Asset Securities,713.95,660.77,659.81,-,43.06,-,-,0.82
2,Cash & Short-Term Investments,897.96,832.41,1011,1073,118.54,-,88.87,88.87
3,Cash Growth,657.49%,-,1037.18%,1107.56%,-,-,-,-
4,Accounts Receivable,173.15,185.43,167.33,186.22,158.38,-,-,156.21
5,Other Receivables,4.79,10.97,6.58,3.07,6.38,-,-,7.11
6,Receivables,177.94,196.39,173.9,189.28,164.76,-,-,163.32
7,Inventory,203.05,251.73,219.93,215.14,213.97,-,-,243.66
8,Prepaid Expenses,-,0.07,-,-,-,-,-,9.31
9,Other Current Assets,18.55,21.59,64.2,11.16,27.58,-,-,9.88
10,Total Current Assets,1298,1302,1469,1489,524.86,-,-,515.04
11,"Property, Plant & Equipment",636.24,621.43,593.96,586.18,583.33,-,-,563.25
12,Long-Term Investments,15,14.79,14.49,14.54,15.05,-,-,14.94
13,Other Intangible Assets,61.78,62.38,44.54,44.93,45.29,-,-,45.49
14,Long-Term Deferred Tax Assets,3.38,3.44,3.32,4.08,3.78,-,-,4.88
15,Other Long-Term Assets,18.24,6.56,4.35,2,1.33,-,-,1.31
16,Total Assets,2032,2011,2129,2140,1174,-,-,1145
17,Accounts Payable,98.64,74.5,120.48,81,121.75,-,-,179.34
18,Accrued Expenses,11.46,25.92,5.76,41.46,28.25,-,-,31.09
19,Short-Term Debt,23.77,23.77,23.87,83.83,83.83,-,-,85.11
20,Current Portion of Leases,0.93,0.27,0.98,0.74,1.02,-,-,0.66
21,Current Income Taxes Payable,6.21,4.02,7.66,6.05,10.52,-,-,2.53
22,Current Unearned Revenue,9.83,8.38,9.96,6.09,12.38,-,-,8.21
23,Other Current Liabilities,15.4,27.9,11.15,15.11,23.45,-,-,16.9
24,Total Current Liabilities,166.23,164.77,179.86,234.28,281.2,-,-,323.84
25,Long-Term Leases,-,-,0.22,0.22,0.22,-,-,-
26,Long-Term Unearned Revenue,13.88,14.1,14.55,8.57,5.23,-,-,6.34
27,Long-Term Deferred Tax Liabilities,7.11,7.87,8.05,8.05,8.36,-,-,8.8
28,Other Long-Term Liabilities,-,-,-,-,-,-,-,3.31
29,Total Liabilities,187.22,186.74,202.69,251.12,295,-,-,342.29
30,Common Stock,191.46,191.46,191.46,191.46,143.59,-,-,143.59
31,Additional Paid-In Capital,1237,1237,1269,1269,298.73,-,-,337.9
32,Retained Earnings,415.97,395.09,465.66,428.4,397.14,-,-,321.13
33,Comprehensive Income & Other,-,-,-,-,39.17,-,-,-
34,Shareholders' Equity,1845,1824,1927,1889,878.63,-,802.62,802.62
35,Total Liabilities & Equity,2032,2011,2129,2140,1174,-,-,1145
36,Total Debt,24.71,24.04,25.07,84.8,85.06,-,85.77,85.77
37,Net Cash (Debt),873.26,808.37,985.53,988.35,33.48,-,3.1,3.1
38,Net Cash Growth,2507.96%,-,31709.39%,31800.43%,-,-,-,-
39,Net Cash Per Share,4.59,4.33,5.02,6.95,0.24,-,0.02,0.02
40,Filing Date Shares Outstanding,191.46,191.46,191.46,191.46,143.59,148.8,140.1,143.59
41,Total Common Shares Outstanding,191.46,191.46,191.46,191.46,143.59,148.8,140.1,143.59
42,Working Capital,1131,1137,1289,1254,243.66,-,-,191.21
43,Book Value Per Share,9.64,9.53,10.06,9.87,6.12,-,5.59,5.59
44,Tangible Book Value,1783,1762,1882,1844,833.34,-,757.14,757.14
45,Tangible Book Value Per Share,9.31,9.20,9.83,9.63,5.80,-,5.27,5.27
46,Buildings,-,404.25,-,342.42,331.96,-,-,320.86
47,Machinery,-,711.87,-,695.1,666.34,-,-,630.43
48,Construction In Progress,-,37.62,-,10.33,42.72,-,-,36.47
