,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,84.35,84.99,75.78,82.69,134.91,128.73,105.45,101.86,105.79,90.29
1,Short-Term Investments,22.3,21.34,12.99,9.39,10.88,9.17,5.7,6.65,6.86,5.36
2,Cash & Short-Term Investments,106.65,106.33,88.77,92.08,145.8,137.9,111.15,108.51,112.65,95.65
3,Cash Growth,20.15%,15.47%,-39.12%,-33.23%,31.17%,27.09%,-1.33%,13.45%,13.27%,-1.75%
4,Accounts Receivable,154.92,166.39,168.4,143.62,123.6,134.8,147.4,122.94,104.1,101.17
5,Other Receivables,0.6,2.4,5.18,6.85,0.53,0.43,0.13,0.33,0.63,1.18
6,Receivables,155.52,168.79,173.58,150.47,124.14,135.23,147.53,123.27,104.73,102.35
7,Prepaid Expenses,9.03,9.36,5.95,7.12,6.21,8.63,8.3,11.71,13.81,16.93
8,Other Current Assets,3.05,3.04,3.02,3.02,3.01,3.01,3.01,3.01,3.01,3.01
9,Total Current Assets,274.26,287.52,271.3,252.68,279.15,284.78,270,246.5,234.2,217.94
10,"Property, Plant & Equipment",88.55,21.96,48,75.65,100.98,30.59,44.62,62.76,80.06,92.44
11,Other Intangible Assets,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87
12,Total Assets,363.67,310.35,320.17,329.2,381,316.23,315.48,310.12,315.13,311.25
13,Accounts Payable,29.94,36.53,30.86,20.87,18.87,16.11,19.32,12.38,15.6,8.99
14,Accrued Expenses,57.21,24.44,39.32,30.02,68.31,29.89,47.05,16.99,31.37,21.01
15,Short-Term Debt,-,-,-,-,-,19,0.81,2.4,3.97,15.51
16,Current Portion of Leases,23.4,11.02,35.75,49.12,35.89,14.55,31.88,39.76,38.79,34.39
17,Current Income Taxes Payable,4.68,-,-,-,3.66,4.34,5.2,1.07,-,-
18,Other Current Liabilities,-,11.51,-,11.09,-,5.24,-,4.49,-,3.44
19,Total Current Liabilities,115.23,83.5,105.94,111.1,126.73,89.14,104.26,77.08,89.73,83.34
20,Long-Term Leases,41.53,-,-,11.02,48.31,3.39,-,11.89,31.88,47.48
21,Long-Term Deferred Tax Liabilities,0.04,0.04,0.59,0.59,0.8,0.8,0.76,0.76,0.56,0.56
22,Total Liabilities,159.48,86.22,106.53,122.71,175.83,93.32,105.02,89.73,122.17,131.38
23,Common Stock,10,10,10,10,10,10,10,10,10,10
24,Additional Paid-In Capital,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12
25,Retained Earnings,96.07,116,105.52,98.37,97.05,114.79,102.34,112.27,84.83,71.75
26,Comprehensive Income & Other,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
27,Shareholders' Equity,204.2,224.13,213.64,206.49,205.17,222.91,210.46,220.39,192.95,179.87
28,Total Liabilities & Equity,363.67,310.35,320.17,329.2,381,316.23,315.48,310.12,315.13,311.25
29,Total Debt,64.93,11.02,35.75,60.14,84.2,36.94,32.68,54.04,74.64,97.38
30,Net Cash (Debt),41.72,95.31,53.01,31.94,61.6,100.97,78.47,54.47,38.02,-1.73
31,Net Cash Growth,-21.30%,198.40%,-13.94%,-68.37%,-21.49%,85.38%,106.40%,-,-,-
32,Net Cash Per Share,0.04,0.10,0.05,0.03,0.06,0.10,0.08,0.05,0.04,-0.00
33,Filing Date Shares Outstanding,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
34,Total Common Shares Outstanding,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
35,Working Capital,159.03,204.02,165.37,141.59,152.42,195.64,165.74,169.42,144.46,134.59
36,Book Value Per Share,0.20,0.22,0.21,0.21,0.21,0.22,0.21,0.22,0.19,0.18
37,Tangible Book Value,203.33,223.26,212.77,205.63,204.3,222.04,209.59,219.52,192.08,179
38,Tangible Book Value Per Share,0.20,0.22,0.21,0.21,0.20,0.22,0.21,0.22,0.19,0.18
39,Machinery,-,65.93,-,63.2,-,58.38,-,51.16,-,45.31
40,Leasehold Improvements,-,7.18,-,7.18,-,5.57,-,5.57,-,4.39
