,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,927.86,734.03,581.19,350.93,330.49,1192,822.81,1192,202.29,192.25,Upgrade
1,Revenue Growth (YoY),59.65%,109.17%,75.86%,-70.55%,-59.83%,-0.02%,306.75%,519.96%,70.12%,15.18%,Upgrade
2,Cost of Revenue,443.98,393.43,302.55,194.7,171.04,1024,674.62,1077,160.22,122.64,Upgrade
3,Gross Profit,483.88,340.61,278.63,156.23,159.45,168.02,148.19,115.34,42.07,69.61,Upgrade
4,"Selling, General & Admin",119.27,98.16,83.48,42.68,49.98,46.24,33.94,33.19,23.02,17.19,Upgrade
5,Operating Expenses,119.27,98.16,83.48,42.68,49.98,50.59,33.94,33.19,23.02,17.19,Upgrade
6,Operating Income,364.61,242.45,195.15,113.55,109.48,117.43,114.25,82.15,19.05,52.42,Upgrade
7,Interest Expense,-6,-5.31,-7.33,-9.53,-4.96,-3.43,-4.18,-7.01,-2.66,-1.59,Upgrade
8,Interest & Investment Income,0.9,1.19,-,0.57,-,0.85,-,0.12,-,0.45,Upgrade
9,Currency Exchange Gain (Loss),-3.8,-6.99,-1.9,-1.43,-0.9,8.48,-7.4,4.05,1.3,2.74,Upgrade
10,Other Non Operating Income (Expenses),-0.17,1.6,3.61,1.15,1.53,0.71,1.24,1.08,1.47,0.61,Upgrade
11,EBT Excluding Unusual Items,355.54,232.94,189.53,104.32,105.15,124.05,103.91,80.38,19.16,54.63,Upgrade
12,Gain (Loss) on Sale of Assets,-,-0.82,-,-0.24,-,0.12,-,-0.05,0.1,0.07,Upgrade
13,Asset Writedown,-,-,-,-,-,-7.12,-,-,-,-,Upgrade
14,Other Unusual Items,-,-,-,-,-,-,-,1.33,-,-,Upgrade
15,Pretax Income,355.54,232.12,189.53,104.08,105.15,117.04,103.91,81.65,19.26,54.7,Upgrade
16,Income Tax Expense,24.3,20.61,10.1,21.08,18.42,21.99,17.32,12.39,3.63,9.44,Upgrade
17,Earnings From Continuing Operations,331.24,211.51,179.43,82.99,86.73,95.05,86.59,69.26,15.63,45.26,Upgrade
18,Minority Interest in Earnings,-76.97,-23.23,-32.33,3,7.83,10.23,1.57,1.34,0.49,-0.16,Upgrade
19,Net Income,254.27,188.28,147.11,85.99,94.55,105.28,88.15,70.6,16.11,45.1,Upgrade
20,Net Income to Common,254.27,188.28,147.11,85.99,94.55,105.28,88.15,70.6,16.11,45.1,Upgrade
21,Net Income Growth,72.85%,118.96%,55.58%,-18.32%,7.26%,49.12%,447.15%,56.55%,54.31%,0.88%,Upgrade
22,Shares Outstanding (Basic),828,828,828,828,828,828,792,720,720,720,Upgrade
23,Shares Outstanding (Diluted),828,828,828,828,828,828,792,720,720,720,Upgrade
24,Shares Change (YoY),-,-,-,-0.04%,4.52%,15.04%,10.03%,-,-,-0.02%,Upgrade
25,EPS (Basic),0.31,0.23,0.18,0.10,0.11,0.13,0.11,0.10,0.02,0.06,Upgrade
26,EPS (Diluted),0.31,0.23,0.18,0.10,0.11,0.13,0.11,0.10,0.02,0.06,Upgrade
27,EPS Growth,72.85%,118.96%,55.58%,-18.29%,2.62%,29.63%,397.30%,56.55%,54.31%,0.90%,Upgrade
28,Free Cash Flow,133.97,83.17,109.09,38.69,-54.29,-22.36,-63.65,32.78,1.17,88.56,Upgrade
29,Free Cash Flow Per Share,0.16,0.10,0.13,0.05,-0.07,-0.03,-0.08,0.05,0.00,0.12,Upgrade
30,Dividend Per Share,0.110,-,-,-,-,-,-,-,-,-,Upgrade
31,Operating Margin,39.30%,33.03%,33.58%,32.36%,33.13%,9.86%,13.89%,6.89%,9.42%,27.27%,Upgrade
32,Profit Margin,27.40%,25.65%,25.31%,24.50%,28.61%,8.84%,10.71%,5.92%,7.96%,23.46%,Upgrade
33,Free Cash Flow Margin,14.44%,11.33%,18.77%,11.03%,-16.43%,-1.88%,-7.74%,2.75%,0.58%,46.07%,Upgrade
34,EBITDA,409.13,278.79,253.53,140.5,130.69,141.74,133.98,100.94,35.93,69.1,Upgrade
35,D&A For EBITDA,44.52,36.34,58.38,26.95,21.21,24.31,19.73,18.8,16.89,16.68,Upgrade
36,EBIT,364.61,242.45,195.15,113.55,109.48,117.43,114.25,82.15,19.05,52.42,Upgrade
