,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,257.12,245.58,232.79,254.31,416.4,454.38,410.31,276.34,568.32,-,-,37.08,-,42.5,42.5
1,Short-Term Investments,-,-,-,-,-,-,-,-,170.31,-,-,-,-,-,-,-
2,Trading Asset Securities,-,1835,1911,1994,2144,2011,2031,2167,2143,2009,-,-,132.81,-,86.44,86.44
3,Cash & Short-Term Investments,2092,2092,2156,2227,2398,2427,2485,2577,2590,2577,-,169.89,169.89,128.94,128.94,128.94
4,Cash Growth,-12.75%,-13.80%,-13.23%,-13.59%,-7.40%,-5.82%,-,1416.80%,1424.31%,1898.93%,-,31.76%,-,-,-,-
5,Accounts Receivable,-,54.4,51.22,69.52,38.74,63.31,61.23,41.61,51.01,47.92,-,-,59.8,-,71.89,71.89
6,Other Receivables,-,18,48.41,17.19,15.21,15,37.37,8.09,7.86,9.39,-,-,22.52,-,23.07,23.07
7,Receivables,-,72.41,99.63,86.71,53.96,78.31,98.6,49.7,58.87,57.31,-,-,82.32,-,94.96,94.96
8,Inventory,-,158.28,147.38,126.03,121.63,127.52,123.07,122.56,100.16,102.96,-,-,51.63,-,32.87,32.87
9,Prepaid Expenses,-,-,0.44,-,0.42,-,-,-,0.44,-,-,-,-,-,-,-
10,Other Current Assets,-,56.39,29.51,49.51,47.15,46.62,15.62,50.37,45.67,48.43,-,-,27.43,-,9.85,9.85
11,Total Current Assets,-,2379,2433,2489,2621,2680,2722,2800,2795,2786,-,-,331.27,-,266.63,266.63
12,"Property, Plant & Equipment",-,367.8,370.34,371.26,373.33,367.31,364.21,355.34,353.3,346.05,-,-,187.48,-,175.42,175.42
13,Long-Term Investments,-,51,121,120.73,90.73,90,50,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,-,23.18,19.71,22.04,24.38,3.27,4.12,5.24,6.67,7.67,-,-,11.92,-,10.62,10.62
15,Long-Term Deferred Tax Assets,-,33.54,30.21,28.67,24.42,14.96,7.78,6.41,4.56,3.91,-,-,2.73,-,13.43,13.43
16,Long-Term Deferred Charges,-,4.72,5.45,2.11,1.56,1.6,1.86,2.05,1.08,0.76,-,-,1.21,-,1.22,1.22
17,Other Long-Term Assets,-,75.19,3.88,2.74,3.3,3.37,3.1,17.85,11.4,1.99,-,-,52.01,-,7.87,7.87
18,Total Assets,-,2935,2984,3037,3139,3160,3153,3186,3172,3146,-,-,586.61,-,475.18,475.18
19,Accounts Payable,-,49.47,38.94,52.38,19.73,37.03,19,24.61,18.21,27.3,-,-,22.93,-,25.88,25.88
20,Accrued Expenses,-,8.15,11.2,16.51,25.74,7.05,7.4,4.78,9.77,8.23,-,-,15.53,-,9.48,9.48
21,Current Portion of Leases,-,5.11,5.1,5.18,5.3,2.66,3.31,4.05,4.09,2.72,-,-,3.03,-,4.76,4.76
22,Current Income Taxes Payable,-,2.2,-,1.6,-,3.18,0,0.42,0.29,2.07,-,-,3.43,-,2.78,2.78
23,Current Unearned Revenue,-,2.68,4.44,4.1,3.84,2.27,1.81,2.51,2.56,3.45,-,-,7.59,-,11.18,11.18
24,Other Current Liabilities,-,1.55,24.09,2.8,26.72,1.63,9.44,1.07,7.04,1.52,-,-,10.63,-,2.08,2.08
25,Total Current Liabilities,-,69.15,83.77,82.56,81.33,53.81,40.96,37.44,41.96,45.3,-,-,63.14,-,56.17,56.17
26,Long-Term Leases,-,6.07,5.95,7.16,8.33,2.05,2.61,3.33,4.05,0.47,-,-,1.4,-,1.29,1.29
27,Long-Term Unearned Revenue,-,2.31,2.46,2.6,2.75,1.73,2.06,2.75,3.41,0.29,-,-,2.65,-,1.17,1.17
28,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,-,0,0.64,-,-,0.05,-,0.02,0.02
29,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,0.25,-,0.25,0.25
30,Total Liabilities,-,77.53,92.17,92.33,92.41,57.59,45.64,43.52,49.41,46.69,-,-,67.49,-,58.9,58.9
31,Common Stock,-,252.2,252.2,252.2,252.2,252.2,252.2,252.2,252.2,252.2,-,-,189.15,-,189.15,189.15
