,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,116.32,144.09,137.62,128.32,85.56,115.25,105,75.57,99.97,108.65,132.14,160.83,146.81,137.88,111.48,111.48
1,Other Revenue,-,-,-,-,0.03,-,-,-,-,-,-,-,-,-,-,-
2,Revenue,116.32,144.09,137.62,128.32,85.59,115.25,105,75.57,99.97,108.65,132.14,160.83,146.81,137.88,111.48,111.48
3,Revenue Growth (YoY),35.91%,25.03%,31.06%,69.81%,-14.39%,6.07%,-20.54%,-53.01%,-31.91%,-21.20%,18.54%,44.27%,-,-,-,-
4,Cost of Revenue,-226.79,80.82,76.28,69.69,62.75,54.23,57.88,39.15,61.2,45.77,59.82,68.42,59.34,61.42,56.37,56.37
5,Gross Profit,343.1,63.27,61.34,58.63,22.83,61.02,47.12,36.41,38.77,62.88,72.32,92.41,87.47,76.46,55.1,55.1
6,"Selling, General & Admin",-75.48,26.28,26.69,22.52,25.59,29.52,25.66,22.66,21.93,14.07,13.19,11.98,17.22,7.52,10.98,10.98
7,Research & Development,-135.43,55.67,44.06,35.7,49.62,45.52,27.71,23.61,25.1,16.1,15.34,13.92,16.78,9.46,9.6,9.6
8,Other Operating Expenses,567.37,0.98,0.71,1.13,1.46,-1.47,0.19,-0.83,13.07,-4.51,-4.27,0,3.7,-1.51,0.53,0.53
9,Operating Expenses,356.13,83.06,71.21,59.79,76.23,73.78,53.71,45.36,59.95,25.75,24.25,25.9,36.9,16.12,21.26,21.26
10,Operating Income,-13.02,-19.78,-9.87,-1.16,-53.4,-12.76,-6.59,-8.95,-21.18,37.13,48.07,66.51,50.57,60.34,33.84,33.84
11,Interest Expense,-44.27,-0.1,-0.1,-0.12,-0.08,-0.05,-0.07,-0.07,-0.05,-0.56,-0.09,-0.04,-0.08,-0.03,-0.07,-0.07
12,Interest & Investment Income,0.32,16.84,12.13,15.29,21.94,27.08,12.79,11.88,11.77,3.8,0.99,0.25,1.82,0.17,0.52,0.52
13,Currency Exchange Gain (Loss),-,-0.56,0.56,-,0.71,-1.74,1.74,-,5.62,-3.51,3.51,-,-2.67,1.43,-0.72,-0.72
14,Other Non Operating Income (Expenses),0.3,-0.54,-0.25,0.07,-2.32,1.16,-0.1,-0.35,-5.83,6.06,0.05,-0.31,0.62,-0.68,-0.36,-0.36
15,EBT Excluding Unusual Items,-56.67,-4.13,2.47,14.08,-33.15,13.69,7.78,2.51,-9.68,42.92,52.53,66.41,50.26,61.23,33.22,33.22
16,Gain (Loss) on Sale of Investments,1.24,-4.51,4.01,-0.75,-3.7,-8.21,7,8.23,1.26,3.94,0.5,1.06,0.28,-,0.01,0.01
17,Gain (Loss) on Sale of Assets,-,-,-,-,0,0.01,0.24,-,-,-,-,-,0.11,-,0,0
18,Asset Writedown,3.63,-3.63,2.59,-2.59,8.55,-8.55,2.61,-2.61,4.6,-4.6,2.86,-2.86,-1.32,1.32,-,-
19,Other Unusual Items,-1.66,0.5,0.1,1.07,1.04,-,-,-,14.95,-,-,-,6.48,-1.57,0.79,0.79
20,Pretax Income,-53.46,-11.77,9.17,11.81,-27.26,-3.06,17.63,8.13,11.14,42.26,55.89,64.61,55.81,60.97,34.01,34.01
21,Income Tax Expense,7.53,-3.34,-1.54,-4.25,-9.57,-7.18,-1.36,-1.86,-1.35,0.63,0.71,0.25,3.24,8.2,4.17,4.17
22,Net Income,-60.99,-8.43,10.71,16.06,-17.69,4.12,18.98,9.99,12.48,41.64,55.18,64.36,52.57,52.77,29.85,29.85
23,Net Income to Common,-60.99,-8.43,10.71,16.06,-17.69,4.12,18.98,9.99,12.48,41.64,55.18,64.36,52.57,52.77,29.85,29.85
24,Net Income Growth,-,-,-43.61%,60.83%,-,-90.11%,-65.59%,-84.49%,-76.26%,-21.11%,84.88%,115.64%,-,-,-,-
25,Shares Outstanding (Basic),240,242,243,247,270,252,252,252,248,210,189,189,191,189,189,189
26,Shares Outstanding (Diluted),240,242,243,247,270,252,252,252,248,210,189,189,191,189,189,189
27,Shares Change (YoY),-10.93%,-4.25%,-3.73%,-2.02%,8.56%,20.04%,33.28%,33.32%,29.85%,11.10%,0.01%,-0.00%,-,-,-,-
28,EPS (Basic),-0.25,-0.03,0.04,0.07,-0.07,0.02,0.08,0.04,0.05,0.20,0.29,0.34,0.27,0.28,0.16,0.16
29,EPS (Diluted),-0.25,-0.03,0.04,0.07,-0.07,0.02,0.08,0.04,0.05,0.20,0.29,0.34,0.27,0.28,0.16,0.16
30,EPS Growth,-,-,-41.42%,64.14%,-,-91.77%,-74.19%,-88.36%,-81.71%,-28.99%,84.86%,115.65%,-,-,-,-
31,Free Cash Flow,-,-44.75,-20.67,-32.57,0.08,-13.79,-15.57,-11.08,12.69,32.52,-65.82,18.67,-15.46,58.63,-24.44,-24.44
32,Free Cash Flow Per Share,-,-0.19,-0.09,-0.13,0.00,-0.05,-0.06,-0.04,0.05,0.15,-0.35,0.10,-0.08,0.31,-0.13,-0.13
33,Dividend Per Share,-,-,-,-,0.150,-,-,-,0.260,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,-,-42.31%,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,294.97%,43.91%,44.57%,45.69%,26.68%,52.95%,44.88%,48.19%,38.78%,57.87%,54.73%,57.46%,59.58%,55.45%,49.43%,49.43%
36,Operating Margin,-11.20%,-13.73%,-7.17%,-0.90%,-62.39%,-11.07%,-6.28%,-11.84%,-21.19%,34.18%,36.38%,41.35%,34.44%,43.76%,30.36%,30.36%
37,Profit Margin,-52.44%,-5.85%,7.78%,12.52%,-20.67%,3.57%,18.08%,13.21%,12.49%,38.32%,41.76%,40.02%,35.81%,38.27%,26.77%,26.77%
38,Free Cash Flow Margin,-,-31.05%,-15.02%,-25.38%,0.09%,-11.97%,-14.82%,-14.67%,12.69%,29.93%,-49.81%,11.61%,-10.53%,42.52%,-21.93%,-21.93%
39,EBITDA,-7.95,-14.71,-3.74,3.91,-48.33,-8.07,-0.68,-4.26,-16.49,39.56,52.11,68.94,53,62.11,35.62,35.62
40,EBITDA Margin,-6.84%,-10.21%,-2.71%,3.05%,-56.47%,-7.00%,-0.65%,-5.63%,-16.50%,36.41%,39.43%,42.86%,36.10%,45.05%,31.95%,31.95%
41,D&A For EBITDA,5.07,5.07,6.13,5.07,5.07,4.69,5.91,4.69,4.69,2.43,4.04,2.43,2.43,1.78,1.78,1.78
42,EBIT,-13.02,-19.78,-9.87,-1.16,-53.4,-12.76,-6.59,-8.95,-21.18,37.13,48.07,66.51,50.57,60.34,33.84,33.84
43,EBIT Margin,-11.20%,-13.73%,-7.17%,-0.90%,-62.39%,-11.07%,-6.28%,-11.84%,-21.19%,34.18%,36.38%,41.35%,34.44%,43.76%,30.36%,30.36%
44,Effective Tax Rate,-,-,-,-,-,-,-,-,-,1.48%,1.28%,0.39%,5.81%,13.45%,12.25%,12.25%
45,Revenue as Reported,-,144.09,137.62,128.32,85.59,115.25,105,75.57,99.97,108.65,132.14,160.83,146.81,137.88,111.48,111.48
