,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,5295,4541,4788,4741,4701,6386,6835,8141,10280,10017,8191,-,-,-,-,-,-
1,Market Cap Growth,-28.89%,-28.89%,-29.94%,-41.76%,-54.27%,-36.25%,-16.56%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3214,2460,2643,2527,2278,3963,4356,5572,7706,7443,8026,-,-,-,-,-,-
3,Last Close Price,22.48,19.28,19.80,19.48,18.50,25.13,26.89,32.03,40.16,39.14,32.00,-,-,-,-,-,-
4,PE Ratio,-,-,-,359.48,218.98,-,149.99,97.98,86.18,57.68,38.32,-,-,-,-,-,-
5,Forward PE,47.83,44.84,50.77,48.40,46.02,73.12,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,10.26,8.63,9.66,10.16,10.83,16.74,17.27,20.92,24.69,19.97,14.94,-,-,-,-,-,-
7,PB Ratio,1.89,1.59,1.68,1.64,1.60,2.10,2.20,2.62,3.27,3.21,2.64,-,-,-,-,-,-
8,P/TBV Ratio,1.60,1.60,1.69,1.65,1.61,2.11,2.21,2.62,3.28,3.22,2.65,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-158.22,-,-,-,-5159.63,-272.24,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-,-2719.18,-,-,-,65.09,49.53,-,-,-,-,-,-
11,EV/Sales Ratio,6.11,4.67,5.33,5.41,5.25,10.39,11.00,14.32,18.51,14.84,14.63,-,-,-,-,-,-
12,EV/EBITDA Ratio,-,-,-,-,-42.85,-,-,-,-,-,37.57,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,-,39.68,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-98.19,-,-,-,-3833.78,-266.74,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.01,0.01,0.01,0.01,0.01
16,Debt / EBITDA Ratio,-,-,-,-,0.79,-,-,0.90,-,-,0.02,-,0.02,0.02,0.02,0.04,0.04
17,Debt / FCF Ratio,-,-,-,-,-,-0.34,-,-,-,-4.19,-0.11,-,0.12,-,0.62,-,-
18,Asset Turnover,-,0.19,0.18,0.17,0.11,0.15,0.13,0.10,0.13,-,-,-,-,-,0.94,-,
19,Inventory Turnover,-,-,2.12,2.23,2.25,2.01,1.73,1.89,1.41,2.41,-,-,-,-,-,6.86,-
20,Quick Ratio,-,-,31.31,26.93,28.02,30.15,46.56,63.08,70.15,63.12,58.17,-,-,3.99,-,3.99,3.99
21,Current Ratio,-,-,34.41,29.05,30.15,32.23,49.80,66.46,74.77,66.61,61.51,-,-,5.25,-,4.75,4.75
22,Return on Equity (ROE),-8.54%,-1.17%,1.47%,2.14%,-2.30%,0.53%,2.43%,1.27%,1.60%,-,-,49.59%,44.96%,50.71%,28.68%,-,
23,Return on Assets (ROA),-,-1.67%,-0.82%,-0.09%,-4.24%,-1.01%,-0.52%,-0.70%,-1.68%,-,-,-,-,-,17.80%,-,
24,Return on Capital (ROIC),-1.13%,-1.71%,-0.84%,-0.10%,-4.33%,-1.03%,-0.53%,-0.71%,-1.70%,-,-,31.76%,26.73%,35.72%,20.03%,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-,6.52%,-,-,34.12%,-,16.15%,8.08%
26,Earnings Yield,-0.81%,-0.94%,0.01%,0.28%,0.46%,0.24%,0.67%,1.02%,1.16%,1.73%,2.61%,-,-,-,-,-,-
27,FCF Yield,-,-2.04%,-1.41%,-1.32%,-0.63%,-0.41%,0.23%,-0.31%,-0.02%,-0.37%,-,-,-,-,-,-,
28,Dividend Yield,0.65%,-,-,-,-,0.60%,-,-,-,0.66%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,331.46%,-,-,-,329.43%,-,-,1.38%,-,-,-,-,-,-
30,Buyback Yield / Dilution,6.36%,10.93%,4.25%,3.73%,2.02%,-8.56%,-20.04%,-33.28%,-33.32%,-29.85%,-11.10%,-0.01%,0.00%,-,-,-,-
31,Total Shareholder Return,7.01%,10.93%,4.25%,3.73%,2.02%,-7.96%,-20.04%,-33.28%,-33.32%,-29.19%,-11.10%,-0.01%,0.00%,-,-,-,-
