,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,2481,2618,1566,828,884,383,800,1973,7224,8813,5935
1,Market Cap Growth,216.16%,216.16%,77.25%,115.94%,10.42%,-80.56%,-88.92%,-77.62%,21.72%,336.91%,-
2,Enterprise Value,2315,2287,1403,490,702,126,797,1872,7286,8586,5648
3,Last Close Price,4.40,4.72,2.82,1.49,1.59,0.69,1.44,3.17,11.39,13.86,9.26
4,PE Ratio,18.16,19.38,16.53,5.92,14.36,-,-,36.16,124.30,74.63,55.97
5,Forward PE,11.83,1.31,1.31,1.31,1.31,1.31,3.15,8.84,30.13,-,-
6,PS Ratio,3.11,3.39,2.49,1.66,1.94,0.65,0.78,1.74,8.12,10.83,7.46
7,PB Ratio,4.26,4.58,3.14,1.84,2.10,1.15,2.05,3.36,11.31,14.55,9.59
8,P/TBV Ratio,4.67,4.67,3.21,1.85,2.12,1.16,2.07,3.39,11.37,14.58,9.60
9,P/FCF Ratio,12.73,-,8.41,-,6.63,-,16.12,-,32.19,-,29.94
10,P/OCF Ratio,9.57,9.57,6.93,-,6.22,130.20,-,3.56,22.41,-,17.66
11,PEG Ratio,0.03,0.03,0.03,0.03,0.03,0.03,0.08,0.25,0.79,-,-
12,EV/Sales Ratio,3.00,2.96,2.23,0.98,1.54,0.21,0.78,1.66,8.19,10.55,7.10
13,EV/EBITDA Ratio,9.66,11.85,10.91,5.72,11.04,1.62,4.50,16.20,-,51.00,30.84
14,EV/EBIT Ratio,13.51,13.30,12.82,6.93,14.10,2.86,7.02,34.54,-,66.90,37.51
15,EV/FCF Ratio,11.88,-,7.53,-,5.27,-,16.05,-,32.47,-,28.49
16,Debt / Equity Ratio,0.50,0.50,0.39,0.30,0.31,0.42,0.57,1.22,1.22,1.14,0.94
17,Debt / FCF Ratio,1.46,-,1.04,-,0.99,-,4.51,-,3.48,-,2.94
18,Return on Capital Employed (ROCE),22.61%,22.70%,17.04%,12.94%,9.69%,10.18%,21.16%,4.93%,-,12.01%,14.38%
19,Earnings Yield,5.44%,5.16%,6.05%,16.88%,6.96%,-30.97%,-4.08%,2.77%,0.80%,1.34%,1.79%
20,FCF Yield,7.86%,7.44%,11.90%,12.38%,15.07%,12.47%,6.20%,18.90%,3.11%,0.78%,3.34%
21,Dividend Yield,0.00%,-,-,-,-,-,-,6.82%,1.58%,0.86%,0.86%
22,Buyback Yield / Dilution,0.19%,0.16%,0.21%,-0.93%,-0.76%,0.40%,3.90%,1.45%,-2.47%,-29.56%,-
23,Total Shareholder Return,0.19%,0.16%,0.21%,-0.93%,-0.76%,0.40%,3.90%,8.27%,-0.89%,-28.70%,0.86%
