,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,276.16,256.48,174.51,298.74,200.31,236.04,146.23,442.59,155.6,241.48
1,Short-Term Investments,65.62,115.5,9.05,-,-,-,-,-,55,35.3
2,Trading Asset Securities,77.44,101.65,92.27,117.3,72.59,155.73,450.79,298.94,359.77,447.62
3,Cash & Short-Term Investments,419.22,473.63,275.82,416.03,272.89,391.77,597.02,741.53,570.37,724.4
4,Cash Growth,51.99%,13.84%,1.07%,6.19%,-54.29%,-47.17%,4.67%,2.36%,-4.81%,186.57%
5,Accounts Receivable,1.18,4.12,4.16,3.82,-,2.98,-,-,-,-
6,Other Receivables,3.84,3.68,1.83,3.68,3.57,0.59,8.43,8.14,4.29,3.33
7,Receivables,9.22,11.53,10.07,10.95,5.89,6.66,11.51,11.56,7.12,6.15
8,Inventory,-,-,0.3,-,-,-,-,-,-,-
9,Restricted Cash,2.2,2.97,-,0.04,-,0.18,-,-,-,-
10,Other Current Assets,39.39,8.98,14.62,5.62,3.65,4.77,63.94,11.19,19.04,10.68
11,Total Current Assets,470.02,497.11,300.81,432.63,282.43,403.37,672.48,764.28,596.53,741.23
12,"Property, Plant & Equipment",388.91,256.37,176.49,173.57,170.68,233.76,671.31,813.76,728.8,670.84
13,Long-Term Investments,147.07,143.77,129.97,32.7,-,24.13,-,-,-,-
14,Goodwill,9.03,9.03,-,-,-,-,-,-,-,-
15,Other Intangible Assets,2.37,2.57,2.77,2.45,2.63,2.8,3.29,2.86,1.06,1
16,Long-Term Deferred Tax Assets,29.29,23.96,19.69,20.26,36.95,12.72,35.2,36.06,25.97,19.58
17,Other Long-Term Assets,114.91,99.38,105.15,93.31,93.25,83.79,95.03,50.46,36.65,38.43
18,Total Assets,1164,1033,734.86,754.93,585.93,760.57,1477,1667,1389,1471
19,Accounts Payable,3.2,2.97,1.9,1.28,0.44,1.95,3.95,3.36,2.14,3.24
20,Accrued Expenses,48.68,77.03,52.94,71.07,27.11,54.01,87.18,85.73,44.49,85.55
21,Short-Term Debt,30,-,-,-,-,30,59.97,54.4,96.74,34.99
22,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,3.46,3.35
23,Current Portion of Leases,70.41,50.9,35.42,34.17,33.68,32.8,107.62,117.78,104.3,100.01
24,Current Income Taxes Payable,44.26,29.35,3.29,1.64,3.96,3.44,11.68,10.46,4.42,11.85
