,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,1337,1343,1142,902.23,740.19,1492,1230,1016,1028,1837,1821,1031,4960,-,-,243.86,-,-,-
1,Short-Term Investments,-,-,-,-,-,105.26,-,153.52,-,151.84,-,10,-,-,-,-,-,-,-
2,Trading Asset Securities,20.05,-,-,20.13,321.75,50.03,904.82,1653,2026,2245,2615,3735,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,1357,1343,1142,922.37,1062,1647,2135,2822,3054,4234,4437,4775,4960,-,243.86,243.86,-,-,614.1
4,Cash Growth,27.82%,-18.44%,-46.51%,-67.31%,-65.23%,-61.10%,-51.87%,-40.91%,-38.43%,-,1719.30%,1858.24%,-,-,-60.29%,-,-,-,-
5,Accounts Receivable,4.96,50,50,4.91,3.77,23.1,6.39,-,-,-,1.85,15.54,8,-,-,20,-,-,-
6,Other Receivables,0.34,0.34,56.22,56.22,0.05,0.05,10.05,0.05,-,-,-,-,0.87,-,-,0.4,-,-,-
7,Receivables,5.3,50.34,106.22,61.13,3.82,23.14,16.44,0.05,-,-,1.85,15.54,8.87,-,-,20.4,-,-,-
8,Inventory,525.11,452.01,539.7,428.61,491.02,318.91,367.63,372.33,367.53,437.61,371.7,309.18,349.99,-,-,327.39,-,-,-
9,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.57,-,-,-
10,Other Current Assets,100.88,83.08,35.3,362.3,377.44,172.6,257.11,38.35,188.42,24.33,191.22,18.74,87.29,-,-,10.79,-,-,-
11,Total Current Assets,1989,1929,1823,1774,1934,2162,2776,3233,3610,4696,5001,5119,5406,-,-,608,-,-,-
12,"Property, Plant & Equipment",10722,10861,10608,10390,8607,7303,5651,5011,3950,3590,3401,3435,3354,-,-,3479,-,-,-
13,Long-Term Investments,45.15,45.39,45.6,45.99,47.3,-,-,-,-,-,50.01,50,-,-,-,-,-,-,-
14,Other Intangible Assets,236,237.37,231.84,232.64,233.15,234.47,223.39,224.65,194.37,195.47,196.57,134.66,135.45,-,-,116.59,-,-,-
15,Long-Term Deferred Tax Assets,41.18,36.27,17.67,10.29,3.17,3.32,3.21,3.45,1.52,1.52,1.52,1.52,1.52,-,-,1.53,-,-,-
16,Long-Term Deferred Charges,142.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Other Long-Term Assets,383.71,384.4,423.71,440.03,998.6,1461,1690,1460,1666,1053,875.45,492.41,355.83,-,-,10.6,-,-,-
18,Total Assets,13560,13494,13151,12893,11824,11164,10344,9931,9422,9536,9526,9232,9253,-,-,4216,-,-,-
19,Accounts Payable,1135,1270,1202,1464,1127,962.42,699.67,613.37,460.18,391.92,317.94,303.16,350.63,-,-,369.3,-,-,-
20,Accrued Expenses,37.85,72.63,49.96,66.26,74.9,57.45,35.88,74.58,63.24,50.62,31.68,70.51,54.85,-,-,75.61,-,-,-
21,Short-Term Debt,500,550,450,400,400,570.72,573.39,400,100,400,311.85,316.6,380,-,-,1155,-,-,-
22,Current Portion of Long-Term Debt,286.56,185.86,185.9,2.11,-,0.71,-,-,-,-,-,-,-,-,-,0.13,-,-,-
23,Current Income Taxes Payable,10.49,-,5.68,0.01,3.24,0,4.92,26.82,3.86,47.31,141.32,102.4,237.81,-,-,112.73,-,-,-
24,Current Unearned Revenue,125.77,66.88,45.87,55.54,117.67,47.76,50.97,59.61,152.37,55.04,78.85,87.21,219.34,-,-,81.86,-,-,-
25,Other Current Liabilities,18.43,11.38,38.61,12.62,19.32,9.13,100.99,13.45,22.94,10.44,228.2,20.8,2.94,-,-,4.87,-,-,-
26,Total Current Liabilities,2114,2156,1978,2000,1743,1648,1466,1188,802.58,955.33,1110,900.69,1246,-,-,1800,-,-,-
27,Long-Term Debt,2667,2627,2430,2151,1346,838.31,201.27,-,-,-,-,-,-,-,-,110,-,-,-
28,Long-Term Unearned Revenue,89.61,88.48,88.61,91.19,90.37,92.89,92.87,95.34,91.18,86.96,80.78,82.89,84.99,-,-,91.15,-,-,-
29,Long-Term Deferred Tax Liabilities,58.91,43.71,30.35,16.66,16.82,5.22,3.37,4.03,-,-,-,-,-,-,-,-,-,-,-
30,Total Liabilities,4930,4916,4527,4259,3196,2585,1763,1287,893.76,1042,1191,983.58,1331,-,-,2001,-,-,-
31,Common Stock,550,550,550,550,550,550,550,550,550,550,550,550,550,-,-,412.5,-,-,-
32,Additional Paid-In Capital,4392,4392,4392,4392,4392,4392,4392,4392,4392,4392,4392,4392,4392,-,-,649.18,-,-,-
33,Retained Earnings,3747,3695,3678,3689,3678,3622,3617,3682,3565,3533,3378,3289,2962,-,-,1139,-,-,-
34,Treasury Stock,-60.03,-60.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,1.16,1.49,4,3.39,8.18,15.22,22.49,20.62,21.64,19.1,16.37,18.1,18.4,-,-,14.09,-,-,-
36,Shareholders' Equity,8629,8578,8624,8634,8628,8579,8581,8644,8528,8494,8336,8249,7922,-,2215,2215,-,-,1497
37,Total Liabilities & Equity,13560,13494,13151,12893,11824,11164,10344,9931,9422,9536,9526,9232,9253,-,-,4216,-,-,-
38,Total Debt,3454,3363,3066,2553,1746,1410,774.66,400,100,400,311.85,316.6,380,-,1265,1265,-,-,2182
39,Net Cash (Debt),-2096,-2020,-1924,-1631,-684,237.36,1361,2422,2954,3834,4125,4459,4580,-,-1022,-1022,-,-,-1568
40,Net Cash Growth,-,-,-,-,-,-93.81%,-67.01%,-45.68%,-35.50%,-,-,-,-,-,-,-,-,-,-
41,Net Cash Per Share,-4.59,-3.64,-3.02,-2.97,-1.18,0.44,2.61,4.53,5.37,6.93,7.47,8.11,10.25,-,-2.47,-2.50,-,-,-
42,Filing Date Shares Outstanding,550,550,550,550,550,550,550,550,550,550,550,550,550,412.5,413.23,412.5,414.76,-,-
43,Total Common Shares Outstanding,550,550,550,550,550,550,550,550,550,550,550,550,550,412.5,413.23,412.5,414.76,-,-
44,Working Capital,-125.77,-227.54,-154.75,-225.81,191.68,513.57,1311,2045,2807,3740,3892,4218,4160,-,-,-1192,-,-,-
45,Book Value Per Share,15.69,15.60,15.68,15.70,15.69,15.60,15.60,15.72,15.51,15.44,15.16,15.00,14.40,-,5.37,5.37,-,-,3.63
46,Tangible Book Value,8393,8340,8392,8401,8395,8345,8357,8419,8334,8298,8139,8114,7787,-,2099,2099,-,-,1393
47,Tangible Book Value Per Share,15.26,15.16,15.26,15.28,15.26,15.17,15.20,15.31,15.15,15.09,14.80,14.75,14.16,-,5.09,5.09,-,-,3.38
48,Buildings,-,1019,-,1001,-,686.68,-,635.48,-,635.48,-,586.85,-,-,-,556.6,-,-,-
49,Machinery,-,8101,-,7840,-,5256,-,4574,-,4536,-,4448,-,-,-,4371,-,-,-
50,Construction In Progress,-,4737,-,4232,-,3818,-,2044,-,460.67,-,240.27,-,-,-,2.92,-,-,-
