,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,2702,2372,2140,2109,1741,1494,1693,1896,1929,1988,1977,2263,2596,2501,2251,1485,1013,926.45,926.45
1,Other Revenue,-6.62,6.62,-,13,-3.35,3.35,-,8.22,-4.13,4.13,-,23.59,-13.85,13.85,-,35.72,-,-,-
2,Revenue,2695,2379,2140,2122,1738,1497,1693,1904,1925,1992,1977,2286,2582,2515,2251,1521,1013,926.45,926.45
3,Revenue Growth (YoY),55.08%,58.92%,26.40%,11.48%,-9.71%,-24.87%,-14.37%,-16.73%,-25.46%,-20.77%,-12.18%,50.35%,154.96%,171.45%,142.98%,-,-,-,-
4,Cost of Revenue,2625,2373,2097,2090,1628,1470,1647,1762,1876,1795,1563,1851,1753,1619,1427,1020,661.7,794.68,794.68
5,Gross Profit,69.68,5.91,42.94,32.01,109.67,26.77,45.66,142.28,49.24,197.8,414.36,435.63,829.42,896.06,824.14,501.01,351.16,131.77,131.77
6,"Selling, General & Admin",16.71,29.67,33.24,32.59,34.67,26.81,17.54,18.13,33.89,20.7,17.26,19.45,24.78,17.13,14.86,11.73,44.27,-,-
7,Research & Development,8.29,12.11,8.83,4.62,12.05,8.22,6.22,6.17,6.41,6.02,9.47,9.53,3.89,1.09,0.96,1.85,7.38,-,-
8,Other Operating Expenses,-43.37,-38.15,-19.78,3.08,0.6,-0.11,1.11,11.77,1.35,1.34,5.94,14.35,13.01,13.25,13.2,13.93,8.26,-,-
9,Operating Expenses,-18.37,0.69,22.3,40.29,47.32,34.91,24.87,36.07,41.65,28.05,32.67,43.33,41.68,31.46,29.03,27.51,59.91,-,-
10,Operating Income,88.05,5.22,20.64,-8.28,62.36,-8.14,20.79,106.21,7.59,169.75,381.68,392.29,787.74,864.59,795.11,473.5,291.25,131.77,131.77
11,Interest Expense,-6.04,-4.93,-0.86,-3.74,-0.9,-4.14,-0.18,-6.19,-,-,-0.19,-1.62,-7.65,-3.64,-8.64,-15.51,-65.79,-,-
12,Interest & Investment Income,6.1,6.16,5.22,5.8,6.44,13.04,14.17,32.13,23.19,22,31.04,12.04,3.76,3.37,0.99,0.89,1.89,-,-
13,Currency Exchange Gain (Loss),0.59,-0.59,-,0.85,-0,0,-,-1.35,-0,0,-,0.06,-0.03,0.03,-,0.05,-,-,-
14,Other Non Operating Income (Expenses),-0.7,0.27,-0.64,-3.1,-0.1,2.5,-2.56,1.97,-0.01,-2.23,-0.34,2.03,-2.58,-1.2,0.94,2.02,0.37,-1.34,-1.34
15,EBT Excluding Unusual Items,88,6.13,24.36,-8.48,67.79,3.26,32.22,132.78,30.77,189.53,412.2,404.8,781.25,863.15,788.4,460.95,227.73,130.43,130.43
16,Gain (Loss) on Sale of Investments,0.12,-0.22,-0.11,-1.62,1.72,-2.17,2.2,-8.12,0.32,13.71,-3.29,13.77,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-1.66,-0.18,0.92,-0.29,-0.25,-0.2,-0.2,-0.61,-0.33,-0.66,-3.89,-1.93,0.93,-0.93,-,-1.53,-4.19,-,-
18,Asset Writedown,-18.87,-,-,0.61,-0.61,-,-,-6.53,-,-,-,1.57,-2.34,-,-,-2.43,-3.03,-,-
19,Other Unusual Items,-5.16,5.68,0.22,10.4,-,-,-,32.23,-,-,-,9.54,-,-,-,7.78,-,-,-
20,Pretax Income,62.43,11.41,25.4,0.66,68.65,0.9,34.21,149.93,30.76,202.58,405.02,427.81,779.8,862.25,788.4,465.79,220.51,130.43,130.43
21,Income Tax Expense,10.29,-5.24,6.31,-10.32,12.89,-4.89,8.12,33.27,-1.49,47.5,101.24,100.95,194.27,215.86,197.47,111.52,55.32,32.61,32.61
22,Net Income,52.13,16.65,19.09,10.98,55.75,5.79,26.09,116.66,32.25,155.08,303.78,326.86,585.53,646.4,590.93,354.27,165.19,97.82,97.82
23,Net Income to Common,52.13,16.65,19.09,10.98,55.75,5.79,26.09,116.66,32.25,155.08,303.78,326.86,585.53,646.4,590.93,354.27,165.19,97.82,97.82
24,Net Income Growth,-6.50%,187.43%,-26.83%,-90.59%,72.86%,-96.26%,-91.41%,-64.31%,-94.49%,-76.01%,-48.59%,-7.74%,254.46%,560.77%,504.06%,-,-,-,-
25,Shares Outstanding (Basic),456,555,636,548,580,541,522,535,550,553,552,550,447,412,413,409,415,-,-
26,Shares Outstanding (Diluted),456,555,636,548,580,541,522,535,550,553,552,550,447,412,413,409,415,-,-
27,Shares Change (YoY),-21.40%,2.60%,21.96%,2.54%,5.59%,-2.25%,-5.54%,-2.78%,23.02%,34.43%,33.66%,34.43%,7.74%,-,-,-,-,-,-
28,EPS (Basic),0.11,0.03,0.03,0.02,0.10,0.01,0.05,0.22,0.06,0.28,0.55,0.59,1.31,1.57,1.43,0.87,0.40,-,-
29,EPS (Diluted),0.11,0.03,0.03,0.02,0.10,0.01,0.05,0.22,0.06,0.28,0.55,0.59,1.31,1.57,1.43,0.87,0.40,-,-
30,EPS Growth,18.95%,180.16%,-40.00%,-90.82%,63.71%,-96.18%,-90.91%,-63.29%,-95.52%,-82.15%,-61.54%,-31.37%,228.99%,-,-,-,-,-,-
31,Free Cash Flow,-199.47,-74.02,-232.13,-816.95,-865.39,-1120,-966.36,-696.49,-743.8,-321.99,-195.27,-104.8,556.48,617.69,640.85,217.86,-44.78,227.64,227.64
32,Free Cash Flow Per Share,-0.44,-0.13,-0.36,-1.49,-1.49,-2.07,-1.85,-1.30,-1.35,-0.58,-0.35,-0.19,1.25,1.50,1.55,0.53,-0.11,-,-
33,Dividend Per Share,-,-,-,0.055,-,-,-,0.166,-,-,-,0.391,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,-66.87%,-,-,-,-57.54%,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,2.59%,0.25%,2.01%,1.51%,6.31%,1.79%,2.70%,7.47%,2.56%,9.93%,20.96%,19.05%,32.12%,35.63%,36.61%,32.95%,34.67%,14.22%,14.22%
36,Operating Margin,3.27%,0.22%,0.96%,-0.39%,3.59%,-0.54%,1.23%,5.58%,0.39%,8.52%,19.31%,17.16%,30.50%,34.38%,35.32%,31.14%,28.76%,14.22%,14.22%
