,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,8135,8272,7926,8234,9873,10973,10687,12034,11424,12084,15862,19074,25097,26164,-,-,-,-,-,-
1,Market Cap Growth,-24.61%,-24.61%,-25.84%,-31.58%,-13.58%,-9.19%,-32.63%,-36.91%,-54.48%,-53.82%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,10231,10292,9849,9864,10557,10735,9326,9612,8470,8250,11737,14615,20517,27185,-,-,-,-,-,-
3,Last Close Price,14.79,15.04,14.41,14.92,17.89,19.88,19.36,21.64,20.54,21.73,28.53,33.90,44.61,46.51,-,-,-,-,-,-
4,PE Ratio,82.14,83.68,77.34,89.87,100.11,53.71,59.11,36.46,18.80,14.77,11.57,10.24,11.67,12.02,-,-,-,-,-,-
5,Forward PE,-,44.24,42.38,44.03,16.32,19.66,17.83,5.12,5.12,5.12,7.63,9.55,10.54,-,-,-,-,-,-,-
6,PS Ratio,0.87,0.89,0.95,1.10,1.40,1.61,1.52,1.60,1.46,1.48,1.79,2.04,2.60,2.95,-,-,-,-,-,-
7,PB Ratio,0.94,0.96,0.92,0.95,1.14,1.27,1.25,1.40,1.32,1.42,1.87,2.29,3.04,3.30,-,-,-,-,-,-
8,P/TBV Ratio,0.99,0.99,0.95,0.98,1.18,1.31,1.28,1.44,1.36,1.45,1.91,2.34,3.09,3.36,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,12.87,-,-,-,-,-,-
10,P/OCF Ratio,7.05,7.05,6.94,7.86,16.08,14.77,11.78,15.98,10.54,11.79,9.84,8.57,9.38,9.19,-,-,-,-,-,-
11,EV/Sales Ratio,1.10,1.10,1.18,1.32,1.50,1.57,1.33,1.28,1.09,1.01,1.33,1.56,2.13,3.07,-,-,-,-,-,-
12,EV/EBITDA Ratio,17.86,16.76,17.00,19.59,21.33,17.88,17.22,13.46,7.91,6.10,5.53,5.20,6.39,8.28,-,-,-,-,-,-
13,EV/EBIT Ratio,105.13,97.43,123.22,148.18,-,59.24,-,31.58,12.73,8.67,6.78,6.02,7.22,9.31,-,-,-,-,-,-
14,EV/FCF Ratio,-7.74,-,-,-,-,-,-,-,-,-,-,-,-,13.37,-,-,-,-,-,-
15,Debt / Equity Ratio,0.40,0.40,0.39,0.36,0.30,0.20,0.16,0.09,0.05,0.01,0.05,0.04,0.04,0.05,-,0.57,0.57,-,-,1.46
16,Debt / EBITDA Ratio,6.03,4.31,4.75,5.77,6.14,2.63,3.48,1.56,0.48,0.23,0.37,0.16,0.16,0.11,-,0.36,0.56,-,-,2.34
17,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,0.19,-,1.21,2.01,-,-,9.58
18,Asset Turnover,0.80,0.71,0.66,0.69,0.60,0.56,0.67,0.79,0.81,0.84,0.84,0.99,-,-,-,-,-,-,-,
19,Inventory Turnover,18.08,21.50,19.14,17.32,18.19,16.08,17.13,17.81,19.05,18.64,17.74,18.36,22.46,-,-,-,-,-,-,-
20,Quick Ratio,0.64,0.64,0.65,0.63,0.49,0.61,1.01,1.47,2.38,3.81,4.43,4.00,5.32,3.99,-,-,0.15,-,-,-
21,Current Ratio,0.94,0.94,0.89,0.92,0.89,1.11,1.31,1.89,2.72,4.50,4.92,4.51,5.68,4.34,-,-,0.34,-,-,-
22,Return on Equity (ROE),2.42%,0.77%,0.88%,0.51%,2.59%,0.27%,1.21%,5.43%,1.52%,7.37%,14.65%,16.17%,-,-,106.71%,-,-,-,-,
23,Return on Assets (ROA),1.63%,0.10%,0.40%,-0.17%,1.36%,-0.19%,0.51%,2.74%,0.20%,4.45%,10.17%,10.61%,-,-,-,-,-,-,-,
24,Return on Capital (ROIC),1.83%,0.11%,0.45%,-0.19%,1.53%,-0.21%,0.56%,3.00%,0.22%,4.84%,11.09%,11.63%,-,-,57.11%,-,-,-,-,
25,Return on Capital Employed (ROCE),0.85%,0.92%,0.71%,0.60%,-,1.80%,-,3.43%,7.61%,11.04%,20.18%,28.83%,34.08%,36.48%,-,-,42.56%,-,-,-
26,Earnings Yield,1.22%,1.20%,1.29%,1.11%,1.00%,1.86%,1.69%,2.74%,5.32%,6.77%,8.64%,9.76%,8.57%,8.32%,-,-,-,-,-,-
27,FCF Yield,-16.26%,-15.99%,-25.09%,-36.86%,-38.18%,-33.25%,-33.00%,-22.67%,-17.14%,-11.30%,-0.41%,4.58%,6.81%,7.77%,-,-,-,-,-,-
28,Dividend Yield,0.37%,-,-,-,0.31%,-,-,-,0.81%,-,-,-,0.88%,-,-,-,-,-,-,-
29,Payout Ratio,123.89%,89.67%,316.24%,103.71%,29.79%,14.57%,1821.62%,-,1.38%,-,138.67%,-,2.20%,0.09%,0.65%,1.56%,4.40%,39.46%,-,-
30,Buyback Yield / Dilution,-0.83%,21.40%,-2.60%,-21.96%,-2.54%,-5.59%,2.25%,5.54%,2.78%,-23.02%,-34.43%,-33.66%,-34.43%,-7.74%,-,-,-,-,-,-
31,Total Shareholder Return,-0.45%,21.40%,-2.60%,-21.96%,-2.23%,-5.59%,2.25%,5.54%,3.59%,-23.02%,-34.43%,-33.66%,-33.55%,-7.74%,-,-,-,-,-,-
