,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,92.55,89.95,178.04,230.57,273.89,313.01,236.59,88.48,67.6,80.77,Upgrade
1,Short-Term Investments,46.22,35.87,33.07,17.35,50.92,51.64,62.7,110.79,78,99.83,Upgrade
2,Trading Asset Securities,98.35,115.03,114.17,110.26,104.41,145.74,309.34,428.15,531.93,550.33,Upgrade
3,Cash & Short-Term Investments,237.12,240.85,325.27,358.18,429.21,510.39,608.64,627.41,677.52,730.93,Upgrade
4,Cash Growth,-27.10%,-32.76%,-24.22%,-29.82%,-29.48%,-18.65%,-10.17%,-14.16%,25.32%,23.74%,Upgrade
5,Accounts Receivable,31.19,45.47,32.66,7.43,8.79,9.46,18.55,7.76,2.61,2.79,Upgrade
6,Other Receivables,-,2.48,-,3.88,-,1.46,-,6.31,-,10.33,Upgrade
7,Receivables,31.19,47.95,32.66,11.31,8.79,10.92,18.55,14.07,2.61,13.12,Upgrade
8,Inventory,7.27,6.72,6,6.26,12.7,7.29,9.09,5.65,11.97,12.32,Upgrade
9,Prepaid Expenses,-,4.54,-,12.18,-,6.57,-,2.29,-,6.5,Upgrade
10,Other Current Assets,-,0.94,-,1.09,-,3.92,156.45,267.83,-,0.47,Upgrade
11,Total Current Assets,275.59,300.99,363.92,389.02,450.7,539.09,792.74,917.26,692.1,763.33,Upgrade
12,"Property, Plant & Equipment",10.98,14.8,18.61,22.36,2.61,5.58,8.59,11.72,14.73,17.74,Upgrade
13,Long-Term Investments,7.13,6.71,5.57,5.1,2.3,-,10.05,25.54,-,140.23,Upgrade
14,Other Long-Term Assets,1.09,1.09,1.09,1.09,-,-,2.12,2.12,2.12,2.12,Upgrade
15,Total Assets,294.78,323.58,389.19,417.56,455.61,544.67,813.49,956.62,708.95,923.41,Upgrade
16,Accrued Expenses,17.09,26.89,19.89,8.27,70.27,5.49,11.68,14.03,22,7.82,Upgrade
17,Short-Term Debt,-,-,58.81,46.86,50.68,85.77,287.01,418.59,463.51,647.95,Upgrade
18,Current Portion of Leases,3.26,3.17,7.27,7.09,2.7,5.82,6.17,5.81,5.95,5.53,Upgrade
19,Current Income Taxes Payable,0.8,0.8,2.16,0.34,6.49,5.59,5.79,3.99,4.95,4.95,Upgrade
20,Current Unearned Revenue,5.67,3.27,1.07,1.55,2.04,9.17,0.49,12.68,-,15.7,Upgrade
21,Other Current Liabilities,-,3.5,-,50.68,-,60.03,-,0.89,-,0.79,Upgrade
22,Total Current Liabilities,26.82,37.63,89.19,114.79,132.17,171.88,311.14,455.98,496.41,682.73,Upgrade
23,Long-Term Leases,4.31,5.96,7.57,9.14,-,-,2.7,5.64,8.31,11.53,Upgrade
24,Total Liabilities,31.13,43.6,96.76,123.92,132.17,171.88,313.84,461.62,504.71,694.26,Upgrade
25,Common Stock,15,15,15,15,15,15,15,15,10.6,10.6,Upgrade
26,Additional Paid-In Capital,498.79,498.79,498.79,498.79,498.79,498.79,498.79,498.79,217.19,217.19,Upgrade
27,Retained Earnings,-245.15,-228.9,-215.85,-215.78,-189.72,-140.07,-14.34,-17.45,-22.02,2.11,Upgrade
28,Comprehensive Income & Other,2.13,2.34,2.21,2.65,-0.63,-0.93,0.21,-1.34,-1.05,-0.03,Upgrade
29,Total Common Equity,270.77,287.24,300.15,300.66,323.44,372.79,499.65,495,204.72,229.86,Upgrade
30,Minority Interest,-7.12,-7.25,-7.72,-7.02,-,-,-,-,-0.49,-0.71,Upgrade
31,Shareholders' Equity,263.65,279.98,292.44,293.64,323.44,372.79,499.65,495,204.23,229.15,Upgrade
32,Total Liabilities & Equity,294.78,323.58,389.19,417.56,455.61,544.67,813.49,956.62,708.95,923.41,Upgrade
33,Total Debt,7.57,9.14,73.65,63.09,53.38,91.59,295.87,430.04,477.77,665,Upgrade
34,Net Cash (Debt),229.55,231.71,251.63,295.09,375.84,418.8,312.77,197.38,199.76,65.92,Upgrade
35,Net Cash Growth,-8.77%,-21.48%,-33.05%,-29.54%,20.17%,112.18%,56.57%,199.40%,-,-58.56%,Upgrade
36,Net Cash Per Share,0.15,0.15,0.17,0.20,0.25,0.28,0.21,0.16,0.19,0.06,Upgrade
37,Filing Date Shares Outstanding,1500,1500,1500,1500,1500,1500,1500,1500,1060,1060,Upgrade
38,Total Common Shares Outstanding,1500,1500,1500,1500,1500,1500,1500,1500,1060,1060,Upgrade
39,Working Capital,248.77,263.35,274.74,274.23,318.53,367.21,481.6,461.28,195.69,80.6,Upgrade
40,Book Value Per Share,0.18,0.19,0.20,0.20,0.22,0.25,0.33,0.33,0.19,0.22,Upgrade
41,Tangible Book Value,270.77,287.24,300.15,300.66,323.44,372.79,499.65,495,204.72,229.86,Upgrade
42,Tangible Book Value Per Share,0.18,0.19,0.20,0.20,0.22,0.25,0.33,0.33,0.19,0.22,Upgrade
43,Machinery,-,2.25,-,2.19,-,1.14,-,1.62,-,1.4,Upgrade
44,Leasehold Improvements,-,2.79,-,2.79,-,2.77,-,2.77,-,2.77,Upgrade
