,Fiscal Quarter,Q2 2021,Q1 2021,Q2 2020,Q1 2020,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,+20 Quarters
,Period Ending,"Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jan '14 Jan 1, 2014","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Jan '13 Jan 1, 2013","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Jan '12 Jan 1, 2012",+20 Quarters
0,Cash & Equivalents,11271,-,-,-,9398,8888,7015,6919,12178,13517,18508,57878,19524,-,32941,22447,18746,31392,17220,26279,Upgrade
1,Short-Term Investments,51050,-,-,-,160953,152331,69327,96435,337757,323334,322341,326432,60701,-,55974,47834,15883,10303,373.7,420.48,Upgrade
2,Trading Asset Securities,-,-,-,-,16.31,-,18.58,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
3,Cash & Short-Term Investments,62321,-,-,-,170367,161219,76361,103355,349935,336850,340849,384310,80226,-,88916,70281,34629,41696,17594,26700,Upgrade
4,Cash Growth,-63.42%,-,-,-,-51.31%,-52.14%,-77.60%,-73.11%,336.19%,-,283.34%,446.82%,131.67%,-,405.37%,163.23%,-68.63%,-70.77%,-88.17%,-80.61%,Upgrade
5,Accounts Receivable,74232,-,-,-,51242,50627,50773,51608,50376,38927,44847,39409,39165,-,37638,33834,32668,34719,22770,22114,Upgrade
6,Other Receivables,222836,-,-,-,206284,267926,200683,176346,201541,199581,184086,140481,210396,-,162521,151403,144893,127893,150103,152462,Upgrade
7,Receivables,297069,-,-,-,260253,318553,251956,227954,251917,238508,228932,179890,249561,-,200159,185236,177561,162612,172873,174575,Upgrade
8,Inventory,79275,-,-,-,71108,82694,99423,104599,104032,120355,109357,101510,102294,-,103807,91878,88749,83261,93241,79988,Upgrade
