,Fiscal Quarter,Q2 2021,Q1 2021,Q2 2020,Q1 2020,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,+20 Quarters
,Period Ending,"Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jan '14 Jan 1, 2014","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Jan '13 Jan 1, 2013","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Jan '12 Jan 1, 2012",+20 Quarters
0,Revenue,121803,104731,66217,78769,95668,84953,83766,84568,101764,83254,80393,99754,91585,76859,83890,99974,80522,102576,78124,87392,Upgrade
1,Revenue Growth (YoY),27.32%,23.28%,-20.95%,-6.86%,-5.99%,2.04%,4.20%,-15.22%,11.11%,8.32%,-4.17%,-0.22%,13.74%,-25.07%,7.38%,14.40%,2.89%,10.24%,-22.44%,-13.75%,Upgrade
2,Cost of Revenue,103147,89105,58276,68712,80255,97059,65310,69164,89627,66674,70394,88011,79780,67404,69780,83404,69746,90666,65142,69317,Upgrade
3,Gross Profit,18656,15626,7941,10057,15413,-12106,18456,15405,12136,16580,9999,11743,11804,9455,14110,16569,10776,11910,12982,18075,Upgrade
4,"Selling, General & Admin",14961,12878,6509,7747,10235,12412,9651,10750,11344,15392,10529,13351,10120,11345,10383,12824,9525,11579,11497,10832,Upgrade
5,Operating Expenses,14961,12878,6509,7747,10235,12412,9651,10750,11344,15392,10529,13351,10120,11345,10383,12824,9525,11579,11497,10832,Upgrade
6,Operating Income,3695,2748,1432,2309,5178,-24517,8805,4654,792.25,1188,-530.34,-1609,1684,-1890,3727,3745,1251,330.93,1484,7243,Upgrade
7,Interest Expense,-297.35,-282.78,-375.54,-461.38,-2633,-,-6776,-20612,-2224,-3879,-3822,-24403,-1742,-2042,-1615,-2271,-1576,-2032,-2057,-8257,Upgrade
8,Interest & Investment Income,4108,2306,1014,905.86,3428,-,1699,-,5307,8092,6283,-,1113,2258,350.87,535.38,680.59,625.56,493.8,-,Upgrade
9,Earnings From Equity Investments,3039,3580,5000,2500,-,-,-,-,-,-,-,-,-,-,-,-2066,412.74,558.91,1094,1515,Upgrade
10,Currency Exchange Gain (Loss),-,-,-,-,273.43,-,-,-5463,1292,-3902,93.88,-198.83,-258.03,-665.29,-7.05,45.1,47.95,-35.54,45.9,241.41,Upgrade
11,Other Non Operating Income (Expenses),-641.04,-351.27,-69.83,-274.87,-15.34,46877,22.08,1874,-118.08,-681.85,28.83,3488,2990,-102.88,-148.14,5921,167.22,8748,180.69,9334,Upgrade
12,EBT Excluding Unusual Items,9904,7999,7000,4979,6231,22360,3750,-19547,5049,815.6,2053,-22723,3788,-2441,2307,5910,983.12,8196,1242,10077,Upgrade
13,Gain (Loss) on Sale of Investments,-,-,-,-,24.44,-,14999,22930,22348,-62.5,386.23,22805,105.84,22754,163.4,137.93,401.56,-3830,93.84,-2218,Upgrade
14,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-5.34,1310,-,-,-,-247.31,-,-74.1,-,91.14,-,20.83,-,12.35,Upgrade
15,Pretax Income,9904,7999,7000,4979,6256,22360,18744,4693,27398,753.09,2439,-165.27,3894,20239,2471,6139,1385,4387,1336,7871,Upgrade
16,Income Tax Expense,2335,1461,346.83,482.1,1088,6723,3668,1712,4481,801.2,330.24,1080,716.66,185.32,1056,750.33,74.92,1138,996.5,148.14,Upgrade
17,Earnings From Continuing Operations,7569,6538,6654,4497,5168,15636,15076,2981,22916,-48.1,2109,-1245,3177,20054,1415,5388,1310,3249,339.15,7723,Upgrade
