,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,109,239,209,612,190,171,148,173,123,187,290
1,Market Cap Growth,-60.89%,-60.89%,9.89%,257.89%,28.38%,-1.16%,20.33%,-7.49%,-57.59%,-29.43%,23.93%
2,Enterprise Value,60,185,149,589,184,156,119,143,72,108,258
3,Last Close Price,0.09,0.19,0.17,0.51,0.19,0.17,0.15,0.17,0.12,0.19,0.29
4,PE Ratio,5.39,12.79,17.33,121.07,16.45,35.44,-,6.63,7.19,14.15,22.41
5,PS Ratio,0.43,1.02,1.08,3.10,0.71,0.51,0.42,0.54,0.52,1.15,1.47
6,PB Ratio,0.47,1.03,0.94,2.97,1.04,0.93,0.80,0.94,0.74,1.31,2.09
7,P/TBV Ratio,1.03,1.03,0.95,2.99,1.05,0.94,0.81,0.96,0.75,1.33,2.12
8,P/FCF Ratio,-,-,-,29.57,21.98,-,-,-,-,-,17.15
9,P/OCF Ratio,-,-85.32,-,26.17,11.11,-14.48,-,-,-,-,16.38
10,EV/Sales Ratio,0.25,0.79,0.77,2.99,0.68,0.47,0.34,0.45,0.30,0.66,1.30
11,EV/EBITDA Ratio,1.73,5.58,5.52,172.38,-,10.42,-,2.92,2.03,3.99,8.67
12,EV/EBIT Ratio,2.31,7.12,7.73,-197.47,-,17.19,-,3.47,2.51,5.28,11.35
13,EV/FCF Ratio,-3.11,-,-,28.47,21.25,-,-,-,-,-,15.25
14,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.06,0.07,0.08,0.10,0.12,0.03,0.09
15,Debt / FCF Ratio,-,-,-,0.06,1.21,-,-,-,-,-,0.76
16,Return on Capital Employed (ROCE),11.10%,11.10%,8.69%,-1.44%,-,4.89%,-,22.09%,16.68%,13.97%,16.07%
17,Earnings Yield,17.20%,7.82%,5.77%,0.83%,6.08%,2.82%,8.84%,15.09%,13.91%,7.07%,4.46%
18,FCF Yield,-17.71%,-8.05%,0.82%,3.38%,4.55%,-12.11%,-11.93%,-11.02%,-37.68%,1.10%,5.83%
19,Buyback Yield / Dilution,-7.79%,-0.62%,-16.38%,-20.00%,-,-,-,-,-,-,-
20,Total Shareholder Return,-7.79%,-0.62%,-16.38%,-20.00%,-,-,-,-,-,-,-
