,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,2994,3117,3401,3317,3052,1830,-,1483,-,-,-,692.58
1,Short-Term Investments,-,120.01,-,-,50,50,-,50,-,-,-,-
2,Cash & Short-Term Investments,2994,3237,3401,3317,3102,1880,1533,1533,-,-,1139,692.58
3,Cash Growth,-3.47%,72.18%,121.82%,116.36%,-,-,34.57%,121.39%,-,-,-,-
4,Accounts Receivable,0.76,1.13,1.9,18.09,3.08,5.49,-,7.46,-,-,-,0.9
5,Other Receivables,-,1.05,-,-,2.14,2.14,-,0.06,-,-,-,0
6,Receivables,0.76,2.18,1.9,18.09,5.22,7.63,-,7.52,-,-,-,0.9
7,Inventory,144.23,137.69,141.74,123.06,114.61,92.72,-,125.52,-,-,-,96.03
8,Prepaid Expenses,-,2.11,-,-,-,-,-,0.21,-,-,-,2.74
9,Other Current Assets,369.17,51.59,173.41,21.5,55.63,41.57,-,36.78,-,-,-,20.03
10,Total Current Assets,3509,3431,3718,3480,3277,2022,-,1703,-,-,-,812.28
11,"Property, Plant & Equipment",663.32,671.91,667.58,672.26,665.99,667.84,-,588.3,-,-,-,35.64
12,Long-Term Investments,1140,1131,1023,1125,1116,115.11,-,113.17,-,-,-,-
13,Goodwill,565.64,565.64,565.64,565.64,565.64,565.64,-,565.64,-,-,-,565.64
14,Other Intangible Assets,27.64,27.83,28.02,28.2,27.98,28.16,-,28.53,-,-,-,0.18
15,Long-Term Deferred Tax Assets,15.46,15.17,11.66,10.17,3.97,7.61,-,10.14,-,-,-,2.32
16,Long-Term Deferred Charges,8.79,6.8,7.73,8.59,0.42,0.49,-,0.72,-,-,-,3.55
17,Other Long-Term Assets,0,-,-,-,-,-,-,16.03,-,-,-,3.58
18,Total Assets,5930,5849,6022,5889,5658,3407,-,3026,-,-,-,1423
19,Accounts Payable,54.55,128.78,123.34,130.36,151.07,145.24,-,120.56,-,-,-,7.92
20,Accrued Expenses,0.6,24.96,4.71,21.58,0.34,31.89,-,13.53,-,-,-,23.65
21,Current Portion of Leases,1.62,1.6,1.42,1.43,-,-,-,0.91,-,-,-,3.93
22,Current Income Taxes Payable,83.01,79.46,75.33,79.68,74.82,59.24,-,82.8,-,-,-,54.8
23,Current Unearned Revenue,4.28,0.55,2.09,0.13,1.89,0.48,-,1.68,-,-,-,7.49
24,Other Current Liabilities,44.36,46.78,37.4,34.61,32.07,26.69,-,25.31,-,-,-,22.32
25,Total Current Liabilities,188.43,282.12,244.29,267.79,260.19,263.54,-,244.78,-,-,-,120.11
26,Long-Term Leases,10.74,11.57,11.58,6.71,-,-,-,-,-,-,-,2.89
27,Long-Term Unearned Revenue,7.66,7.75,7.85,7.94,8.04,8.14,-,-,-,-,-,-
28,Long-Term Deferred Tax Liabilities,7.92,5.92,4.9,5.66,0.8,1.29,-,0.81,-,-,-,-
29,Total Liabilities,214.75,307.37,268.62,288.11,269.04,272.96,-,245.59,-,-,-,123.01
30,Common Stock,400.08,400.08,400.08,400.08,400.08,360,-,360,-,-,-,360
31,Additional Paid-In Capital,2780,2780,2780,2780,2780,748.17,-,748.17,-,-,-,748.17
32,Retained Earnings,2535,2362,2573,2421,2208,2026,-,1672,-,-,-,192.02
33,Shareholders' Equity,5715,5542,5753,5601,5389,3134,2780,2780,-,-,1933,1300
34,Total Liabilities & Equity,5930,5849,6022,5889,5658,3407,-,3026,-,-,-,1423
35,Total Debt,12.36,13.17,13.01,8.15,-,-,0.91,0.91,-,-,6.51,6.82
36,Net Cash (Debt),2982,3224,3388,3309,3102,1880,1532,1532,-,-,1133,685.76
37,Net Cash Growth,-3.87%,71.48%,121.11%,115.95%,-,-,35.26%,123.46%,-,-,-,-
38,Net Cash Per Share,7.40,8.03,8.49,10.83,6.47,5.23,4.23,4.24,-,-,-,2.18
39,Filing Date Shares Outstanding,400.08,400.08,400.08,400.08,400.08,360,360,360,359.03,361.03,-,360
40,Total Common Shares Outstanding,400.08,400.08,400.08,400.08,400.08,360,360,360,359.03,361.03,-,360
41,Working Capital,3320,3148,3474,3212,3017,1758,-,1459,-,-,-,692.17
42,Book Value Per Share,14.28,13.85,14.38,14.00,13.47,8.70,7.72,7.72,-,-,6.12,3.61
43,Tangible Book Value,5122,4948,5159,5008,4795,2540,2186,2186,-,-,1339,734.36
44,Tangible Book Value Per Share,12.80,12.37,12.90,12.52,11.99,7.06,6.07,6.07,-,-,4.24,2.04
45,Buildings,-,572.66,-,560.42,-,510.24,-,19.02,-,-,-,19.58
46,Machinery,-,151.81,-,147.18,-,132.76,-,25.18,-,-,-,12.67
47,Construction In Progress,-,0.43,-,0.29,-,48.06,-,553.15,-,-,-,-
