,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021"
0,Operating Revenue,526.66,530.7,409.02,593.98,470.95,495.5,373.02,454.11,498.06,462.94,353.99,347.1
1,Other Revenue,-0.02,0.02,-,0.04,-0.22,0.22,-,0.12,-0.07,0.07,-,-
2,Revenue,526.64,530.72,409.02,594.03,470.74,495.72,373.02,454.23,497.99,463.01,353.99,347.1
3,Revenue Growth (YoY),11.88%,7.06%,9.65%,30.78%,-5.47%,7.06%,5.38%,30.87%,-,-,-,-
4,Cost of Revenue,94.39,98.71,76.02,107.6,86.7,84.62,64.73,73.02,89.72,77.78,58.94,80.6
5,Gross Profit,432.25,432.01,333,486.43,384.04,411.1,308.29,381.21,408.27,385.23,295.05,266.5
6,"Selling, General & Admin",209.22,190.77,155.32,203.4,155.07,154.55,109.59,116.87,115.94,204.94,-,40.6
7,Research & Development,15.56,9.74,6.06,17.22,4.58,5.6,5.43,4.29,2.9,8.24,-,0.13
8,Other Operating Expenses,6.53,8.16,8.69,15.59,6.72,7.07,-7.19,98.67,-89.44,6.87,-,1.44
9,Operating Expenses,231.31,208.67,170.07,236.21,166.37,167.22,107.83,219.84,29.4,220.05,-,40
10,Operating Income,200.94,223.34,162.94,250.21,217.67,243.88,200.46,161.37,378.87,165.18,295.05,226.5
11,Interest Expense,-0.16,-0.15,-0.08,-,-,-0,-0,-0.02,-0.04,-0.12,-,-0.05
12,Interest & Investment Income,32.5,28.3,33.8,34.06,27.6,14.64,11.7,11.3,9.83,12.52,-,4.38
13,Other Non Operating Income (Expenses),-0,-0,-,-0,-1.66,0.27,0.18,-3.32,0.29,82.78,-79.75,-0
14,EBT Excluding Unusual Items,233.29,251.48,196.65,284.28,243.6,258.79,212.33,169.33,388.95,260.36,215.3,230.83
15,Gain (Loss) on Sale of Assets,-0.26,-,-,0.32,-0.04,0,-,0.03,-,-,-,-
16,Asset Writedown,-0.08,0.06,-0.06,0,-0,0,-0,-,-,-,-,-
17,Other Unusual Items,1.09,0.42,5.27,5.09,-,-,-,101.14,-0.09,0.09,-,0.03
18,Pretax Income,234.03,251.97,201.86,289.69,243.56,258.79,212.33,270.49,388.86,260.45,215.3,230.86
19,Income Tax Expense,60.72,63.28,50.13,76.6,60.83,64.6,53,71.86,97.63,64.66,53.67,57.84
20,Net Income,173.31,188.69,151.73,213.09,182.73,194.19,159.33,198.63,291.23,195.79,161.63,173.02
21,Net Income to Common,173.31,188.69,151.73,213.09,182.73,194.19,159.33,198.63,291.23,195.79,161.63,173.02
22,Net Income Growth,-5.16%,-2.83%,-4.77%,7.28%,-37.26%,-0.82%,-1.42%,14.80%,-,-,-,-
23,Shares Outstanding (Basic),403,402,399,306,479,359,362,361,359,361,-,315
24,Shares Outstanding (Diluted),403,402,399,306,479,359,362,361,359,361,-,315
25,Shares Change (YoY),-15.87%,11.78%,10.26%,-15.36%,33.44%,-0.46%,-,14.79%,-,-,-,-
26,EPS (Basic),0.43,0.47,0.38,0.70,0.38,0.54,0.44,0.55,0.81,0.54,-,0.55
27,EPS (Diluted),0.43,0.47,0.38,0.70,0.38,0.54,0.44,0.55,0.81,0.54,-,0.55
28,EPS Growth,12.73%,-13.07%,-13.64%,26.74%,-52.98%,-0.35%,-,0.01%,-,-,-,-
29,Free Cash Flow,48.68,208.52,104.03,215.26,141.65,201.53,147.17,-9.78,175.86,167.7,166.66,178.12
30,Free Cash Flow Per Share,0.12,0.52,0.26,0.70,0.30,0.56,0.41,-0.03,0.49,0.46,-,0.57
31,Dividend Per Share,0.500,-,-,1.000,-,-,-,-,-,-,-,-
32,Gross Margin,82.08%,81.40%,81.41%,81.89%,81.58%,82.93%,82.65%,83.92%,81.98%,83.20%,83.35%,76.78%
33,Operating Margin,38.16%,42.08%,39.84%,42.12%,46.24%,49.20%,53.74%,35.53%,76.08%,35.68%,83.35%,65.26%
34,Profit Margin,32.91%,35.55%,37.09%,35.87%,38.82%,39.17%,42.71%,43.73%,58.48%,42.29%,45.66%,49.85%
35,Free Cash Flow Margin,9.24%,39.29%,25.43%,36.24%,30.09%,40.66%,39.45%,-2.15%,35.31%,36.22%,47.08%,51.32%
36,EBITDA,210.68,234.58,172.67,259.95,220.44,250.59,203.23,164.14,380.95,165.34,297.13,227.63
37,EBITDA Margin,40.00%,44.20%,42.22%,43.76%,46.83%,50.55%,54.48%,36.13%,76.50%,35.71%,83.94%,65.58%
38,D&A For EBITDA,9.74,11.25,9.74,9.74,2.77,6.71,2.77,2.77,2.08,0.16,2.08,1.13
39,EBIT,200.94,223.34,162.94,250.21,217.67,243.88,200.46,161.37,378.87,165.18,295.05,226.5
40,EBIT Margin,38.16%,42.08%,39.84%,42.12%,46.24%,49.20%,53.74%,35.53%,76.08%,35.68%,83.35%,65.26%
41,Effective Tax Rate,25.95%,25.12%,24.83%,26.44%,24.98%,24.96%,24.96%,26.57%,25.11%,24.83%,24.93%,25.05%
42,Revenue as Reported,526.64,530.72,409.02,594.03,470.74,495.72,373.02,454.23,497.99,817,-,-
