,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021"
0,Market Capitalization,14923,14863,12426,12406,15287,17309,-,-,-,-,-,-,-
1,Market Cap Growth,-14.13%,-14.13%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,11941,11639,9038,9304,12185,15429,-,-,-,-,-,-,-
3,Last Close Price,37.30,36.65,30.64,29.70,36.59,46.04,-,-,-,-,-,-,-
4,PE Ratio,19.37,20.45,16.88,16.73,20.40,23.55,-,-,-,-,-,-,-
5,Forward PE,20.29,18.13,14.70,14.43,18.25,-,-,-,-,-,-,-,-
6,PS Ratio,6.83,7.21,6.20,6.30,7.91,9.65,-,-,-,-,-,-,-
7,PB Ratio,2.61,2.60,2.24,2.16,2.73,3.21,-,-,-,-,-,-,-
8,P/TBV Ratio,2.90,2.90,2.51,2.40,3.05,3.61,-,-,-,-,-,-,-
9,P/FCF Ratio,25.89,25.78,18.56,18.73,21.66,36.02,-,-,-,-,-,-,-
10,P/OCF Ratio,20.96,20.96,16.49,16.03,18.51,23.72,-,-,-,-,-,-,-
11,EV/Sales Ratio,5.80,5.65,4.51,4.72,6.30,8.60,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,13.47,13.26,10.18,10.30,13.04,18.40,-,-,-,-,-,-,-
13,EV/EBIT Ratio,14.47,13.90,10.58,10.64,13.36,18.74,-,-,-,-,-,-,-
14,EV/FCF Ratio,20.71,20.19,13.50,14.04,17.27,32.10,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,-,-,0.00,0.00,-,-,0.00,0.01
16,Debt / EBITDA Ratio,0.01,0.01,0.01,0.02,0.01,-,-,0.00,0.00,-,-,0.01,0.01
17,Debt / FCF Ratio,0.02,0.02,0.02,0.02,0.01,-,-,0.00,-,-,-,0.02,0.04
18,Asset Turnover,0.36,0.36,0.27,0.41,0.42,-,-,-,-,-,-,-,
19,Inventory Turnover,2.91,2.68,2.83,2.30,3.62,3.35,-,-,-,-,-,-,-
20,Quick Ratio,15.90,15.90,11.48,13.93,12.46,11.94,7.16,-,6.29,-,-,-,5.77
21,Current Ratio,18.62,18.62,12.16,15.22,13.00,12.60,7.67,-,6.96,-,-,-,6.76
22,Return on Equity (ROE),12.32%,13.36%,10.69%,15.51%,17.15%,26.27%,22.92%,-,-,-,-,-,
23,Return on Assets (ROA),8.53%,9.41%,6.84%,10.83%,12.01%,-,-,-,-,-,-,-,
24,Return on Capital (ROIC),8.91%,9.86%,7.16%,11.37%,12.77%,20.62%,18.02%,-,-,-,-,-,
25,Return on Capital Employed (ROCE),14.38%,14.59%,15.34%,15.14%,16.23%,15.25%,31.32%,-,35.97%,-,-,-,17.38%
26,Earnings Yield,4.87%,4.89%,5.92%,5.98%,4.90%,4.25%,-,-,-,-,-,-,-
27,FCF Yield,3.86%,3.88%,5.39%,5.34%,4.62%,2.78%,-,-,-,-,-,-,-
28,Dividend Yield,2.67%,4.09%,-,-,2.73%,-,-,-,-,-,-,-,-
29,Payout Ratio,55.04%,-,212.01%,-,-,-,-,-,-,-,-,-,219.19%
30,Buyback Yield / Dilution,3.33%,15.87%,-11.78%,-10.26%,15.36%,-33.44%,0.46%,-,-14.79%,-,-,-,-
31,Total Shareholder Return,5.99%,19.96%,-11.78%,-10.26%,18.09%,-33.44%,0.46%,-,-14.79%,-,-,-,-
