,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Other Revenue,-0.01,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,Revenue,81.51,89.58,55.44,77.8,77.35,59.56,48.85,59.8,53.57,45.76,51.96,57.32,54.88,57.54,56.48,91.89,105.61,55.02,55.02
2,Revenue Growth (YoY),5.37%,50.39%,13.49%,30.09%,44.40%,30.16%,-5.98%,4.32%,-2.39%,-20.47%,-8.01%,-37.61%,-48.04%,4.58%,2.64%,-,-,-,-
3,Cost of Revenue,76.76,78.33,49.39,96.47,89.11,69.4,46.19,73.51,44.06,39.57,38.98,37.89,25.07,28.41,28.79,40.45,35.14,26.21,26.21
4,Gross Profit,4.75,11.25,6.05,-18.67,-11.76,-9.84,2.66,-13.7,9.5,6.19,12.97,19.43,29.8,29.13,27.69,51.43,70.47,28.82,28.82
5,"Selling, General & Admin",11.03,11.39,11.61,16.52,9.32,10.97,8.7,6.88,7.68,6.98,5.46,8,4.77,5.17,4.52,6.55,6.03,5.07,5.07
6,Research & Development,7.27,1.82,2.04,6.55,1.47,8.41,2.44,2.75,1.5,3.27,1.61,2.21,3.46,2.52,2.26,4.68,2.73,2.79,2.79
7,Other Operating Expenses,2.14,2.11,2.1,2.76,0.27,-3.88,-0.56,12,0.01,-4.63,-3.83,13.99,-10.78,-0.55,0.13,8.09,-11.36,-1.05,-1.05
8,Operating Expenses,19.66,18.09,16.25,26.8,12.57,17.48,11.57,28.02,7.36,7.06,3.24,23.95,-4.48,6.01,5.58,18.27,-1.82,8.2,8.2
9,Operating Income,-14.91,-6.84,-10.2,-45.48,-24.33,-27.32,-8.91,-41.72,2.15,-0.87,9.73,-4.52,34.28,23.12,22.11,33.16,72.3,20.62,20.62
10,Interest Expense,-4.59,-1.8,-2.27,-0.84,-2.33,-0.87,-1.36,-1.73,-2.86,-1.7,-0.58,-1.31,-1.46,-1.61,-1.06,-1.01,-0.45,-0.33,-0.33
11,Interest & Investment Income,-,0.15,-,1.39,-,0.87,-,3.91,-,2.55,-,1.63,0.75,0.34,-,0.11,0.03,0.03,0.03
12,Other Non Operating Income (Expenses),1.66,-1.66,-,-3.11,1.58,-1.58,-,-3.01,1.71,-1.71,-,-0.09,-0.07,-0.14,0.01,0.19,-0.24,-0.01,-0.01
13,EBT Excluding Unusual Items,-17.84,-10.16,-12.47,-48.04,-25.08,-28.9,-10.27,-42.55,1,-1.73,9.15,-4.29,33.5,21.7,21.06,32.45,71.63,20.31,20.31
14,Gain (Loss) on Sale of Assets,-,-,-,0.01,-,-0.16,-,0.44,-,-,-0.44,-0.23,-,-,-,-,-,-,-
15,Asset Writedown,-,-,-,-5.61,-,-,-,-1.07,-0.56,-,-,-,-,-,-,-0.09,-,-,-
16,Legal Settlements,-,-,-,-,-,-,-,-0.02,0.01,-0.01,-,-,-,-,-,-,-,-,-
17,Other Unusual Items,1.61,1.15,0.65,4.34,-,-,-,8.35,-,-,-,21.41,-,-,-,11.27,-7.21,3.6,3.6
18,Pretax Income,-16.23,-9.01,-11.82,-49.3,-25.08,-29.06,-10.27,-34.85,0.45,-1.74,8.71,16.89,33.5,21.7,21.06,43.63,64.42,23.91,23.91
19,Income Tax Expense,-,-0.89,-,13.63,0.24,-6.98,-,-5.59,-,-0.48,0.26,2.35,2.54,1.58,1.01,2.51,7.1,2.35,2.35
20,Earnings From Continuing Operations,-16.23,-8.12,-11.82,-62.93,-25.31,-22.09,-10.27,-29.26,0.45,-1.26,8.45,14.54,30.96,20.13,20.04,41.12,57.33,21.57,21.57
21,Minority Interest in Earnings,0.37,0.53,-,0.78,-0.17,0.17,-,-,-,-,-,-,-,-,-,-,-,-,-
22,Net Income,-15.86,-7.58,-11.82,-62.15,-25.49,-21.91,-10.27,-29.26,0.45,-1.26,8.45,14.54,30.96,20.13,20.04,41.12,57.33,21.57,21.57
23,Net Income to Common,-15.86,-7.58,-11.82,-62.15,-25.49,-21.91,-10.27,-29.26,0.45,-1.26,8.45,14.54,30.96,20.13,20.04,41.12,57.33,21.57,21.57
24,Net Income Growth,-,-,-,-,-,-,-,-,-98.55%,-,-57.85%,-64.64%,-45.99%,-6.68%,-7.06%,-,-,-,-
25,Shares Outstanding (Basic),98,91,94,95,93,77,112,93,103,85,94,94,79,70,71,71,71,71,71
26,Shares Outstanding (Diluted),98,91,94,95,93,77,112,93,103,85,94,94,79,70,71,71,71,71,71
27,Shares Change (YoY),4.79%,17.87%,-16.19%,1.48%,-9.38%,-10.08%,19.29%,-1.31%,30.61%,21.58%,33.41%,33.20%,11.52%,-0.62%,-0.04%,-,-,-,-
28,EPS (Basic),-0.16,-0.08,-0.13,-0.66,-0.27,-0.29,-0.09,-0.31,0.00,-0.01,0.09,0.15,0.39,0.29,0.28,0.58,0.81,0.30,0.30
29,EPS (Diluted),-0.16,-0.08,-0.13,-0.66,-0.27,-0.29,-0.09,-0.31,0.00,-0.01,0.09,0.15,0.39,0.29,0.28,0.58,0.81,0.30,0.30
30,EPS Growth,-,-,-,-,-,-,-,-,-98.89%,-,-68.41%,-73.46%,-51.57%,-6.10%,-7.02%,-,-,-,-
31,Free Cash Flow,-15.52,-18.18,-58.8,-6.72,-48.95,-81.24,-65.49,-14.54,-56.46,-88.78,-57.52,-44.28,-2.4,11.04,-10.77,-5.77,-4.66,5.51,5.51
32,Free Cash Flow Per Share,-0.16,-0.20,-0.62,-0.07,-0.52,-1.06,-0.58,-0.16,-0.55,-1.04,-0.61,-0.47,-0.03,0.16,-0.15,-0.08,-0.07,0.08,0.08
33,Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,0.250,-,-,-,-,-,-,-
34,Gross Margin,5.83%,12.55%,10.91%,-24.00%,-15.20%,-16.52%,5.44%,-22.92%,17.74%,13.52%,24.97%,33.90%,54.31%,50.62%,49.03%,55.97%,66.73%,52.37%,52.37%
35,Operating Margin,-18.30%,-7.64%,-18.40%,-58.45%,-31.45%,-45.86%,-18.24%,-69.76%,4.01%,-1.91%,18.73%,-7.89%,62.47%,40.19%,39.15%,36.09%,68.46%,37.48%,37.48%
36,Profit Margin,-19.45%,-8.47%,-21.32%,-79.89%,-32.95%,-36.79%,-21.02%,-48.93%,0.84%,-2.75%,16.26%,25.36%,56.42%,34.98%,35.49%,44.75%,54.28%,39.20%,39.20%
37,Free Cash Flow Margin,-19.04%,-20.29%,-106.06%,-8.64%,-63.28%,-136.40%,-134.06%,-24.31%,-105.40%,-194.01%,-110.70%,-77.24%,-4.37%,19.19%,-19.07%,-6.28%,-4.41%,10.01%,10.01%
38,EBITDA,0.87,9.94,5.58,-29.69,-13.35,-12.41,2.07,-30.74,7.16,8.05,14.75,0.49,39.03,27.91,26.86,37.91,77.03,25.35,25.35
39,EBITDA Margin,1.07%,11.09%,10.06%,-38.17%,-17.26%,-20.84%,4.23%,-51.41%,13.38%,17.60%,28.38%,0.86%,71.13%,48.50%,47.56%,41.25%,72.94%,46.08%,46.08%
40,D&A For EBITDA,15.78,16.78,15.78,15.78,10.98,14.91,10.98,10.98,5.02,8.93,5.02,5.02,4.75,4.78,4.75,4.75,4.73,4.73,4.73
41,EBIT,-14.91,-6.84,-10.2,-45.48,-24.33,-27.32,-8.91,-41.72,2.15,-0.87,9.73,-4.52,34.28,23.12,22.11,33.16,72.3,20.62,20.62
42,EBIT Margin,-18.30%,-7.64%,-18.40%,-58.45%,-31.45%,-45.86%,-18.24%,-69.76%,4.01%,-1.91%,18.73%,-7.89%,62.47%,40.19%,39.15%,36.09%,68.46%,37.48%,37.48%
43,Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,2.99%,13.90%,7.58%,7.27%,4.81%,5.76%,11.01%,9.81%,9.81%
44,Revenue as Reported,81.51,89.58,55.44,77.8,77.35,59.56,48.85,59.8,53.57,45.76,51.96,57.32,54.88,57.54,56.48,91.89,215.66,-,-
