,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,29.89,28.38,27.31,67.74,80.35,109.83,133.53,145.73,178.42,241.82,358.44,401.63,462.79,75.01,-,64.08,-,50.25,50.25
1,Cash & Short-Term Investments,29.89,28.38,27.31,67.74,80.35,109.83,133.53,145.73,178.42,241.82,358.44,401.63,462.79,75.01,64.08,64.08,-,50.25,50.25
2,Cash Growth,-62.80%,-74.16%,-79.54%,-53.52%,-54.96%,-54.58%,-62.75%,-63.71%,-61.45%,222.38%,459.32%,526.71%,-,49.27%,27.53%,-,-,-,-
3,Accounts Receivable,242.12,225.32,198.5,194.74,194.75,178.83,173.33,176.89,176.91,187.51,185.81,183.73,193.88,200.35,-,271.38,-,217.55,217.55
4,Other Receivables,5.95,5.08,5.1,4.85,10.02,8.13,12.02,7.65,3.39,2.39,2.18,2.15,1.75,1.47,-,0.8,-,0.06,0.06
5,Receivables,248.07,230.39,203.6,199.59,204.77,186.96,185.35,184.54,180.3,189.9,187.99,185.88,195.64,201.82,-,272.19,-,217.61,217.61
6,Inventory,22.28,25.14,26.99,21.97,34.45,32.48,17.98,9.36,20.17,14.82,12.94,9.75,9.12,8.24,-,9.84,-,8.85,8.85
7,Other Current Assets,42.11,37.48,40.94,32.69,60.17,59.33,71.44,47.53,42.4,35.3,33.67,28.06,12.18,16.11,-,12.43,-,4.65,4.65
8,Total Current Assets,342.35,321.4,298.85,321.99,379.74,388.6,408.3,387.17,421.29,481.84,593.03,625.31,679.73,301.18,-,358.55,-,281.37,281.37
9,"Property, Plant & Equipment",744.59,734.61,721.23,715.9,690.74,672.59,649.85,630.4,518.44,505.93,461.61,392.19,341.19,322.3,-,211.79,-,177.76,177.76
10,Other Intangible Assets,128.03,100.05,100.62,101.19,101.76,102.25,102.81,103.23,31.1,31.28,31.47,31.66,31.85,32.03,-,32.32,-,32.68,32.68
11,Long-Term Deferred Tax Assets,2.29,2.29,1.46,1.46,15.34,15.34,8.36,8.36,2.77,2.77,2.55,2.55,2.87,2.87,-,3.24,-,3.29,3.29
12,Long-Term Deferred Charges,4.5,5.3,5.76,5.6,4.03,4.43,4.72,3.22,0.65,0.84,1.31,1.2,0.54,0.59,-,0.51,-,0.58,0.58
13,Other Long-Term Assets,71.14,152.68,114.79,101.89,84.15,67.91,58.05,51.43,167.75,131.13,89.44,49.87,39.57,29.53,-,47.5,-,13.04,13.04
14,Total Assets,1293,1316,1243,1248,1276,1251,1232,1184,1142,1154,1179,1103,1096,688.51,-,653.89,-,508.7,508.7
15,Accounts Payable,154.43,172.62,120.99,131.06,93.03,98.95,122.7,126,60.36,65.74,52.29,76.08,68.5,74.05,-,63.67,-,10.14,10.14
16,Accrued Expenses,12.01,13.84,11.36,13.51,7.38,9.06,6.59,7.64,4.74,6.59,5.59,6.28,4.79,4.55,-,7.03,-,16.89,16.89
17,Short-Term Debt,94.44,105.69,69.41,69.72,90.05,70.08,70.11,30.03,30.01,30.01,30.01,10.01,20.02,20.01,-,32.04,-,42.05,42.05
18,Current Portion of Long-Term Debt,27.76,41.65,23.57,23.27,0.03,6.73,10.24,6.08,-,9,24.01,8,-,-,-,-,-,-,-
19,Current Portion of Leases,-,0.64,-,0.45,-,2.65,-,8.4,-,14,-,16.01,18.85,18.85,-,11.77,-,-,-
20,Current Income Taxes Payable,3.78,1.29,3.74,1.29,3.56,1.51,3.37,1.29,0.37,1.29,6.4,5.54,6.12,4.22,-,9.67,-,3.91,3.91
21,Current Unearned Revenue,19.62,21.04,26.21,18.55,9.36,9.37,9.87,7.66,9.76,11.6,11.3,12.91,16.74,32.07,-,54.51,-,45.83,45.83
22,Other Current Liabilities,31.29,8.68,5.69,6.36,7.71,6.4,5.54,6.55,7.4,4.75,11.12,8.43,17.01,4.01,-,4.06,-,42.11,42.11
23,Total Current Liabilities,343.33,365.46,260.97,264.22,211.12,204.74,228.41,193.64,112.65,142.98,140.73,143.25,152.03,157.75,-,182.75,-,160.93,160.93
24,Long-Term Debt,94.5,79.5,102,92,108.28,88.6,19.2,19.2,27.64,18.64,22.04,22.04,26.03,26.03,-,-,-,-,-
25,Long-Term Leases,-,0.12,0.36,0.47,-,-,-,-,11.15,2.64,3.06,8.39,11.53,16.48,-,24.25,-,-,-
26,Long-Term Unearned Revenue,39.01,39.96,41.11,41.84,46.2,22.14,27.74,23.34,19.65,20.14,20.63,4.02,3.06,3.09,-,3.15,-,3.2,3.2
27,Long-Term Deferred Tax Liabilities,0.15,0.15,0.2,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,Other Long-Term Liabilities,81.59,80.82,80.1,79.37,78.65,77.93,77.21,76.48,70.96,70.12,69.29,10.25,3.15,3.1,-,3,-,2.91,2.91
29,Total Liabilities,558.58,566,484.74,478.11,444.24,393.41,352.56,312.67,242.05,254.53,255.74,187.95,195.81,206.45,-,213.15,-,167.04,167.04
30,Common Stock,94.25,94.25,94.25,94.25,94.25,94.25,112.47,94.25,94.25,94.25,94.25,94.25,94.25,70.69,-,70.69,-,70.69,70.69
31,Additional Paid-In Capital,543.24,543.24,543.24,543.24,543.24,543.24,543.24,543.24,543.24,543.24,543.24,543.24,543.24,180.38,-,180.38,-,180.38,180.38
32,Retained Earnings,67.59,83.44,90.52,102.85,164.3,190.48,212.4,222.66,251.93,251.48,276.3,267.85,253.32,222.35,-,182.18,-,83.74,83.74
33,Comprehensive Income & Other,12.73,12.5,12.33,12.15,11.9,11.69,11.42,10.98,10.53,10.3,9.89,9.49,9.13,8.64,-,7.49,-,6.85,6.85
34,Total Common Equity,717.81,733.44,740.35,752.5,813.7,839.67,879.53,871.14,899.95,899.28,923.68,914.84,899.94,482.06,440.74,440.74,-,341.66,341.66
35,Minority Interest,16.52,16.89,17.62,17.43,17.82,18.04,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Shareholders' Equity,734.33,750.33,757.97,769.93,831.52,857.71,879.53,871.14,899.95,899.28,923.68,914.84,899.94,482.06,440.74,440.74,-,341.66,341.66
37,Total Liabilities & Equity,1293,1316,1243,1248,1276,1251,1232,1184,1142,1154,1179,1103,1096,688.51,-,653.89,-,508.7,508.7
38,Total Debt,216.71,227.61,195.35,185.93,198.37,168.06,99.55,63.71,68.81,74.29,79.13,64.45,76.43,81.37,68.05,68.05,-,42.05,42.05
39,Net Cash (Debt),-186.82,-199.23,-168.03,-118.19,-118.02,-58.22,33.98,82.03,109.61,167.53,279.32,337.17,386.36,-6.36,-3.97,-3.97,-,8.21,8.21
40,Net Cash Growth,-,-,-,-,-,-,-87.83%,-75.67%,-71.63%,-,-,-,-,-,-,-,-,-,-
41,Net Cash Per Share,-1.91,-2.20,-1.78,-1.25,-1.26,-0.76,0.30,0.88,1.06,1.96,2.96,3.57,4.89,-0.09,-0.06,-0.06,-,0.12,0.12
42,Filing Date Shares Outstanding,94.25,94.25,94.25,94.25,94.25,94.25,112.47,94.25,94.25,94.25,94.25,94.25,94.25,94.25,70.68,70.69,70.82,70.69,70.69
43,Total Common Shares Outstanding,94.25,94.25,94.25,94.25,94.25,94.25,112.47,94.25,94.25,94.25,94.25,94.25,94.25,70.69,70.68,70.69,70.82,70.69,70.69
