,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2251,2493,1692,2520,2183,2255,2083,2070,1986,1998,2235,2850,3256,3044,-,-,-,-,-,-
1,Market Cap Growth,10.58%,10.58%,-18.78%,21.77%,9.92%,12.83%,-6.79%,-27.38%,-39.00%,-34.37%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2454,2709,1878,2656,2319,2331,2049,1960,1876,1831,1955,2513,2869,3051,-,-,-,-,-,-
3,Last Close Price,23.88,26.45,17.95,26.74,23.16,23.92,22.10,21.96,21.07,21.20,23.71,29.90,34.15,31.93,-,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,-,-,-,-,90.11,-,38.48,38.00,27.12,-,-,-,-,-,-
5,PS Ratio,7.40,8.19,5.64,9.33,8.28,9.18,9.39,9.95,9.41,9.58,10.65,12.86,14.39,11.67,-,-,-,-,-,-
6,PB Ratio,3.14,3.39,2.25,3.33,2.84,2.71,2.43,2.35,2.28,2.22,2.49,3.09,3.56,3.38,-,-,-,-,-,-
7,P/TBV Ratio,4.23,4.23,2.67,3.94,3.35,3.17,2.82,2.66,2.59,2.30,2.57,3.19,3.69,3.51,-,-,-,-,-,-
8,P/OCF Ratio,102.96,-,-,-,120.30,-,-,-,48.65,29.84,-,21.67,22.76,19.45,-,-,-,-,-,-
9,EV/Sales Ratio,8.06,8.90,6.25,9.83,8.80,9.49,9.24,9.42,8.89,8.78,9.32,11.34,12.68,11.70,-,-,-,-,-,-
10,EV/EBITDA Ratio,-,-203.56,-68.20,-53.26,-,-,-,-145.66,-,60.10,31.38,30.58,30.43,23.16,-,-,-,-,-,-
11,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,282.24,-,40.13,-,27.08,-,-,-,-,-,-
12,Debt / Equity Ratio,0.30,0.30,0.30,0.26,0.24,0.24,0.20,0.11,0.07,0.08,0.08,0.09,0.07,0.08,0.17,0.15,0.15,-,0.12,0.12
13,Debt / EBITDA Ratio,-,62.30,5.60,8.75,-,-,-,12.04,-,2.40,2.30,1.34,26.76,0.49,0.73,0.63,0.45,-,0.41,0.41
14,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-8.01,-,-,-,3.82,7.63
15,Asset Turnover,0.25,0.28,0.18,0.25,0.24,0.19,0.16,0.21,0.19,0.16,0.18,0.21,0.25,-,-,-,-,0.43,-,
16,Inventory Turnover,10.47,12.95,12.02,8.07,13.68,10.65,11.00,13.52,19.92,10.07,11.40,13.75,16.07,11.55,-,-,-,-,11.84,-
17,Quick Ratio,0.81,0.81,0.71,0.88,1.01,1.35,1.45,1.40,1.71,3.18,3.02,3.88,4.10,4.33,1.75,-,1.84,-,1.66,1.66
18,Current Ratio,1.00,1.00,0.88,1.15,1.22,1.80,1.90,1.79,2.00,3.74,3.37,4.21,4.37,4.47,1.91,-,1.96,-,1.75,1.75
19,Return on Equity (ROE),-8.74%,-4.31%,-6.19%,-31.44%,-11.99%,-10.17%,-4.69%,-13.22%,0.20%,-0.55%,3.68%,6.41%,17.92%,17.45%,18.19%,-,-,25.25%,-,
