,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+20 Quarters
0,Market Capitalization,33,16,17,17,20,22,29,33,43,63,84,84,103,132,92,108,126,169,184,225,195,Upgrade
1,Market Cap Growth,-29.41%,-29.41%,-40.91%,-48.00%,-54.55%,-64.58%,-65.63%,-60.94%,-57.69%,-52.00%,-8.57%,-21.95%,-18.75%,-21.88%,-50.00%,-52.05%,-35.14%,43.82%,92.66%,117.37%,40.51%,Upgrade
2,Enterprise Value,51,9,10,22,25,7,14,47,58,45,66,88,107,139,99,149,166,160,176,280,252,Upgrade
3,Last Close Price,0.03,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.05,0.06,0.06,0.08,0.10,0.07,0.08,0.10,0.13,0.14,0.17,0.15,Upgrade
4,PE Ratio,-,-,-,-1.88,-,-,-,-1.58,-,-,-,-4.99,-,-3.94,-,-,-,14.15,-,8.05,4.60,Upgrade
5,PS Ratio,0.42,0.20,0.22,0.22,0.23,0.23,0.28,0.34,0.47,0.65,0.79,0.73,1.01,1.27,0.80,1.06,1.03,1.33,1.43,1.55,1.38,Upgrade
6,PB Ratio,1.48,0.71,0.76,0.50,0.80,0.90,0.64,0.74,-,2.48,1.31,1.32,-,2.11,1.18,1.38,-,1.93,1.74,2.08,-,Upgrade
7,P/TBV Ratio,0.71,0.71,0.76,0.50,0.80,0.90,0.64,0.74,-,2.48,1.31,1.32,-,2.27,1.26,1.48,-,2.66,2.22,2.65,-,Upgrade
8,EV/Sales Ratio,0.66,0.11,0.13,0.29,0.29,0.08,0.14,0.49,0.62,0.47,0.62,0.76,1.05,1.33,0.86,1.46,1.35,1.26,1.36,1.93,1.78,Upgrade
9,EV/EBITDA Ratio,-,-,-,-3.00,-,-,-,-2.65,-,-,-,-2.88,-,-4.75,-,-,-,-,-,8.38,5.17,Upgrade
10,EV/EBIT Ratio,-,-,-,-2.64,-,-,-,-2.49,-,-,-,-2.76,-,-,-,-,-,-,-,8.70,5.30,Upgrade
11,Debt / Equity Ratio,1.48,1.48,1.48,0.93,1.31,1.31,1.09,1.11,-,1.54,0.59,0.59,-,0.86,0.98,0.98,-,0.84,0.71,0.71,-,Upgrade
12,Debt / EBITDA Ratio,-,-,-,0.52,-,-,-,0.60,-,-,-,5.71,-,73.24,-,-,-,-,-,0.69,-,Upgrade
13,Asset Turnover,0.84,0.77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,
14,Inventory Turnover,95.57,63.61,63.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Quick Ratio,3.44,3.44,3.44,4.27,-,3.34,-,2.48,-,1.73,-,2.59,-,2.31,-,2.21,-,4.31,-,4.45,-,Upgrade
16,Current Ratio,4.50,4.50,4.50,4.83,-,4.35,-,2.73,-,2.40,-,2.95,-,2.61,-,3.35,-,4.55,-,4.61,-,Upgrade
17,Return on Equity (ROE),-100.42%,-80.27%,214.87%,-109.69%,-87.90%,-97.90%,-,-,-98.35%,-162.42%,-,-,31.33%,-112.26%,-,-,2.91%,-73.69%,-,-,Upgrade,
18,Return on Assets (ROA),-20.19%,-18.50%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,
19,Return on Capital (ROIC),-23.37%,-21.51%,60.30%,-27.59%,-20.09%,-30.55%,-,-,-30.39%,-64.95%,-,-,-0.25%,-34.55%,-,-,-1.67%,-26.17%,-,-,Upgrade,
20,Return on Capital Employed (ROCE),-,-,-,-13.34%,-,-,-,-25.85%,-,-,-,-37.23%,-,-,-,-,-,-,-,18.21%,-,Upgrade
21,Earnings Yield,-7.11%,-14.81%,-24.18%,-53.17%,-32.16%,-22.75%,-27.33%,-63.10%,-71.35%,-55.76%,-24.06%,-20.05%,-40.87%,-25.41%,-34.02%,-34.31%,5.32%,7.07%,7.94%,12.42%,21.72%,Upgrade
22,FCF Yield,-30.78%,-156.75%,-72.98%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
23,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-,-,-,-,0.21%,-,0.59%,-14.58%,-24.12%,-50.00%,-49.51%,-31.59%,Upgrade,
24,Total Shareholder Return,-,-,-,-,-,-,-,-,-,-,-,-,0.21%,-,0.59%,-14.58%,-24.12%,-50.00%,-49.51%,-31.59%,Upgrade,
