,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,4225,3697,2807,3830,4868,5653,5160,6601,7085,4379,6072,5061,6984,6288,7389,4999,-,-,-,-,-
1,Market Cap Growth,-34.59%,-34.59%,-45.61%,-41.98%,-31.29%,29.10%,-15.02%,30.43%,1.45%,-30.37%,-17.82%,1.23%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4857,4262,3256,4077,5116,5805,5205,6571,7030,4159,5889,4775,6686,5988,7077,5043,-,-,-,-,-
3,Last Close Price,67.86,59.78,45.38,60.88,77.39,90.21,82.34,104.21,111.85,69.12,95.86,79.03,109.07,98.20,115.39,77.51,-,-,-,-,-
4,PE Ratio,39.00,28.59,16.76,25.36,30.83,34.35,36.22,43.90,42.69,29.67,34.86,30.17,43.02,42.10,57.48,43.92,-,-,-,-,-
5,Forward PE,21.73,15.67,12.16,19.05,20.69,23.45,20.65,27.69,29.19,18.22,27.08,24.36,35.85,35.32,51.82,37.99,-,-,-,-,-
6,PS Ratio,5.52,4.67,3.31,4.70,6.13,7.18,7.71,10.69,11.78,8.29,11.14,9.92,14.39,13.95,18.26,13.50,-,-,-,-,-
7,PB Ratio,3.22,2.84,2.17,2.99,3.87,4.75,4.53,5.76,6.36,4.17,5.90,5.45,7.85,7.41,9.22,6.21,-,-,-,-,-
8,P/TBV Ratio,2.89,2.89,2.22,3.05,3.95,4.85,4.63,5.88,6.50,4.27,6.04,5.57,8.03,7.58,9.46,6.37,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,140.63,312.37,-,-,-,-,-,-
10,P/OCF Ratio,287.23,287.23,-216.26,-,1934.92,-,78.81,-,48.75,24.44,27.64,23.88,33.89,33.99,48.95,40.15,-,-,-,-,-
11,EV/Sales Ratio,6.40,5.39,3.84,5.01,6.44,7.38,7.78,10.64,11.69,7.87,10.81,9.36,13.77,13.29,17.49,13.62,-,-,-,-,-
12,EV/EBITDA Ratio,22.95,14.89,10.43,14.42,18.35,21.56,22.12,28.49,29.51,19.72,25.49,21.67,31.31,29.75,38.43,29.77,-,-,-,-,-
13,EV/EBIT Ratio,40.12,22.62,14.60,19.96,24.47,27.88,29.37,36.66,37.05,25.15,31.37,26.67,38.33,36.49,48.09,37.48,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,133.91,299.20,-,-,-,-,-,-
15,Debt / Equity Ratio,0.58,0.58,0.54,0.45,0.36,0.34,0.34,0.35,0.37,0.36,0.33,0.02,0.01,0.02,0.03,0.04,0.17,0.20,0.21,0.29,0.29
16,Debt / EBITDA Ratio,2.48,4.00,1.76,2.80,1.25,1.38,1.36,2.08,1.29,2.41,1.29,0.07,0.06,0.07,0.12,0.17,0.44,0.46,0.47,1.18,0.50
17,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,0.35,1.08,-,-179.60,-,2.21,-,2.68
18,Asset Turnover,0.28,0.40,0.30,0.38,0.46,0.43,0.32,0.44,0.26,0.43,0.46,0.46,0.51,0.49,0.55,0.60,0.59,-,-,-,
19,Inventory Turnover,1.38,1.12,1.48,1.31,1.54,2.15,2.29,1.97,2.71,1.76,2.76,2.90,3.11,3.12,3.43,3.56,3.12,2.68,-,-,-
20,Quick Ratio,1.06,1.06,1.07,1.19,1.40,1.42,1.53,1.89,1.90,1.95,2.71,2.37,2.44,3.23,3.63,4.68,1.10,1.01,1.12,-,1.17
21,Current Ratio,1.73,1.73,1.71,1.87,2.11,2.10,2.18,2.50,2.41,2.51,3.18,3.13,2.95,3.82,4.25,5.29,1.54,1.45,1.60,-,1.62
22,Return on Equity (ROE),1.58%,17.04%,5.42%,17.09%,14.86%,13.39%,8.53%,21.79%,8.15%,18.86%,17.47%,18.68%,23.16%,19.77%,22.57%,27.78%,29.09%,29.46%,11.78%,-,
23,Return on Assets (ROA),2.45%,7.16%,3.20%,7.62%,7.34%,6.55%,4.48%,8.88%,4.08%,9.20%,9.63%,9.15%,12.37%,11.22%,12.62%,12.36%,14.62%,-,-,-,
24,Return on Capital (ROIC),3.01%,8.97%,4.11%,9.93%,9.46%,8.21%,5.56%,10.96%,5.01%,11.33%,12.08%,11.42%,14.88%,13.13%,15.18%,15.94%,18.70%,18.36%,7.49%,-,
25,Return on Capital Employed (ROCE),9.88%,10.02%,12.14%,11.26%,11.93%,12.50%,11.26%,11.34%,12.33%,11.57%,13.41%,17.60%,18.13%,18.12%,17.32%,15.64%,22.94%,26.52%,19.67%,-,9.50%
26,Earnings Yield,2.54%,3.50%,5.97%,3.94%,3.24%,2.91%,2.76%,2.28%,2.34%,3.37%,2.87%,3.31%,2.32%,2.38%,1.74%,2.28%,-,-,-,-,-
27,FCF Yield,-6.32%,-6.32%,-10.34%,-8.23%,-5.30%,-3.75%,-5.28%,-3.61%,-3.82%,-6.60%,-2.29%,-1.75%,0.00%,0.71%,0.32%,0.07%,-,-,-,-,-
28,Dividend Yield,1.17%,-,-,-,1.03%,-,-,-,0.77%,-,-,-,0.79%,-,-,-,-,-,-,-,-
29,Payout Ratio,45.27%,46.50%,97.35%,6.07%,3.48%,1.22%,139.49%,2.73%,1.07%,2.03%,114.93%,-,0.42%,0.60%,111.75%,2.60%,2.09%,5.41%,4.52%,15.40%,19.98%
