,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,49.03,66.5,61.29,80.7,85.61,162.51,153.62,213.62,190.43,498.8,118.79,157.96,152.76,164.71,184.49,24.56,15.23,34.5,-,56.64
1,Trading Asset Securities,71.59,71.24,70.96,70.54,70.3,70.13,200.25,230.39,240.84,60.16,80.06,140.58,161.46,161.17,160.29,-,-,-,-,-
2,Cash & Short-Term Investments,120.61,137.73,132.26,151.23,155.91,232.64,353.88,444.01,431.28,558.95,198.85,298.55,314.22,325.88,344.78,24.56,15.23,34.5,56.64,56.64
3,Cash Growth,-22.64%,-40.80%,-62.63%,-65.94%,-63.85%,-58.38%,77.96%,48.72%,37.25%,71.52%,-42.33%,1115.37%,1963.30%,844.69%,508.72%,-56.63%,-,-,-,-
4,Accounts Receivable,548.19,535.85,523.3,487.33,429.56,312.37,273.45,232.4,186.57,201.39,156.12,156.39,166.86,149.07,159.73,142.49,146.36,111.08,-,88.81
5,Other Receivables,2.69,0.71,2.48,2.37,9.73,2.48,2.8,2.53,2.25,-,1.96,3.31,0.16,-,0.15,-,0.28,0.11,-,-
6,Receivables,550.89,536.56,525.78,489.7,439.29,314.85,276.25,234.93,188.81,201.39,158.08,159.7,167.02,149.07,159.88,142.49,146.64,111.2,-,88.81
7,Inventory,405.2,386,344.65,308.3,266.81,219.26,185.01,148.18,153.32,123.97,102.82,88.43,81.79,76.63,63.67,56.75,59.12,57.57,-,53.91
8,Prepaid Expenses,-,6.49,-,12.59,-,6.32,-,26.26,-,1.38,-,1.54,-,-,-,0.03,-,-,-,-
