,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,176.35,237.94,170.22,201.97,232.21,205.02,150.32,197.03,113.47,154.29,134.47,123.84,129.5,119.86,109.93,90.32,83.97,84.98,51.91,94.13
1,Other Revenue,-2.26,2.26,-,4.75,-1.75,1.75,-,2.38,-0.55,0.55,-,2.34,-,-,-,1,-0.34,0.34,-,0.79
2,Revenue,174.1,240.2,170.22,206.72,230.46,206.77,150.32,199.4,112.92,154.85,134.47,126.18,129.5,119.86,109.93,91.32,83.64,85.32,51.91,94.92
3,Revenue Growth (YoY),-24.46%,16.17%,13.24%,3.67%,104.10%,33.53%,11.79%,58.03%,-12.81%,29.19%,22.32%,38.17%,54.84%,40.49%,111.77%,-3.79%,-,-,-,-
4,Cost of Revenue,110.55,135.41,106.83,110.35,130.63,115.62,82.2,102.17,60.93,78.38,69.21,66.21,61.73,60.09,53.59,45.25,39.09,42.23,28.06,43.04
5,Gross Profit,63.55,104.79,63.39,96.36,99.84,91.15,68.12,97.24,51.99,76.47,65.26,59.97,67.77,59.77,56.34,46.07,44.54,43.09,23.85,51.89
6,"Selling, General & Admin",18.69,19.23,17.52,18.65,19.27,21.29,19.31,15.36,13.9,13.31,10.3,9.98,9.73,9.52,10.15,8.48,7.11,6.18,5.53,7.96
7,Research & Development,15.52,15.93,14.66,14.59,16.39,16.65,13.25,13.34,10.04,10.78,7.4,7.96,6.87,5.41,4.67,5.86,4.5,5.12,4.28,4.73
8,Other Operating Expenses,0.31,-1.61,-0.38,-3.06,0.43,-0.05,-0.8,2.55,0.24,-0.53,0.43,2.48,0.85,0.84,-0,2.71,-0.75,0.64,0.37,1.12
9,Operating Expenses,39.14,35.63,34.06,30.84,40.83,40.75,33.99,32.53,24.01,24.05,20.64,19.64,17.43,16.05,16.31,16.07,11.13,11.98,11.4,13.28
10,Operating Income,24.4,69.16,29.33,65.53,59,50.4,34.13,64.7,27.98,52.42,44.62,40.33,50.34,43.73,40.03,30,33.41,31.11,12.45,38.6
11,Interest Expense,-10.34,-9.19,-8.36,-7.29,-8.24,-7.2,-7.31,-7.38,-7.12,-0.41,-0.16,-,-0.34,-0.39,-0.85,-0.74,-1.15,-1.33,-1.51,-1.78
12,Interest & Investment Income,0.35,0.44,0.26,0.82,0.76,1.53,1.81,2.81,2.22,0.58,1.12,2.64,1.64,1.06,0.2,0.1,0.06,0.05,-,0.02
13,Currency Exchange Gain (Loss),-0.18,0.18,-,-0.02,0.04,-0.04,-,-0.03,-0.01,0.01,-,0.07,-0.14,0.14,-,-0.13,0.06,-0.06,-,-0.04
14,Other Non Operating Income (Expenses),0.1,-0.15,-0.09,-0.34,0.48,-0.34,-0.56,-0.07,-0.14,-0.16,-0.26,-4.48,4.59,-0.33,0.12,1.75,-1.56,0.05,-0.14,-0.16
15,EBT Excluding Unusual Items,14.33,60.44,21.15,58.69,52.04,44.35,28.07,60.03,22.93,52.44,45.32,38.56,56.1,44.2,39.5,30.99,30.82,29.81,10.8,36.64
16,Gain (Loss) on Sale of Investments,0.35,0.27,0.43,-0.15,0.17,-0.12,0.25,-0.46,0.11,0.09,0.06,-0.88,0.29,0.88,0.29,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,0,-0,-,-0.04,-0.52,-0.01,-0,-0,-,-0,-0,-0.71,0,-0.04,-,-0.49,-0,-0.02,-,-0.05
18,Asset Writedown,-9.58,1.93,-1.93,-0.35,-0.87,0.24,-0.24,-0.16,0.16,-0.15,0.14,0.81,-0.81,0.22,-0.22,0.95,-0.95,0.19,-0.19,-
19,Legal Settlements,-,-,-,0.59,-0.59,0.59,-,-0.59,-,-,-,-,-,-,-,-,1.23,-1.23,-,-
20,Other Unusual Items,0.15,0.38,-0.04,0.56,-,-,-,6.56,0.02,-0.02,-,8.65,-0.51,0.51,-,0.33,-0.01,0.01,-,4.08
21,Pretax Income,5.26,63.02,19.61,59.29,50.23,45.04,28.08,65.39,23.21,52.36,45.52,46.44,55.08,45.77,39.58,31.77,31.1,28.75,10.61,40.67
22,Income Tax Expense,0.14,8.27,2.42,7.03,6.95,6.78,3.98,6.45,2.05,6.21,5.83,5.86,7.32,6.07,5.26,4.17,4.18,3.75,1.12,5.57
23,Net Income,5.12,54.75,17.19,52.26,43.28,38.26,24.11,58.94,21.16,46.15,39.7,40.58,47.76,39.7,34.32,27.6,26.92,25,9.49,35.1
24,Net Income to Common,5.12,54.75,17.19,52.26,43.28,38.26,24.11,58.94,21.16,46.15,39.7,40.58,47.76,39.7,34.32,27.6,26.92,25,9.49,35.1
25,Net Income Growth,-88.17%,43.10%,-28.69%,-11.33%,104.48%,-17.10%,-39.27%,45.26%,-55.68%,16.25%,15.68%,47.01%,77.42%,58.82%,261.66%,-21.36%,-,-,-,-
26,Shares Outstanding (Basic),61,63,61,61,62,62,62,62,61,62,62,62,61,62,51,46,46,47,46,46
27,Shares Outstanding (Diluted),61,63,61,61,62,62,62,62,61,62,62,62,61,62,51,46,46,47,46,46
28,Shares Change (YoY),-1.51%,1.54%,-0.68%,-1.41%,1.41%,-0.15%,0.11%,1.09%,-0.52%,-0.59%,20.81%,34.05%,33.82%,32.15%,11.56%,-0.56%,-,-,-,-
29,EPS (Basic),0.08,0.87,0.28,0.85,0.70,0.62,0.39,0.95,0.35,0.75,0.64,0.66,0.78,0.64,0.67,0.60,0.59,0.53,0.21,0.76
30,EPS (Diluted),0.08,0.87,0.28,0.85,0.70,0.62,0.39,0.95,0.35,0.75,0.64,0.66,0.78,0.64,0.67,0.60,0.59,0.53,0.21,0.76
31,EPS Growth,-87.99%,40.92%,-28.21%,-10.06%,101.64%,-16.98%,-39.34%,43.69%,-55.45%,16.94%,-4.24%,9.67%,32.58%,20.18%,224.19%,-20.92%,-,-,-,-
32,Free Cash Flow,-31.63,-23.55,-126.94,-51.55,-88.08,-48.55,-69.91,-5.44,-148.7,-14.51,-101.75,-23.93,1.02,35.97,-12.78,20.51,-20.04,15.77,-16.62,34.83
33,Free Cash Flow Per Share,-0.52,-0.38,-2.07,-0.84,-1.42,-0.79,-1.13,-0.09,-2.44,-0.23,-1.65,-0.39,0.02,0.58,-0.25,0.45,-0.44,0.34,-0.36,0.75
34,Dividend Per Share,-,-,-,0.800,-,-,-,0.857,-,-,-,0.857,-,-,-,0.714,-,-,-,-
35,Dividend Growth,-,-,-,-6.66%,-,-,-,0%,-,-,-,19.99%,-,-,-,-,-,-,-,-
36,Gross Margin,36.50%,43.63%,37.24%,46.62%,43.32%,44.08%,45.32%,48.76%,46.04%,49.39%,48.53%,47.53%,52.33%,49.87%,51.25%,50.45%,53.26%,50.51%,45.94%,54.66%
