,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,35.61,-1.73,5.02,13.75,-6.3,20.92,106.22,98.13,203.96,3.93,12.47,41.7,316.77,2.05,30.04,326.74,174.95,46.26,41.15
1,Other Revenue,-,-,-,-,-,-,-,-,-,-,-,1.71,-,-,-,-,-,-,-
2,Revenue,35.61,-1.73,5.02,13.75,-6.3,20.92,106.22,98.13,203.96,3.93,12.47,43.41,316.77,2.05,30.04,326.74,174.95,46.26,41.15
3,Revenue Growth (YoY),-,-,-95.28%,-85.99%,-,432.74%,751.94%,126.04%,-35.61%,91.63%,-58.50%,-86.71%,81.06%,-95.57%,-26.99%,-,-,-,-
4,Cost of Revenue,12.31,0.53,0.63,65.6,4.28,0.31,16.1,54.88,29.78,1.42,1.33,76.68,21.89,11.76,4.19,38.9,21.72,7.46,8.38
5,Gross Profit,23.3,-2.26,4.39,-51.86,-10.58,20.62,90.12,43.25,174.18,2.51,11.13,-33.27,294.88,-9.71,25.85,287.83,153.23,38.79,32.77
6,"Selling, General & Admin",30.45,16.47,29.59,28.75,29.59,20.96,54.8,52,82.79,14.79,16.77,19.08,113.21,6.86,23.95,128.06,61.27,38.47,27.58
7,Research & Development,2.89,9.59,3.2,3.42,5.6,3.35,3.1,7.55,6.45,15.46,2.95,6.4,8.35,14.69,5.82,6.49,8.17,5.91,7.96
8,Other Operating Expenses,0.67,0.49,0.35,-0.03,-2.34,0.12,-0.45,7.96,-0.45,-4.84,0.17,8.13,-1.75,-2.1,-0.72,12.33,0.55,0.91,-10.18
9,Operating Expenses,34.93,24.46,33.53,34.18,27.95,15.41,58.08,68.91,99.64,17.88,16.32,32.36,133.74,13.89,23.18,155.83,75.58,44.88,26.79
10,Operating Income,-11.63,-26.73,-29.15,-86.03,-38.53,5.2,32.04,-25.66,74.54,-15.37,-5.18,-65.63,161.13,-23.6,2.67,132,77.65,-6.09,5.98
11,Interest Expense,-0.33,-0.46,-0.44,-0.52,-0.55,-0.4,-0.43,-0.45,-0.4,-0.26,-0.17,-0.05,-2.49,-3.93,-3.38,-3.18,-3.12,-2.45,-0.89
12,Interest & Investment Income,2.37,4.16,4.09,4.62,5.38,1.29,3.86,4.97,5.31,2.92,4.33,5.91,0.68,0.74,0.37,0.32,0.16,0.14,0.05
13,Currency Exchange Gain (Loss),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
14,Other Non Operating Income (Expenses),-0.01,0.01,-0,0.02,-0.01,-0.15,-0.5,-0.03,-0.01,0.01,0.01,-1.43,1.41,-0,-0,0.81,0,-0.83,-0.01
15,EBT Excluding Unusual Items,-9.6,-23.02,-25.5,-81.92,-33.71,5.94,34.99,-21.17,79.44,-12.71,-1.01,-61.19,160.73,-26.79,-0.34,129.96,74.7,-9.23,5.12
16,Gain (Loss) on Sale of Investments,0.26,0.12,-0.28,-0.15,-0.62,0.55,0.07,-0.91,-2.58,0.89,0.86,2.31,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0,0.02,0.01,-0.2,0.04,-0.04,-,0.23,-,-,-,-,-,0,-0.05,-0,0,0,-
18,Asset Writedown,-5.31,-0,-0.07,23.66,-23.14,-7.08,5.69,-0.71,-2.58,0.12,-0.12,9.24,-12.99,5.81,-5.81,1.13,-1.13,-,-
19,Other Unusual Items,-0.35,0.03,0,-10.65,-,-,-,8.66,-,-,-,13.09,-,-,-,10.37,-,-0.02,0.02
20,Pretax Income,-15.01,-22.85,-25.83,-69.26,-57.44,-0.62,40.75,-13.9,74.28,-11.7,-0.27,-36.56,147.74,-20.98,-6.2,141.46,73.57,-9.25,5.14
21,Income Tax Expense,-2.41,-3.48,-4.34,-9.35,-11.28,0.64,4.4,0.17,1.41,2.92,2.37,-18.94,24.36,-2.97,-0.9,34.9,18.34,1.73,0.97
22,Net Income,-12.59,-19.38,-21.49,-59.91,-46.16,-1.27,36.35,-14.07,72.87,-14.62,-2.64,-17.61,123.38,-18.01,-5.29,106.56,55.23,-10.98,4.17
23,Net Income to Common,-12.59,-19.38,-21.49,-59.91,-46.16,-1.27,36.35,-14.07,72.87,-14.62,-2.64,-17.61,123.38,-18.01,-5.29,106.56,55.23,-10.98,4.17
24,Net Income Growth,-,-,-,-,-,-,-,-,-40.94%,-,-,-,123.40%,-,-,-,-,-,-
25,Shares Outstanding (Basic),125,121,126,120,119,129,121,118,124,123,123,122,112,104,82,91,132,98,49
26,Shares Outstanding (Diluted),125,121,126,120,119,129,121,118,124,123,123,122,112,104,82,91,132,98,49
27,Shares Change (YoY),5.60%,-6.30%,4.34%,2.00%,-4.48%,5.14%,-1.86%,-3.05%,11.25%,18.25%,49.91%,34.15%,-15.41%,6.28%,69.28%,-,-,-,-
28,EPS (Basic),-0.10,-0.16,-0.17,-0.50,-0.39,-0.01,0.30,-0.12,0.59,-0.12,-0.02,-0.14,1.10,-0.17,-0.06,1.17,0.42,-0.11,0.09
29,EPS (Diluted),-0.10,-0.16,-0.17,-0.50,-0.39,-0.01,0.30,-0.12,0.59,-0.12,-0.02,-0.14,1.10,-0.17,-0.06,1.17,0.42,-0.11,0.09
30,EPS Growth,-,-,-,-,-,-,-,-,-46.91%,-,-,-,164.09%,-,-,-,-,-,-
31,Free Cash Flow,-43,-50.7,-57,-16.69,-1.54,49.11,-3.98,2.19,-30.75,-35.89,-65.13,-110.54,-96.97,-35.38,-39.57,51.23,12.24,8.51,-3.33
32,Free Cash Flow Per Share,-0.34,-0.42,-0.45,-0.14,-0.01,0.38,-0.03,0.02,-0.25,-0.29,-0.53,-0.91,-0.87,-0.34,-0.48,0.56,0.09,0.09,-0.07
33,Dividend Per Share,-,-,-,-,-,-,-,0.143,-,-,-,0.357,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,-,-,-,-,-59.98%,-,-,-,-,-,-,-,-,-,-,-
