,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,1472,1614,1451,2315,3506,4008,5800,4501,3783,3265,4455,4383,6660,8556,-,-,-,-,-,-
1,Market Cap Growth,-59.73%,-59.73%,-74.98%,-48.57%,-7.32%,22.75%,30.21%,2.69%,-43.20%,-61.84%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1237,1156,1310,1760,2951,3453,5278,3983,3265,2718,3831,3577,5854,8807,-,-,-,-,-,-
3,Last Close Price,11.95,13.10,11.78,18.79,28.46,32.53,47.08,36.43,30.62,26.42,36.05,35.00,53.18,68.33,-,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,-,-,55.89,-,85.91,-,-,-,41.41,-,-,-,-,-,-
5,Forward PE,-,8.77,8.77,8.77,8.77,8.77,8.77,8.77,8.77,8.77,8.77,11.58,18.48,24.77,-,-,-,-,-,-
6,PS Ratio,18.19,30.66,135.17,69.33,26.05,18.30,13.51,10.92,11.88,12.38,11.83,11.70,16.98,12.66,-,-,-,-,-,-
7,PB Ratio,1.12,1.22,1.09,1.72,2.56,2.80,3.93,3.01,2.59,2.22,3.18,3.00,4.56,5.79,-,-,-,-,-,-
8,P/TBV Ratio,1.25,1.25,1.12,1.76,2.62,2.87,4.03,3.09,2.67,2.28,3.28,3.10,4.70,5.97,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,350.20,-,-29.19,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,43.34,52.80,76.89,115.72,98.02,31.65,76.39,60.44,64.08,-,-,-,-,-,-,-
11,EV/Sales Ratio,15.31,21.97,-,52.71,21.93,-,12.30,9.66,10.25,10.31,10.17,9.55,14.92,13.04,-,-,-,-,-,-
12,EV/EBITDA Ratio,-,-,-,-,-,-,45.70,41.84,-,158.34,-,38.04,-,29.52,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-,-,-,-,61.28,60.77,-,-233.46,-,-,-,32.35,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-,318.66,-,-25.20,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.03,0.03,0.04,0.03,0.01,0.01,-,1.90,1.57,1.22,-,-,-3.93
16,Debt / EBITDA Ratio,-,-,-,-,-,-,1.38,0.31,-,0.17,-,2.73,-,-,-,10.24,0.54,-,-,9.02
17,Debt / FCF Ratio,-,-,-,-,-,-,4.22,-,-0.32,-,-,-,-,-,-,-,4.32,-,-,-
18,Asset Turnover,0.09,-,0.01,0.03,-,0.05,0.23,0.21,0.47,0.01,0.03,0.10,1.01,0.01,0.15,-,-,-,-,
19,Inventory Turnover,1.26,0.85,0.05,0.10,6.46,0.25,0.02,1.59,3.89,1.48,0.08,0.13,5.81,1.24,0.90,0.46,-,-,-,-
20,Quick Ratio,1.78,1.78,3.07,1.40,3.03,2.85,2.81,3.07,3.00,2.90,3.49,4.51,4.68,5.15,0.72,0.89,0.95,-,-,-
21,Current Ratio,2.98,2.98,3.37,3.34,3.18,3.12,3.11,3.25,3.14,3.18,3.90,4.83,4.83,5.53,0.90,0.99,1.03,-,-,-
22,Return on Equity (ROE),-3.80%,-5.78%,-6.32%,-17.11%,-12.70%,-0.34%,9.84%,-3.84%,20.29%,-4.09%,-0.72%,-4.79%,58.10%,-31.52%,-8.83%,-,-,-,-,
23,Return on Assets (ROA),-1.88%,-4.28%,-4.53%,-12.84%,-5.43%,0.70%,4.33%,-3.51%,10.71%,-2.27%,-0.74%,-9.39%,31.98%,-7.51%,0.85%,-,-,-,-,
24,Return on Capital (ROIC),-2.10%,-4.76%,-5.11%,-14.65%,-6.32%,0.84%,5.26%,-4.23%,12.56%,-2.64%,-0.88%,-11.12%,38.07%,-9.45%,1.16%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-,-,5.65%,4.17%,-,-0.76%,-,-,-,18.08%,-,62.35%,77.92%,-,-,-
26,Earnings Yield,-6.35%,-7.02%,-10.12%,-5.57%,-2.02%,-0.63%,1.62%,1.79%,1.10%,1.16%,1.99%,1.94%,1.24%,2.42%,-,-,-,-,-,-
27,FCF Yield,-10.37%,-10.37%,-8.68%,-1.13%,0.77%,1.14%,0.29%,-1.52%,-3.43%,-7.42%,-6.93%,-7.03%,-4.24%,-1.41%,-,-,-,-,-,-
