,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,50.2,160.79,84.36,70.44,430.57,308.62,265.76,174.73,123.41,144.55,116.26,36.69,95.07,106.81,109.09,88.01,-,-,-
1,Short-Term Investments,-,201.31,-,361.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,244.31,152.59,125.14,175.42,195.57,316.2,305.65,390.57,451.48,438,527.17,657.31,711.16,60,53,40,-,-,-
3,Cash & Short-Term Investments,294.52,514.69,209.51,607.82,626.14,624.82,571.41,565.3,574.89,582.55,643.43,694,806.23,166.81,162.09,128.01,-,-,16.68
4,Cash Growth,-52.96%,-17.63%,-63.34%,7.52%,8.91%,7.26%,-11.19%,-18.54%,-28.69%,249.23%,296.96%,442.13%,-,-,871.63%,-,-,-,-
5,Accounts Receivable,80.92,50.88,70.29,81.24,121.76,225.01,366.51,341.11,305.7,163.71,279.3,342.76,392.88,137.34,243.71,354.95,-,-,-
6,Other Receivables,0.52,0.48,0.96,0.48,0.65,0.52,0.56,0.54,0.47,0.43,0.83,0.89,0.4,0.41,0.41,0.39,-,-,-
7,Receivables,81.43,51.36,71.26,81.71,122.42,225.53,367.07,341.65,306.17,164.14,280.13,343.65,393.28,137.75,244.12,355.34,-,-,-
8,Inventory,66.42,49.78,28.97,21.98,59.3,79.17,48.99,31.95,80.89,80.56,54.78,27.98,77.63,64.05,40.21,33.25,-,-,-
9,Other Current Assets,186.44,5.44,360.31,10.74,12.65,11.66,7.77,12.11,4.6,6.73,9.11,4.08,10.07,10.1,9.77,6.18,-,-,-
10,Total Current Assets,628.82,621.26,670.04,722.24,820.51,941.18,995.24,951.02,966.54,833.98,987.45,1070,1287,378.71,456.19,522.79,-,-,-
11,"Property, Plant & Equipment",794.28,789.45,790.71,794.95,795.02,795.64,789.63,785.9,736.69,657.96,583.28,523.89,225.31,216.56,203.2,193.08,-,-,-
12,Other Intangible Assets,31.5,32.77,34.04,35.32,36.59,37.86,39.14,40.41,41.68,42.96,44.23,45.46,45.84,47.07,48.3,49.53,-,-,-
